gen	nevals	avg      	std      	min      	max    	p-avg 	p-std   	p-min	p-max	s-avg	s-std   	s-min	s-max	t-avg  	t-std  	t-min  	t-max  
0  	100   	0.0586336	0.156476 	-0.229283	1.14331	61.76 	140.978 	11   	1000 	0.9  	1.72337 	0    	16   	1212.64	3815.93	36.079 	32528.3
1  	25    	0.0659243	0.15225  	0.0135207	1.14331	64.08 	140.382 	9    	1000 	0.95 	1.70514 	0    	16   	765.57 	1543.81	76.131 	14636.1
2  	25    	0.0696648	0.151915 	0.0178441	1.14331	67.38 	140.26  	14   	1000 	1.01 	1.68816 	0    	16   	781.52 	1549.96	76.131 	14636.1
3  	25    	0.0752265	0.152686 	0.0220812	1.14331	73.33 	141.24  	14   	1000 	1.01 	1.69408 	0    	16   	820.349	1583.27	76.131 	14636.1
4  	25    	0.0780386	0.152054 	0.0267092	1.14331	75.75 	140.718 	19   	1000 	1.08 	1.67141 	0    	16   	851.141	1585.37	76.131 	14636.1
5  	25    	0.0915739	0.187108 	0.028973 	1.18352	87.29 	167.507 	22   	1000 	1.3  	2.59422 	0    	21   	871.614	1594   	76.131 	14636.1
6  	25    	0.0978842	0.186499 	0.0313228	1.18352	92.63 	166.758 	24   	1000 	1.4  	2.60768 	0    	21   	874.579	1605.39	53.962 	14636.1
7  	25    	0.103247 	0.185576 	0.0344641	1.18352	97.92 	165.802 	27   	1000 	1.44 	2.61274 	0    	21   	907.318	1602.47	53.962 	14636.1
8  	25    	0.105773 	0.185035 	0.0357924	1.18352	99.96 	165.362 	28   	1000 	1.46 	2.61312 	0    	21   	878.696	1575.85	53.962 	14636.1
9  	25    	0.110833 	0.185241 	0.0384776	1.18352	104.24	165.47  	30   	1000 	1.51 	2.62486 	0    	21   	850.667	1574.28	53.962 	14636.1
10 	25    	0.116665 	0.187785 	0.040036 	1.18352	110.06	168.302 	34   	1000 	1.58 	2.61603 	0    	21   	919.506	1585.4 	53.962 	14636.1
11 	25    	0.137088 	0.214175 	0.0440441	1.18352	128.43	191.78  	36   	1000 	1.82 	2.88229 	0    	21   	954.176	1566.66	53.962 	14636.1
12 	25    	0.151419 	0.229222 	0.0483763	1.18352	142.78	208.65  	41   	1000 	1.88 	2.87847 	0    	21   	1016.14	1595.31	53.962 	14636.1
13 	25    	0.161029 	0.235519 	0.0519989	1.18352	153.24	216.431 	41   	1000 	1.95 	2.8788  	0    	21   	1171.12	1823.14	53.962 	14636.1
14 	25    	0.166665 	0.234194 	0.0569885	1.18352	158.63	215.154 	41   	1000 	2.01 	2.86529 	0    	21   	1206.49	1809.33	53.962 	14636.1
15 	25    	0.180173 	0.252232 	0.0613083	1.18352	170.37	229.609 	43   	1000 	2.2  	3.1749  	0    	21   	1219.67	1799.64	76.131 	14636.1
16 	25    	0.186493 	0.251689 	0.0694697	1.18352	176.65	229.395 	62   	1000 	2.18 	3.18553 	0    	21   	1195.69	1796.33	76.131 	14636.1
17 	25    	0.193166 	0.251022 	0.0746191	1.18352	182.25	229.203 	64   	1000 	2.22 	3.19243 	0    	21   	1128.45	1778.74	71.317 	14636.1
18 	25    	0.21192  	0.26833  	0.0777348	1.18352	199.18	242.017 	64   	1000 	2.44 	3.64231 	0    	21   	1165.97	1776.85	71.317 	14636.1
