gen	nevals	avg      	std      	min       	max    	p-avg 	p-std  	p-min	p-max	s-avg	s-std   	s-min	s-max	t-avg  	t-std  	t-min  	t-max  
0  	100   	0.0714498	0.172605 	0.00522814	1.05794	71.1  	170.617	6    	1000 	0.78 	0.855336	0    	6    	745.022	1128.64	26.389 	7866.65
1  	25    	0.0734798	0.17198  	0.0175551 	1.05794	71.94 	170.352	14   	1000 	0.84 	0.833307	0    	6    	686.019	1076.24	26.389 	7866.65
2  	25    	0.0775809	0.171198 	0.0210194 	1.05794	75.25 	169.659	16   	1000 	0.94 	0.834506	0    	6    	706.908	1077.59	23.139 	7866.65
3  	25    	0.0801813	0.170659 	0.023644  	1.05794	78.06 	169.086	17   	1000 	0.95 	0.829156	0    	6    	737.873	1099.14	23.139 	7866.65
4  	25    	0.094328 	0.192052 	0.0271756 	1.05794	91.74 	191.74 	19   	1000 	1.03 	0.910549	0    	6    	771.202	1111.66	23.139 	7866.65
5  	25    	0.0996136	0.19117  	0.0293504 	1.05794	96.88 	190.767	22   	1000 	1.07 	0.930108	0    	6    	796.638	1107.65	23.139 	7866.65
6  	25    	0.113907 	0.210431 	0.0314991 	1.05794	111.24	209.763	23   	1000 	1.1  	0.943398	0    	6    	833.304	1105.66	23.139 	7866.65
7  	25    	0.119288 	0.210065 	0.0348138 	1.05794	116.35	209.152	28   	1000 	1.18 	1.00379 	0    	6    	886.182	1118.73	23.139 	7866.65
8  	25    	0.122942 	0.209385 	0.0376088 	1.05794	120.17	208.302	29   	1000 	1.22 	0.995791	0    	6    	942.775	1130.8 	23.139 	7866.65
9  	25    	0.135387 	0.227088 	0.0386067 	1.05794	131.96	225.442	29   	1000 	1.26 	1.00618 	0    	6    	917.342	1124.27	23.139 	7866.65
10 	25    	0.139977 	0.225942 	0.041856  	1.05794	136.09	224.278	29   	1000 	1.32 	1.03808 	0    	6    	931.321	1120.62	23.139 	7866.65
11 	25    	0.166244 	0.259736 	0.0444948 	1.19471	161.13	252.585	29   	1000 	1.58 	2.20989 	0    	21   	1068.64	1176.67	23.139 	7866.65
12 	25    	0.212762 	0.310302 	0.0476862 	1.19471	205.59	299.46 	29   	1000 	1.88 	2.98423 	0    	21   	1162.8 	1245.87	23.139 	7866.65
13 	25    	0.215974 	0.30961  	0.0484371 	1.19471	208.41	298.94 	29   	1000 	1.9  	2.98161 	0    	21   	1143.57	1249.6 	23.139 	7866.65
14 	25    	0.237233 	0.320316 	0.0517225 	1.19471	226.5 	306.932	46   	1000 	2.21 	3.28114 	0    	21   	1136.69	1204.04	26.389 	7866.65
15 	25    	0.260155 	0.329841 	0.0597538 	1.19471	246.53	312.757	56   	1000 	2.51 	3.74298 	0    	21   	1147.51	1187.44	26.389 	7866.65
16 	25    	0.30525  	0.365488 	0.0693586 	1.20414	284.92	337.482	64   	1000 	3.19 	4.98737 	0    	23   	1157.04	1196.54	19.395 	7866.65
17 	25    	0.328937 	0.3774   	0.0765091 	1.20414	306.76	348.627	64   	1000 	3.37 	5.22045 	0    	23   	1152.35	1163.75	19.395 	7866.65
18 	25    	0.342616 	0.385039 	0.0833896 	1.20414	318.61	353.121	69   	1000 	3.57 	5.57719 	0    	23   	1169.4 	1172.95	19.395 	7866.65
19 	25    	0.355704 	0.390614 	0.0852876 	1.20414	329.83	357.555	69   	1000 	3.71 	5.68383 	0    	23   	1122.61	1140.35	19.395 	7866.65
20 	25    	0.374787 	0.393306 	0.0903102 	1.20414	347.08	360.584	81   	1000 	3.87 	5.68974 	0    	23   	1099.31	913.668	19.395 	4267.62
21 	25    	0.402982 	0.40441  	0.0971657 	1.20677	371.46	367.825	81   	1000 	4.28 	6.09275 	0    	24   	1127.79	937.492	19.395 	4267.62
22 	25    	0.426753 	0.415997 	0.103305  	1.21431	390.79	375.033	85   	1000 	4.72 	6.58495 	0    	24   	1123.66	908.081	19.395 	4267.62
23 	25    	0.428727 	0.414621 	0.109974  	1.21431	392.88	373.589	95   	1000 	4.73 	6.57853 	0    	24   	1145.34	898.488	19.395 	4267.62
24 	25    	0.446014 	0.416782 	0.116855  	1.21431	408.39	373.761	101  	1000 	4.96 	6.80723 	0    	24   	1197.64	931.651	19.395 	4267.62
25 	25    	0.451282 	0.413814 	0.120486  	1.21431	414.16	370.396	101  	1000 	5.04 	6.78074 	0    	24   	1327.83	1318.49	19.395 	10557.8
26 	25    	0.481039 	0.422039 	0.124422  	1.21431	441.88	378.681	101  	1000 	5.25 	6.81817 	0    	24   	1334.06	1317.23	19.395 	10557.8
27 	25    	0.482684 	0.420806 	0.124603  	1.21431	442.56	378.176	101  	1000 	5.23 	6.82474 	0    	24   	1217.6 	935.028	19.395 	4267.62
28 	25    	0.503963 	0.421607 	0.13093   	1.21431	461.66	377.488	116  	1000 	5.48 	6.97206 	0    	24   	1249.7 	929.61 	19.395 	4267.62
29 	25    	0.516025 	0.424303 	0.136416  	1.21431	471.75	378.611	120  	1000 	5.64 	7.14496 	0    	24   	1212.53	880.639	19.395 	4266.09
30 	25    	0.5279   	0.42486  	0.13895   	1.21431	482.42	378.605	126  	1000 	5.76 	7.17094 	0    	24   	1212.04	880.798	19.395 	4266.09
31 	25    	0.529239 	0.423691 	0.143951  	1.21431	483.72	377.46 	130  	1000 	5.77 	7.16639 	0    	24   	1218.09	881.76 	19.395 	4266.09
32 	25    	0.545373 	0.423347 	0.144833  	1.21431	497.79	375.609	130  	1000 	6    	7.3797  	0    	24   	1241.67	913.208	19.395 	4266.09
33 	25    	0.547691 	0.421331 	0.147159  	1.21431	500.3 	373.418	130  	1000 	6    	7.3797  	0    	24   	1260.93	920.139	19.395 	4266.09
34 	25    	0.594573 	0.426634 	0.157671  	1.21431	543.59	378.628	137  	1000 	6.46 	7.6973  	0    	24   	1361.68	1081.97	19.395 	6892   
35 	25    	0.612202 	0.42401  	0.162319  	1.21431	559.74	374.647	137  	1000 	6.68 	7.85096 	0    	24   	1433.81	1097.52	149.004	6892   
36 	25    	0.646256 	0.421578 	0.169989  	1.21431	591.31	369.949	155  	1000 	7.09 	8.03629 	0    	24   	1595.36	1711.47	149.004	14739.2
37 	25    	0.657207 	0.421155 	0.175565  	1.21431	600.86	368.382	160  	1000 	7.23 	8.10784 	0    	24   	1595.25	1711.59	149.004	14739.2
38 	25    	0.685549 	0.412152 	0.184383  	1.21431	630.06	362.546	160  	1000 	7.26 	8.10262 	0    	24   	1711.07	1813.94	149.004	14739.2
39 	25    	0.733954 	0.402982 	0.194737  	1.21431	672.24	353.124	174  	1000 	7.89 	8.25457 	0    	24   	1718.63	1825.88	149.004	14739.2
40 	25    	0.756952 	0.39709  	0.201029  	1.21431	691.07	345.709	174  	1000 	8.35 	8.47393 	0    	24   	1761.84	1832.16	149.004	14739.2
41 	25    	0.7736   	0.389066 	0.206573  	1.21431	708.29	339.442	174  	1000 	8.37 	8.46127 	0    	24   	1838.96	1854.21	149.004	14739.2
42 	25    	0.782556 	0.384461 	0.212434  	1.21431	717.41	335.144	197  	1000 	8.36 	8.46702 	0    	24   	1845.38	1850.43	149.004	14739.2
43 	25    	0.849624 	0.350799 	0.263099  	1.21431	778.85	304.609	229  	1000 	8.94 	8.64965 	0    	24   	1862.6 	1373.79	149.004	7943.88
44 	25    	0.876343 	0.332988 	0.29009   	1.21431	803.71	288.3  	229  	1000 	9.19 	8.72662 	0    	24   	1926.65	1425.47	149.004	7943.88
45 	25    	0.925959 	0.297656 	0.32716   	1.21431	849.4 	254.214	296  	1000 	9.61 	8.82258 	0    	24   	1954.09	1414.04	149.004	7943.88
46 	25    	0.964578 	0.263804 	0.369758  	1.21431	884.74	218.477	372  	1000 	10.03	8.9816  	0    	24   	2046.21	1407.3 	149.004	7943.88
47 	25    	0.981165 	0.251894 	0.377173  	1.21431	896.96	207.195	372  	1000 	10.48	9.08128 	0    	24   	2059.47	1396.98	149.004	7943.88
48 	25    	1.0288   	0.20342  	0.445209  	1.21431	936.15	158.321	403  	1000 	11.42	9.23166 	0    	24   	2154.93	1419.3 	149.004	7943.88
49 	25    	1.05605  	0.169289 	0.481566  	1.21431	958.8 	120.748	470  	1000 	11.91	9.35318 	0    	24   	2185.22	1398.8 	149.004	7943.88
50 	25    	1.0787   	0.134557 	0.610084  	1.24821	976.14	80.9442	522  	1000 	12.43	9.35762 	0    	26   	2173.97	1380.17	149.004	7943.88
51 	25    	1.09797  	0.107146 	0.787316  	1.24821	992.08	40.6769	734  	1000 	12.74	9.35588 	0    	26   	2150.93	1379.41	149.004	7943.88
52 	25    	1.10893  	0.0936456	0.93108   	1.24821	999.15	6.0438 	950  	1000 	13.12	9.39498 	0    	26   	2142.15	1270.97	149.004	6892   
53 	25    	1.12708  	0.0855859	0.979806  	1.29615	999.15	6.0438 	950  	1000 	14.73	8.93516 	0    	30   	1936.97	1094.06	149.004	6135.25
54 	25    	1.12838  	0.0842275	0.981918  	1.29615	999.65	3.48246	965  	1000 	14.81	8.87434 	0    	30   	1937.11	1086.81	149.004	6135.25
55 	25    	1.13123  	0.0822017	0.983941  	1.29615	999.65	3.48246	965  	1000 	15.07	8.72038 	0    	30   	1911.94	1073.37	149.004	6135.25
56 	25    	1.13644  	0.0784581	0.987042  	1.29615	999.65	3.48246	965  	1000 	15.58	8.37995 	1    	30   	1900.55	1062.81	149.004	6135.25
57 	25    	1.14481  	0.0739773	1.0021    	1.29615	999.65	3.48246	965  	1000 	16.44	7.98539 	2    	30   	1924.08	1078.29	149.004	6135.25
58 	25    	1.14916  	0.071042 	1.00774   	1.29615	999.65	3.48246	965  	1000 	16.9 	7.72075 	2    	30   	1949.34	1092.01	149.004	6135.25
59 	25    	1.15243  	0.0684557	1.01697   	1.29615	999.65	3.48246	965  	1000 	17.22	7.47072 	3    	30   	1942.48	1092.55	149.004	6135.25
60 	25    	1.15513  	0.0661049	1.01904   	1.29615	999.65	3.48246	965  	1000 	17.51	7.24775 	3    	30   	1961.86	1101.25	149.004	6135.25
61 	25    	1.16134  	0.0611533	1.02585   	1.29615	999.65	3.48246	965  	1000 	18.23	6.66462 	3    	30   	2060.86	1208.17	149.004	7288.03
62 	25    	1.17145  	0.0519019	1.04179   	1.29615	999.65	3.48246	965  	1000 	19.37	5.70728 	5    	30   	2189.91	1291.77	149.004	7288.03
