gen	nevals	avg        	std       	min        	max      	p-avg	p-std    	p-min	p-max	s-avg	s-std   	s-min	s-max	t-avg  	t-std  	t-min  	t-max  
0  	100   	-0.00290395	0.0204183 	-0.122755  	0.0241264	0    	0        	0    	0    	0.66 	0.681469	0    	3    	950.395	2269.63	43.689 	13275.5
1  	25    	0.0032109  	0.00559342	-0.0036775 	0.0241264	0    	0        	0    	0    	0.68 	0.630555	0    	3    	358.91 	283.758	43.689 	1239.46
2  	25    	0.00402576 	0.00541026	-0.00238   	0.0241264	0    	0        	0    	0    	0.77 	0.614085	0    	3    	367.424	306.537	43.689 	1222.1 
3  	25    	0.00519828 	0.00491129	-0.00139297	0.0241264	0    	0        	0    	0    	0.92 	0.541849	0    	3    	400.172	293.537	43.689 	1173.26
4  	25    	0.00569557 	0.00459921	-0.00106996	0.0241264	0    	0        	0    	0    	0.97 	0.499099	0    	3    	400.443	273.455	43.689 	1173.26
5  	25    	0.016844   	0.0987299 	0.00127391 	0.998408 	0.01 	0.0994987	0    	1    	1.12 	0.381576	1    	3    	435.602	281.653	43.689 	1790.21
6  	25    	0.0180897  	0.0986336 	0.00381419 	0.998408 	0.01 	0.0994987	0    	1    	1.18 	0.517301	1    	4    	371.03 	259.484	43.689 	1947.98
7  	25    	0.0186052  	0.0985795 	0.00494998 	0.998408 	0.01 	0.0994987	0    	1    	1.21 	0.534696	1    	4    	349.477	254.982	43.689 	1947.98
8  	25    	0.018817   	0.098554  	0.00567621 	0.998408 	0.01 	0.0994987	0    	1    	1.22 	0.54    	1    	4    	338.304	260.279	43.689 	1947.98
9  	25    	0.0194211  	0.0985081 	0.00604431 	0.998408 	0.01 	0.0994987	0    	1    	1.28 	0.584466	1    	4    	337.892	281.698	43.689 	1947.98
10 	25    	0.0198387  	0.0984709 	0.00649495 	0.998408 	0.01 	0.0994987	0    	1    	1.31 	0.611474	1    	4    	326.13 	291.342	42.263 	1947.98
11 	25    	0.0200259  	0.0984494 	0.00678438 	0.998408 	0.01 	0.0994987	0    	1    	1.33 	0.617333	1    	4    	327.409	305.259	42.263 	1947.98
12 	25    	0.0201979  	0.0984316 	0.00705717 	0.998408 	0.01 	0.0994987	0    	1    	1.34 	0.62    	1    	4    	320.208	295.438	42.263 	1947.98
13 	25    	0.0202697  	0.0984226 	0.00717227 	0.998408 	0.01 	0.0994987	0    	1    	1.34 	0.62    	1    	4    	313.026	297.84 	42.263 	1947.98
14 	25    	0.0207047  	0.098387  	0.00732258 	0.998408 	0.01 	0.0994987	0    	1    	1.4  	0.648074	1    	4    	329.534	318.353	42.263 	1947.98
