gen	nevals	avg      	std       	min        	max    	p-avg	p-std   	p-min	p-max	s-avg	s-std   	s-min	s-max	t-avg  	t-std  	t-min  	t-max  
0  	100   	0.0303572	0.182953  	-0.204087  	1.1109 	0.03 	0.170587	0    	1    	0.99 	1.55881 	0    	13   	954.28 	2429.07	53.513 	21408.7
1  	25    	0.0653005	0.244475  	-0.00307414	1.1109 	0.06 	0.237487	0    	1    	1.05 	1.56445 	0    	13   	519.947	548.181	53.513 	3718.97
2  	25    	0.0658089	0.244339  	-0.00217404	1.1109 	0.06 	0.237487	0    	1    	1.12 	1.53154 	0    	13   	539.114	522.799	53.513 	3718.97
3  	25    	0.0775158	0.260576  	-0.00117283	1.1109 	0.07 	0.255147	0    	1    	1.35 	1.77412 	0    	13   	598.417	554.11 	53.513 	3718.97
4  	25    	0.0882485	0.275866  	-0.00015721	1.1109 	0.08 	0.271293	0    	1    	1.47 	1.7289  	1    	13   	645.151	540.202	53.513 	3718.97
5  	25    	0.0995876	0.29105   	0.00156537 	1.1109 	0.09 	0.286182	0    	1    	1.56 	1.77944 	1    	13   	601.244	562.252	53.513 	3718.97
6  	25    	0.100559 	0.290765  	0.00291131 	1.1109 	0.09 	0.286182	0    	1    	1.62 	1.85892 	1    	13   	564.115	589.513	53.513 	3718.97
7  	25    	0.101142 	0.29058   	0.00370606 	1.1109 	0.09 	0.286182	0    	1    	1.63 	1.85825 	1    	13   	515.839	584.369	53.513 	3718.97
8  	25    	0.101782 	0.290374  	0.00510035 	1.1109 	0.09 	0.286182	0    	1    	1.64 	1.85753 	1    	13   	461.84 	582.602	53.513 	3718.97
9  	25    	0.102263 	0.290232  	0.00548321 	1.1109 	0.09 	0.286182	0    	1    	1.67 	1.87112 	1    	13   	443.657	586.607	53.513 	3718.97
10 	25    	0.112971 	0.304267  	0.00628678 	1.1109 	0.1  	0.3     	0    	1    	1.76 	1.90851 	1    	13   	462.909	664.175	53.513 	3718.97
11 	25    	0.123225 	0.316465  	0.00706787 	1.1109 	0.11 	0.31289 	0    	1    	1.78 	1.90568 	1    	13   	457.542	665.421	53.513 	3718.97
12 	25    	0.123608 	0.316329  	0.00730061 	1.1109 	0.11 	0.31289 	0    	1    	1.82 	1.90463 	1    	13   	459.173	674.252	53.513 	3718.97
13 	25    	0.123987 	0.316199  	0.00775888 	1.1109 	0.11 	0.31289 	0    	1    	1.85 	1.90984 	1    	13   	451.349	679.482	53.513 	3718.97
14 	25    	0.134715 	0.328558  	0.00808581 	1.1109 	0.12 	0.324962	0    	1    	1.93 	1.94039 	1    	13   	458.506	681.938	53.513 	3718.97
15 	25    	0.145362 	0.339513  	0.00834959 	1.1109 	0.13 	0.336303	0    	1    	2    	1.97484 	1    	13   	463.801	683.213	53.513 	3718.97
16 	25    	0.146139 	0.339231  	0.00846319 	1.1109 	0.13 	0.336303	0    	1    	2.12 	2.02129 	1    	13   	506.074	706.792	53.513 	3718.97
17 	25    	0.156559 	0.348896  	0.00849355 	1.1109 	0.14 	0.346987	0    	1    	2.2  	2.02485 	1    	13   	544.055	725.754	53.513 	3718.97
18 	25    	0.186951 	0.376469  	0.00862201 	1.1109 	0.17 	0.375633	0    	1    	2.3  	2.00749 	1    	13   	604.928	758.883	53.513 	3718.97
19 	25    	0.196634 	0.382728  	0.00881242 	1.1109 	0.18 	0.384187	0    	1    	2.41 	2.00547 	0    	13   	746.575	1060.19	53.513 	8088.66
