generation,0,mu,100,lambda,25
	1245.0,1300.0,1467.0,0.105514,0.118543,46.0,147.0,79.0,0.0,fitness,(-0.00268502014,),fitnesses,(0.0, 0.0, 268.502014)
	2330.0,93.0,699.0,0.024758,0.14566,164.0,55.0,161.0,1.0,fitness,(0.01867876007,),fitnesses,(0.0, 2.0, 132.123993)
	4344.0,825.0,4464.0,0.190986,0.031734,43.0,31.0,39.0,2.0,fitness,(0.00629734985,),fitnesses,(0.0, 1.0, 370.265015)
	4746.0,4825.0,699.0,0.053705,0.197739,19.0,86.0,69.0,3.0,fitness,(-0.00478446991,),fitnesses,(0.0, 0.0, 478.44699099999997)
	1150.0,638.0,3881.0,0.035342,0.248199,183.0,158.0,4.0,4.0,fitness,(0.00790979996,),fitnesses,(0.0, 1.0, 209.020004)
	4905.0,4203.0,917.0,0.240086,0.235552,51.0,18.0,111.0,5.0,fitness,(0.00833925003,),fitnesses,(0.0, 1.0, 166.074997)
	3304.0,2761.0,3476.0,0.057195,0.101211,190.0,165.0,25.0,6.0,fitness,(0.00375661011,),fitnesses,(0.0, 1.0, 624.338989)
	1915.0,751.0,274.0,0.228592,0.233846,10.0,191.0,181.0,7.0,fitness,(0.0036982397499999995,),fitnesses,(0.0, 1.0, 630.176025)
	3131.0,491.0,384.0,0.225184,0.246934,132.0,104.0,187.0,8.0,fitness,(0.0040108196999999995,),fitnesses,(0.0, 1.0, 598.91803)
	4058.0,196.0,2452.0,0.177911,0.153688,111.0,116.0,133.0,9.0,fitness,(-0.004614549560000002,),fitnesses,(0.0, 1.0, 1461.454956)
	593.0,76.0,3482.0,0.050089,0.21411,125.0,22.0,168.0,10.0,fitness,(0.0007441393999999962,),fitnesses,(0.0, 2.0, 1925.5860600000003)
	4311.0,439.0,1365.0,0.063347,0.0944,76.0,102.0,51.0,11.0,fitness,(0.0046818102999999995,),fitnesses,(0.0, 1.0, 531.81897)
	3564.0,289.0,4682.0,0.239923,0.185903,172.0,175.0,3.0,12.0,fitness,(-0.041058510740000005,),fitnesses,(0.0, 1.0, 5105.851074)
	202.0,3295.0,3906.0,0.050639,0.162627,115.0,125.0,191.0,13.0,fitness,(-0.0008256099700000001,),fitnesses,(0.0, 0.0, 82.560997)
	2835.0,3762.0,630.0,0.049319,0.096907,172.0,24.0,124.0,14.0,fitness,(-0.00131132004,),fitnesses,(0.0, 0.0, 131.132004)
	3254.0,126.0,1719.0,0.007353,0.119674,97.0,195.0,167.0,15.0,fitness,(0.0052069101,),fitnesses,(0.0, 1.0, 479.30899)
	3527.0,3517.0,329.0,0.145804,0.037461,24.0,89.0,66.0,16.0,fitness,(0.00579386993,),fitnesses,(0.0, 1.0, 420.613007)
	1834.0,4549.0,1466.0,0.243236,0.067311,104.0,11.0,84.0,17.0,fitness,(0.00752535995,),fitnesses,(0.0, 1.0, 247.464005)
	4934.0,1642.0,4680.0,0.069724,0.05056,119.0,82.0,175.0,18.0,fitness,(0.004590549929999999,),fitnesses,(0.0, 1.0, 540.945007)
	3347.0,3622.0,4489.0,0.179275,0.013381,116.0,159.0,32.0,19.0,fitness,(-0.009033930050000001,),fitnesses,(0.0, 0.0, 903.393005)
	1553.0,3327.0,2765.0,0.212599,0.077495,52.0,148.0,10.0,20.0,fitness,(-0.0038613900800000002,),fitnesses,(0.0, 0.0, 386.139008)
	276.0,2052.0,2359.0,0.002754,0.098985,85.0,19.0,199.0,21.0,fitness,(0.00937598,),fitnesses,(0.0, 1.0, 62.402)
	3985.0,3029.0,2990.0,0.230044,0.058754,20.0,166.0,43.0,22.0,fitness,(4.0239870000000066e-05,),fitnesses,(0.0, 1.0, 995.976013)
	3410.0,2688.0,109.0,0.152025,0.100535,187.0,170.0,50.0,23.0,fitness,(0.0026458099399999995,),fitnesses,(0.0, 1.0, 735.419006)
	2862.0,2766.0,4309.0,0.06723,0.138691,30.0,53.0,86.0,24.0,fitness,(0.00794007996,),fitnesses,(0.0, 1.0, 205.99200399999998)
	4231.0,689.0,602.0,0.217698,0.149918,110.0,183.0,105.0,25.0,fitness,(-0.0041942895500000025,),fitnesses,(0.0, 1.0, 1419.428955)
	2102.0,3398.0,839.0,0.238245,0.096323,151.0,180.0,100.0,26.0,fitness,(-0.005551380000000001,),fitnesses,(0.0, 0.0, 555.138)
	1341.0,3220.0,423.0,0.002627,0.200619,95.0,136.0,145.0,27.0,fitness,(-0.00225052002,),fitnesses,(0.0, 0.0, 225.052002)
	4977.0,3825.0,3884.0,0.205633,0.18093,58.0,121.0,136.0,28.0,fitness,(0.0025444702099999992,),fitnesses,(0.0, 1.0, 745.552979)
	3993.0,1495.0,3083.0,0.223652,0.245555,46.0,177.0,178.0,29.0,fitness,(-0.001111839600000001,),fitnesses,(0.0, 1.0, 1111.18396)
	2504.0,3283.0,3714.0,0.138227,0.132506,15.0,69.0,12.0,30.0,fitness,(-0.0025441400100000003,),fitnesses,(0.0, 0.0, 254.414001)
	4252.0,2394.0,651.0,0.081668,0.162919,63.0,187.0,80.0,31.0,fitness,(0.001331249999999999,),fitnesses,(0.0, 1.0, 866.875)
	2923.0,1995.0,1367.0,0.20582,0.171105,124.0,43.0,35.0,32.0,fitness,(0.00798281006,),fitnesses,(0.0, 1.0, 201.71899399999998)
	4453.0,4598.0,4204.0,0.053022,0.121915,192.0,150.0,41.0,33.0,fitness,(-0.007417659910000001,),fitnesses,(0.0, 0.0, 741.765991)
	182.0,3692.0,1069.0,0.125554,0.189667,159.0,130.0,77.0,34.0,fitness,(-0.0009012300100000001,),fitnesses,(0.0, 0.0, 90.123001)
