gen	nevals	avg      	std       	min       	max     	p-avg  	p-std  	p-min   	p-max  	s-avg   	s-std   	s-min    	s-max  	t-avg  	t-std  	t-min   	t-max  
0  	100   	0.0508147	0.0941556 	-0.0438753	0.585944	53.1133	95.7964	-20.0948	667.84 	0.815344	0.952615	-0.551825	6.76836	1045.2 	1666.6 	-105.096	9506.77
1  	25    	0.0610102	0.0941048 	0.00726166	0.585944	61.2347	96.7688	-3.08035	667.84 	0.907153	0.897645	-0.551825	6.76836	929.611	1396.58	-105.096	9506.77
2  	25    	0.0681652	0.0972901 	0.0141546 	0.585944	67.8907	99.8935	10.0513 	667.84 	0.957131	0.886873	-0.314304	6.76836	929.678	1398.88	-105.096	9506.77
3  	25    	0.0873889	0.122835  	0.0214898 	0.589823	86.7366	122.515	12.2225 	667.84 	1.06378 	1.13592 	-0.314304	6.78129	998.541	1433.35	-105.096	9506.77
4  	25    	0.0916379	0.121603  	0.0249884 	0.589823	90.8166	121.399	16.4053 	667.84 	1.1161  	1.11798 	-0.314304	6.78129	1033.96	1440.74	-105.096	9506.77
5  	25    	0.101548 	0.125072  	0.028008  	0.589823	99.9563	124.164	15.8135 	667.84 	1.19931 	1.16313 	-0.574105	6.78129	1040.16	1317.07	-127.356	9506.77
6  	25    	0.114752 	0.137267  	0.0308204 	0.589823	113.485	134.976	21.7022 	667.84 	1.25636 	1.30529 	-0.574105	6.78129	1129.65	1342.34	-105.096	9506.77
7  	25    	0.118734 	0.135685  	0.0346745 	0.589823	117.154	133.536	24.9548 	667.84 	1.29281 	1.30974 	-0.574105	6.78129	1134.75	1347.84	-105.096	9506.77
8  	25    	0.123278 	0.13409   	0.0371977 	0.589823	121.788	131.848	25.1344 	667.84 	1.31128 	1.31362 	-0.574105	6.78129	1162.27	1346.26	-105.096	9506.77
9  	25    	0.129736 	0.131872  	0.0429196 	0.589823	128.526	129.502	33.294  	667.84 	1.31912 	1.29764 	-0.297113	6.78129	1198.12	1342.22	-105.096	9506.77
10 	25    	0.135207 	0.131847  	0.0456758 	0.589823	133.857	130.094	35.5245 	667.84 	1.33614 	1.29501 	-0.372091	6.78129	1201.14	1363.16	81.7769 	9506.77
11 	25    	0.150633 	0.144846  	0.0500105 	0.594612	149.849	145.282	40.1416 	677.932	1.42025 	1.39491 	-0.380946	6.78129	1341.83	1614.31	81.7769 	9679.91
12 	25    	0.164728 	0.156358  	0.0555664 	0.627746	164.073	156.243	46.5936 	677.932	1.49531 	1.52239 	-0.526367	6.78129	1429.87	1678.79	81.7769 	9679.91
13 	25    	0.171274 	0.153766  	0.0631025 	0.627746	170.836	153.454	49.3498 	677.932	1.48492 	1.53123 	-0.526367	6.78129	1441.04	1673.78	81.7769 	9679.91
14 	25    	0.187013 	0.158681  	0.0681562 	0.627746	185.576	158.318	66.238  	677.932	1.60601 	1.59606 	-0.526367	6.78129	1462.32	1693.98	81.7769 	9679.91
15 	25    	0.196052 	0.158711  	0.0731966 	0.627746	196.065	160.122	67.0312 	677.932	1.66398 	1.59056 	-0.526367	6.78129	1665.3 	2135.5 	81.7769 	11175  
16 	25    	0.204495 	0.156613  	0.0800239 	0.627746	203.827	158.229	67.0312 	677.932	1.6376  	1.5619  	-0.526367	6.78129	1570.79	2066.66	81.7769 	11175  
17 	25    	0.220078 	0.15989   	0.0839716 	0.627746	218.727	160.515	72.3351 	677.932	1.75615 	1.66285 	-0.526367	6.78129	1621.02	2061.89	81.7769 	11175  
18 	25    	0.234213 	0.164404  	0.0916021 	0.627746	232.301	164.963	81.0466 	677.932	1.89141 	1.70915 	-0.526367	6.78129	1700.22	2082.31	81.7769 	11175  
19 	25    	0.242938 	0.16397   	0.0948527 	0.627746	240.833	164.335	81.0466 	677.932	1.97843 	1.76027 	-0.526367	6.78129	1767.86	2112.19	81.7769 	11175  
20 	25    	0.250577 	0.162237  	0.0987017 	0.627746	249.695	162.782	81.0466 	677.932	2.04881 	1.74726 	-0.526367	6.78129	1960.67	2250.67	81.7769 	11175  
21 	25    	0.274619 	0.162603  	0.109262  	0.627746	274.593	163.191	100.385 	677.932	2.16751 	1.73003 	-0.526367	6.78129	2164.92	2296.2 	81.7769 	11175  
22 	25    	0.286719 	0.162156  	0.114655  	0.627746	286.091	162.27 	102.921 	677.932	2.28741 	1.73447 	-0.526367	6.78129	2224.67	2309.19	81.7769 	11175  
23 	25    	0.311277 	0.159384  	0.122093  	0.627746	311.155	159.347	106.12  	677.932	2.45657 	1.70238 	0.0291343	6.78129	2444.36	2349.33	81.7769 	11175  
24 	25    	0.330946 	0.154791  	0.13004   	0.627746	330.048	155.705	124.425 	677.932	2.51662 	1.68989 	0.0291343	6.78129	2426.74	2344.89	81.7769 	11175  
25 	25    	0.345994 	0.146712  	0.146395  	0.627746	344.242	147.661	132.71  	677.932	2.74019 	1.63989 	0.0464412	6.78129	2564.94	2374.37	81.7769 	11175  
26 	25    	0.358441 	0.141251  	0.169551  	0.627746	357.463	142.267	153.796 	677.932	2.80455 	1.59628 	0.197039 	6.78129	2706.75	2369.56	81.7769 	11175  
27 	25    	0.377987 	0.133707  	0.176631  	0.627746	377.25 	134.592	163.75  	677.932	2.92887 	1.59079 	0.197039 	6.78129	2855.1 	2323.01	81.7769 	11175  
28 	25    	0.393614 	0.125925  	0.201205  	0.627746	391.823	127.639	182.494 	677.932	2.99435 	1.61133 	0.197039 	6.78129	2815.21	2103.82	81.7769 	11175  
29 	25    	0.405988 	0.121131  	0.225374  	0.627746	404.419	122.441	207.228 	677.932	3.0862  	1.61198 	0.634506 	6.78129	2929.34	2077.55	81.7769 	11175  
30 	25    	0.415428 	0.115108  	0.240428  	0.627746	414.208	115.9  	224.106 	677.932	3.09278 	1.61638 	0.634506 	6.78129	2970.7 	2104.07	81.7769 	11175  
31 	25    	0.424666 	0.111039  	0.253125  	0.627746	422.762	112.001	224.106 	677.932	3.15211 	1.64961 	0.634506 	6.78129	2961.62	2115.93	81.7769 	11175  
32 	25    	0.434599 	0.102546  	0.268611  	0.627746	435.229	101.519	264.269 	677.932	3.12584 	1.65649 	0.634506 	6.78129	3188.9 	2229.49	81.7769 	11175  
33 	25    	0.446029 	0.0960713 	0.288836  	0.655423	446.474	95.6065	290.82  	677.932	3.1962  	1.60685 	0.634506 	6.78129	3240.74	2144.09	81.7769 	11175  
34 	25    	0.453485 	0.0928856 	0.316359  	0.662991	452.26 	93.7396	301.728 	677.932	3.29108 	1.55943 	0.634506 	6.78129	3168.63	1945.5 	273.524 	9679.91
35 	25    	0.456273 	0.0899278 	0.327277  	0.662991	454.466	91.5685	319.898 	677.932	3.2971  	1.55674 	0.634506 	6.78129	3116.34	1911.53	273.524 	9679.91
36 	25    	0.4683   	0.0845658 	0.351768  	0.662991	466.48 	86.9095	321.948 	677.932	3.38745 	1.52102 	0.634506 	6.78129	3205.47	1887.51	273.524 	9679.91
37 	25    	0.479353 	0.0811049 	0.359754  	0.662991	478.011	83.7889	321.948 	677.932	3.45843 	1.5841  	0.634506 	6.78129	3324.2 	1970.95	273.524 	9679.91
38 	25    	0.484291 	0.0771406 	0.378376  	0.662991	482.38 	81.0715	321.948 	677.932	3.54591 	1.53825 	0.634506 	6.78129	3354.84	1929.92	625.642 	9679.91
39 	25    	0.489062 	0.0734491 	0.385296  	0.662991	488.033	76.3962	369.002 	677.932	3.52128 	1.49396 	0.634506 	6.78129	3418.34	1762.15	625.642 	9679.91
40 	25    	0.497051 	0.0695421 	0.410824  	0.662991	496.502	71.4054	394.33  	677.932	3.63772 	1.51736 	1.07153  	7.02374	3582.74	1708.33	762.244 	9679.91
41 	25    	0.498053 	0.0685138 	0.413981  	0.662991	498.15 	69.761 	394.85  	677.932	3.60022 	1.53124 	1.07153  	7.02374	3609.84	1705.08	762.244 	9679.91
42 	25    	0.503362 	0.0653649 	0.421259  	0.662991	503.994	66.1647	396.919 	677.932	3.70931 	1.50977 	1.07153  	7.02374	3772.47	1688.53	762.244 	9679.91
43 	25    	0.505307 	0.0647277 	0.422535  	0.662991	506.762	64.7521	401.065 	677.932	3.69015 	1.50283 	1.07153  	7.02374	3835.63	1670.3 	762.244 	9679.91
44 	25    	0.506067 	0.0641    	0.424406  	0.662991	507.334	64.1848	408.917 	677.932	3.68818 	1.50519 	1.07153  	7.02374	3814.95	1696.54	656.04  	9679.91
45 	25    	0.51163  	0.062648  	0.430359  	0.662991	512.671	62.8291	409.461 	677.932	3.72651 	1.52945 	1.07153  	7.02374	3830.68	1702.46	656.04  	9679.91
46 	25    	0.518343 	0.0624379 	0.439092  	0.662991	520.056	62.4996	415.98  	677.932	3.72735 	1.52515 	1.07153  	7.02374	3898.59	1792.08	656.04  	9679.91
47 	25    	0.523782 	0.0617989 	0.443222  	0.662991	524.923	62.3698	421.968 	677.932	3.77224 	1.56384 	1.07153  	7.02374	3886.25	1802.88	656.04  	9679.91
48 	25    	0.524885 	0.0607413 	0.447507  	0.662991	526.625	61.3166	422.582 	677.932	3.72902 	1.58334 	1.07153  	7.02374	3902.99	1825.03	656.04  	9679.91
49 	25    	0.531463 	0.0594693 	0.457837  	0.662991	533.473	59.6537	435.882 	677.932	3.77942 	1.62048 	1.07153  	7.02374	3980.46	1767.73	656.04  	9679.91
50 	25    	0.534947 	0.0586063 	0.459159  	0.662991	536.319	58.7592	435.882 	677.932	3.77982 	1.62075 	1.07153  	7.02374	3916.98	1818.38	241.996 	9679.91
51 	25    	0.538449 	0.0575125 	0.459482  	0.662991	539.158	58.863 	435.882 	677.932	3.79257 	1.62362 	1.07153  	7.02374	3863.5 	1831.94	241.996 	9679.91
52 	25    	0.543094 	0.0547126 	0.468437  	0.662991	544.331	55.7739	443.02  	677.932	3.81135 	1.61768 	1.07153  	7.02374	3935.04	1806.34	152.77  	9679.91
53 	25    	0.551273 	0.0518273 	0.47692   	0.662991	551.752	53.6004	462.438 	677.932	3.91228 	1.63543 	1.07153  	7.02747	3960.21	1803.72	152.77  	9679.91
54 	25    	0.552793 	0.0502468 	0.479676  	0.662991	553.303	52.2704	462.438 	677.932	3.9554  	1.59676 	1.07153  	7.02747	4006.38	1795.43	152.77  	9679.91
55 	25    	0.559102 	0.0474792 	0.485834  	0.662991	558.615	50.5418	462.438 	677.932	4.04    	1.63354 	1.24586  	7.02747	3991.3 	1792.96	152.77  	9679.91
56 	25    	0.562541 	0.0453082 	0.489037  	0.662991	560.89 	50.4235	462.438 	677.932	4.05081 	1.63835 	1.10546  	7.02747	3885.69	1770.38	152.77  	9679.91
57 	25    	0.566281 	0.0430406 	0.495445  	0.662991	564.513	47.5561	473.226 	677.932	4.16105 	1.62412 	1.24586  	7.03083	3984.26	1714.2 	152.77  	9679.91
58 	25    	0.570023 	0.0411448 	0.506705  	0.662991	567.459	46.5208	482.212 	677.932	4.22625 	1.61324 	1.25042  	7.03083	3969.9 	1676.03	152.77  	9679.91
59 	25    	0.574299 	0.0396029 	0.509787  	0.662991	571.746	46.1519	482.212 	677.932	4.24    	1.63689 	1.25042  	7.03083	3984.67	1679.87	152.77  	9679.91
60 	25    	0.576944 	0.0377574 	0.51272   	0.662991	574.186	44.7908	491.189 	677.932	4.24132 	1.638   	1.25042  	7.03083	3965.5 	1691.34	152.77  	9679.91
61 	25    	0.580147 	0.0358906 	0.517831  	0.662991	577.395	43.7415	494.08  	677.932	4.25504 	1.66431 	1.25042  	7.03083	3979.86	1710.63	152.77  	9679.91
62 	25    	0.583603 	0.0330769 	0.521013  	0.662991	581.324	41.3712	494.08  	677.932	4.2584  	1.69732 	1.25042  	7.03083	4030.51	1714.78	152.77  	9679.91
63 	25    	0.586012 	0.0330116 	0.527409  	0.66643 	583.751	41.2602	501.643 	677.932	4.2638  	1.69912 	1.25042  	7.03083	4037.75	1714.17	152.77  	9679.91
64 	25    	0.586706 	0.0320968 	0.532618  	0.66643 	585.123	39.6536	503.056 	677.932	4.225   	1.68159 	1.25042  	7.03083	4066.7 	1715.99	152.77  	9679.91
65 	25    	0.590107 	0.0304742 	0.537679  	0.66643 	588.366	39.4457	519.741 	677.932	4.24264 	1.74942 	1.25042  	8.15243	4068.54	1777.68	241.996 	9679.91
66 	25    	0.591337 	0.0293758 	0.54172   	0.66643 	588.554	39.5835	519.741 	677.932	4.26751 	1.7515  	1.25042  	8.15243	3989.21	1799.71	221.033 	9679.91
67 	25    	0.594269 	0.0281607 	0.550455  	0.66643 	591.253	39.2984	520.873 	677.932	4.298   	1.76667 	1.25042  	8.15243	3996.36	1793.84	221.033 	9679.91
68 	25    	0.594678 	0.0278163 	0.55144   	0.66643 	591.231	39.3104	520.873 	677.932	4.30083 	1.76531 	1.25042  	8.15243	3956.14	1809.2 	221.033 	9679.91
69 	25    	0.597171 	0.0266949 	0.557385  	0.66643 	593.832	38.4681	520.873 	677.932	4.2915  	1.76616 	1.25042  	8.15243	3957.64	1852.3 	221.033 	9679.91
70 	25    	0.598059 	0.0262333 	0.558688  	0.66643 	595.425	37.4703	538.019 	677.932	4.27118 	1.76367 	1.25042  	8.15243	4007.74	1817.64	221.033 	9679.91
71 	25    	0.598951 	0.0259355 	0.562884  	0.66643 	596.767	36.9623	538.019 	677.932	4.24319 	1.75367 	1.25042  	8.15243	4024.8 	1818.96	221.033 	9679.91
72 	25    	0.600859 	0.0247734 	0.56673   	0.66643 	598.606	36.4961	538.019 	677.932	4.24861 	1.77386 	1.25042  	8.15243	4023.3 	1844.96	221.033 	9679.91
73 	25    	0.602737 	0.0245662 	0.569319  	0.66643 	599.877	37.0222	538.019 	677.932	4.26232 	1.79618 	1.25042  	8.15243	3976.35	1860.36	221.033 	9679.91
74 	25    	0.605174 	0.0239793 	0.571008  	0.66643 	604.21 	35.6661	538.019 	677.932	4.1846  	1.72377 	1.25042  	8.15243	4088.18	1873.52	221.033 	9679.91
75 	25    	0.607994 	0.0227011 	0.571627  	0.66643 	606.196	35.5327	538.019 	677.932	4.24487 	1.7544  	1.25042  	8.15243	4065.04	1906.03	221.033 	9679.91
76 	25    	0.610733 	0.0228324 	0.578891  	0.671278	608.926	35.9147	538.019 	680.83 	4.31478 	1.75782 	1.25042  	8.15243	4134.09	1871.86	221.033 	9679.91
77 	25    	0.610879 	0.0226744 	0.582961  	0.671278	609.035	35.8809	538.019 	680.83 	4.32194 	1.75661 	1.25042  	8.15243	4137.52	1873.77	221.033 	9679.91
78 	25    	0.611694 	0.0223407 	0.58495   	0.671278	609.936	35.6271	538.019 	680.83 	4.35375 	1.77304 	1.25042  	8.15243	4177.96	1854.85	221.033 	9679.91
79 	25    	0.612267 	0.0223466 	0.585944  	0.671278	609.427	36.3625	534.917 	680.83 	4.41484 	1.78832 	1.25042  	8.15243	4130.88	1820.22	221.033 	9679.91
80 	25    	0.613963 	0.0223911 	0.586855  	0.671278	609.957	35.4132	538.019 	680.83 	4.44964 	1.76114 	1.25042  	8.15243	4049.02	1759.38	221.033 	9679.91
81 	25    	0.615335 	0.0221965 	0.588368  	0.671278	610.64 	35.0951	549.717 	680.83 	4.4648  	1.75493 	1.25042  	7.03083	3995.34	1785.56	221.033 	9679.91
82 	25    	0.617947 	0.0220738 	0.589823  	0.671278	614.279	34.5545	549.717 	680.83 	4.37231 	1.75531 	1.25042  	7.03083	4005.49	1831.93	221.033 	9679.91
83 	25    	0.61855  	0.021706  	0.589823  	0.671278	615.359	33.8733	549.717 	680.83 	4.3474  	1.74247 	1.25042  	7.03083	4028.39	1841.79	221.033 	9679.91
84 	25    	0.619236 	0.0212329 	0.589823  	0.671278	616.146	32.9682	549.717 	680.83 	4.34728 	1.74257 	1.25042  	7.03083	4038.23	1842.78	221.033 	9679.91
85 	25    	0.621839 	0.0219651 	0.589823  	0.690777	619.738	32.2441	549.717 	684.998	4.27632 	1.69457 	1.25042  	7.03083	4066.25	1848.27	221.033 	9679.91
86 	25    	0.623029 	0.0211502 	0.590568  	0.690777	621.137	32.1228	549.717 	684.998	4.27569 	1.68473 	1.25042  	7.03083	4086.47	1866.8 	221.033 	9679.91
87 	25    	0.625012 	0.0211243 	0.591713  	0.693075	623.53 	31.0777	549.717 	692.718	4.28248 	1.70522 	1.25042  	7.03083	4134.26	1831.33	221.033 	9679.91
88 	25    	0.626125 	0.0204106 	0.594612  	0.693075	623.889	30.0076	549.717 	692.718	4.28115 	1.68075 	1.25042  	7.03083	4057.53	1796.94	221.033 	9679.91
89 	25    	0.626833 	0.0197771 	0.597207  	0.693075	624.222	28.4216	549.717 	692.718	4.30214 	1.65769 	1.25042  	7.03083	4041.02	1688.47	241.996 	6488.85
90 	25    	0.631841 	0.0187625 	0.603461  	0.693075	630.468	25.1697	590.568 	692.718	4.18088 	1.62505 	1.25042  	7.03083	4043.59	1796.78	241.996 	6488.85
91 	25    	0.632038 	0.0185658 	0.603461  	0.693075	630.239	25.3803	590.568 	692.718	4.20717 	1.64483 	1.25042  	7.03083	4027.32	1789.86	241.996 	6488.85
92 	25    	0.633603 	0.0199189 	0.607337  	0.713395	632.031	26.9648	590.568 	720.6  	4.21854 	1.64383 	1.25042  	7.03083	4061.34	1793.24	241.996 	6488.85
93 	25    	0.634605 	0.0197614 	0.607635  	0.713395	632.829	26.9715	590.568 	720.6  	4.28831 	1.62483 	1.25042  	7.03083	4110.71	1796.98	241.996 	6488.85
94 	25    	0.634928 	0.0194463 	0.613252  	0.713395	633.085	26.9522	590.568 	720.6  	4.35674 	1.60982 	1.25042  	7.03083	4172.45	1775.8 	241.996 	6488.85
95 	25    	0.635652 	0.0197054 	0.614992  	0.713395	634.076	27.406 	590.568 	720.6  	4.38133 	1.59166 	1.25042  	7.03083	4223.7 	1769.48	241.996 	6488.85
96 	25    	0.636058 	0.0196216 	0.616207  	0.713395	634.664	27.643 	590.568 	720.6  	4.40505 	1.5731  	1.25042  	7.03083	4265.69	1775.99	241.996 	6488.85
