gen	nevals	avg      	std      	min       	max     	p-avg  	p-std  	p-min  	p-max  	s-avg   	s-std   	s-min    	s-max  	t-avg  	t-std  	t-min   	t-max  
0  	100   	0.0611918	0.0698825	-0.0130692	0.337513	62.2055	65.4309	-3.9567	329.861	0.674436	0.914409	-0.596028	5.71105	775.811	1055.6 	-87.0832	7357.63
1  	25    	0.0687791	0.0670679	0.0124123 	0.337513	68.8634	63.1532	13.7304	329.861	0.811681	0.852909	-0.578123	5.71105	820.111	1065.5 	-174.065	7357.63
2  	25    	0.078248 	0.0671439	0.0214207 	0.337513	77.0069	63.7823	15.4759	329.861	0.92021 	0.821327	-0.435104	5.71105	796.097	882.343	-174.065	4683.74
3  	25    	0.0852854	0.0694459	0.0279896 	0.337513	83.9965	65.9079	19.8545	329.861	0.931308	0.831971	-0.435104	5.71105	802.414	876.61 	-49.5332	4683.74
4  	25    	0.0901539	0.0684535	0.0359466 	0.337513	88.512 	65.0887	30.595 	329.861	0.951475	0.823807	-0.435104	5.71105	787.286	825.704	-49.5332	4683.74
5  	25    	0.0917824	0.0674474	0.0381669 	0.337513	89.5032	64.4981	30.595 	329.861	0.987887	0.793173	-0.435104	5.71105	759.966	731.068	-49.5332	3675.56
6  	25    	0.0955644	0.0662877	0.0397882 	0.337513	92.7486	63.6659	33.3856	329.861	1.02373 	0.764076	-0.326786	5.71105	742.156	734.481	-49.5332	3675.56
7  	25    	0.0995981	0.0647652	0.0427989 	0.337513	96.9764	62.2798	38.093 	329.861	1.01382 	0.776435	-0.386001	5.71105	751.653	737.937	-49.5332	3675.56
8  	25    	0.101979 	0.0634367	0.0463296 	0.337513	99.3531	61.037 	39.6876	329.861	1.00853 	0.775325	-0.386001	5.71105	745.981	729.018	-46.6482	3675.56
9  	25    	0.108059 	0.0624203	0.052075  	0.337513	106.017	59.4126	49.729 	329.861	1.0082  	0.789496	-0.386001	5.71105	803.958	762.834	-46.6482	3675.56
10 	25    	0.11501  	0.0669443	0.0577016 	0.397015	112.912	63.3596	51.2648	372.905	1.04653 	0.855882	-0.386001	5.71105	836.698	818.785	-46.6482	3753.45
11 	25    	0.12323  	0.073532 	0.0610674 	0.405412	120.796	69.5831	53.0725	379.449	1.06717 	0.89634 	-0.386001	5.71105	823.745	781.598	-46.6482	3753.45
12 	25    	0.132562 	0.0813995	0.0690972 	0.463318	130.407	77.6485	58.4521	459.411	1.09798 	0.923385	-0.386001	5.71105	882.427	819.605	-46.6482	3753.45
13 	25    	0.14185  	0.0830993	0.0759342 	0.463318	140.55 	80.0244	58.4521	459.411	1.10959 	0.925183	-0.411768	5.71105	979.682	914.008	-46.6482	4152.91
14 	25    	0.146466 	0.0823389	0.0808624 	0.463318	145.263	79.9156	67.0525	459.411	1.11775 	0.9211  	-0.411768	5.71105	997.482	912.749	-46.6482	4152.91
15 	25    	0.155849 	0.0888276	0.0829599 	0.463318	154.458	87.2266	67.0525	459.411	1.17274 	1.0292  	-0.421924	5.71105	1033.59	1034.88	-46.6482	6651.27
16 	25    	0.16238  	0.0917746	0.086742  	0.463318	160.56 	90.0397	73.8436	459.411	1.22225 	0.999234	-0.411768	5.71105	1040.2 	1041   	8.77957 	6651.27
17 	25    	0.165671 	0.090906 	0.091266  	0.463318	163.421	89.1727	73.8436	459.411	1.22776 	0.9878  	-0.326786	5.71105	1002.78	997.477	8.77957 	6651.27
18 	25    	0.176161 	0.0942002	0.0959857 	0.463318	174.054	94.4523	73.8436	505.989	1.28805 	0.990194	-0.209745	5.71105	1077.31	1212.65	8.77957 	7994.07
19 	25    	0.190146 	0.10247  	0.0992976 	0.635811	187.53 	103.582	73.8436	639.031	1.33091 	1.02283 	-0.209745	5.71105	1069.38	1259.2 	8.77957 	7994.07
20 	25    	0.200977 	0.104236 	0.105939  	0.635811	199.222	107.394	73.8436	639.031	1.34136 	1.01966 	-0.209745	5.71105	1165.92	1428.61	8.77957 	7994.07
21 	25    	0.202971 	0.102844 	0.108092  	0.635811	201.304	106.052	73.8436	639.031	1.33171 	1.00944 	-0.209745	5.71105	1164.96	1430.85	8.77957 	7994.07
22 	25    	0.21099  	0.105865 	0.109019  	0.635811	209.325	108.088	97.8323	639.031	1.33134 	0.995577	-0.209745	5.71105	1164.84	1431.73	8.77957 	7994.07
23 	25    	0.215086 	0.104825 	0.111518  	0.635811	213.574	106.818	104.814	639.031	1.33449 	0.996309	-0.209745	5.71105	1183.29	1424.38	8.77957 	7994.07
24 	25    	0.228907 	0.110508 	0.117335  	0.635811	228.055	114.194	108.261	639.031	1.40418 	0.996988	0.0660889	5.71105	1319   	1617.24	8.77957 	7994.07
25 	25    	0.239266 	0.107454 	0.129794  	0.635811	237.847	111.344	130.755	639.031	1.453   	1.07486 	0.272483 	5.71105	1311.11	1628.05	8.77957 	7994.07
26 	25    	0.248927 	0.106115 	0.141219  	0.635811	247.796	111.585	123.828	639.031	1.49932 	1.06455 	0.272483 	5.71105	1386.25	1745.79	8.77957 	7994.07
