gen	nevals	avg      	std      	min      	max     	p-avg  	p-std  	p-min   	p-max  	s-avg   	s-std   	s-min      	s-max  	t-avg  	t-std  	t-min   	t-max  
0  	100   	0.0622487	0.0821664	-0.035545	0.477009	63.1471	78.9403	-2.74489	480.481	0.730667	0.713588	-0.488615  	3.654  	820.501	1077.16	-119.499	6026.52
1  	25    	0.0740606	0.0872156	0.0113524	0.477009	73.3826	84.5158	11.7516 	480.481	0.879001	0.652913	-0.355744  	3.654  	811.203	972.253	-119.499	6026.52
2  	25    	0.0856239	0.0949549	0.0188458	0.489382	84.7639	92.2365	14.0027 	480.481	0.974692	0.66693 	-0.381776  	3.654  	888.689	1018.95	-119.499	6026.52
3  	25    	0.0889972	0.0934345	0.0267552	0.489382	87.6521	90.8973	18.9232 	480.481	1.03523 	0.721701	-0.381776  	4.23528	900.713	1010.41	-119.499	6026.52
4  	25    	0.103643 	0.108502 	0.0310941	0.586542	101.952	106.776	21.853  	603.325	1.11318 	0.785243	-0.381776  	4.23528	944.077	1037.47	-119.499	6026.52
5  	25    	0.108026 	0.106979 	0.0365945	0.586542	107.101	104.993	27.1728 	603.325	1.13442 	0.763927	-0.351418  	4.23528	1041.88	1122.01	-117.908	6026.52
6  	25    	0.112371 	0.10726  	0.0386655	0.586542	111.825	105.115	28.6925 	603.325	1.14391 	0.760971	-0.351418  	4.23528	1089.34	1186.01	-117.908	6026.52
7  	25    	0.125309 	0.119166 	0.0429548	0.586542	125.274	117.771	28.6925 	603.325	1.17188 	0.811708	-0.351418  	4.23528	1168.33	1234.54	-184.659	6026.52
8  	25    	0.132357 	0.11769  	0.0461401	0.586542	131.684	116.437	39.9816 	603.325	1.21492 	0.813136	-0.351418  	4.23528	1147.57	1208.55	-184.659	6026.52
9  	25    	0.14694  	0.121191 	0.0522677	0.586542	145.146	119.756	43.4652 	603.325	1.30141 	0.81879 	-0.209848  	4.23528	1122.08	1135.9 	-184.659	6026.52
10 	25    	0.156724 	0.124368 	0.0602041	0.586542	154.778	122.695	43.4652 	603.325	1.38717 	0.789904	-0.150771  	4.23528	1192.6 	1239.97	-184.659	6026.52
11 	25    	0.168029 	0.127856 	0.0656426	0.586542	165.377	125.251	51.0397 	603.325	1.4721  	0.857215	0.0860534  	4.79915	1206.97	1224.45	-184.659	6026.52
12 	25    	0.175582 	0.129637 	0.0703937	0.586542	172.754	126.964	51.0397 	603.325	1.47101 	0.850066	0.136275   	4.79915	1188.25	1186.07	-184.659	6026.52
13 	25    	0.188714 	0.130497 	0.0783619	0.586542	186.354	127.076	52.1327 	603.325	1.47887 	0.844956	0.136275   	4.79915	1242.87	1216.92	6.66327 	6026.52
14 	25    	0.198011 	0.12906  	0.084448 	0.586542	194.053	126.423	52.1327 	603.325	1.51923 	0.93037 	0.136275   	5.09953	1123.37	972.4  	6.66327 	5333.57
15 	25    	0.204007 	0.128342 	0.0871327	0.586542	199.986	125.523	61.1963 	603.325	1.50546 	0.898975	-0.206178  	5.09953	1103.31	988.374	6.66327 	5333.57
16 	25    	0.212585 	0.12587  	0.0934072	0.586542	208.355	123.073	61.1963 	603.325	1.52784 	0.906701	-0.206178  	5.09953	1104.87	984.191	6.66327 	5333.57
17 	25    	0.219831 	0.123054 	0.0969117	0.586542	215.175	120.923	61.1963 	603.325	1.54712 	0.891429	-0.206178  	5.09953	1081.53	957.686	6.66327 	5333.57
18 	25    	0.228845 	0.122153 	0.101379 	0.586542	224.102	120.413	61.1963 	603.325	1.55384 	0.879212	-0.00568635	5.09953	1079.59	940.478	6.66327 	5333.57
19 	25    	0.245415 	0.117692 	0.112991 	0.586542	240.632	115.744	109.688 	603.325	1.57026 	0.808682	-0.00568635	4.79915	1091.98	924.258	6.66327 	5333.57
20 	25    	0.255079 	0.114117 	0.123692 	0.586542	249.298	113.113	109.688 	603.325	1.61825 	0.787838	-0.00568635	4.79915	1040.09	824.795	6.66327 	4772.99
