gen	nevals	avg      	std      	min      	max     	p-avg  	p-std  	p-min  	p-max  	s-avg   	s-std   	s-min     	s-max  	t-avg  	t-std  	t-min   	t-max  
0  	100   	0.0483167	0.0646153	-0.114045	0.503315	51.6438	63.2742	1.9353 	491.074	0.764572	0.532403	-0.32481  	2.8593 	1097.28	2419.33	-475.23 	17540.4
1  	25    	0.0586536	0.0669651	0.013903 	0.503315	59.1196	68.3026	8.43332	491.074	0.833979	0.525855	-0.32481  	2.8593 	880.57 	1652.26	-383.647	14860.1
2  	25    	0.0649493	0.0685166	0.0189796	0.503315	65.1838	69.6034	8.43332	491.074	0.897199	0.528136	-0.32481  	2.8593 	920.645	1667.86	-383.647	14860.1
3  	25    	0.0701163	0.0679777	0.0244639	0.503315	70.8852	69.4608	18.1696	491.074	0.951115	0.551579	-0.583081 	2.8593 	1028.01	1859.49	-490.988	14860.1
4  	25    	0.0723526	0.0670096	0.0274994	0.503315	72.7072	68.6483	18.7119	491.074	0.957781	0.555242	-0.583081 	2.8593 	993.237	1873.47	-676.893	14860.1
5  	25    	0.0754935	0.0661045	0.0307521	0.503315	75.8661	67.7376	22.6729	491.074	1.01576 	0.518887	-0.583081 	2.8593 	1053.01	1880.91	-676.893	14860.1
6  	25    	0.0789692	0.0653677	0.036555 	0.503315	79.1049	66.9063	25.8852	491.074	1.01724 	0.52315 	-0.583081 	2.8593 	1030.81	1870.07	-676.893	14860.1
7  	25    	0.0817605	0.0652883	0.0397649	0.503315	81.9571	66.7511	28.9654	491.074	1.05276 	0.519539	-0.583081 	2.8593 	1072.41	1879.91	-676.893	14860.1
8  	25    	0.0858956	0.0646343	0.0427935	0.503315	86.3361	65.7991	33.7877	491.074	1.05308 	0.532084	-0.583081 	2.8593 	1097.13	1885.78	-676.893	14860.1
9  	25    	0.0921692	0.0664726	0.046717 	0.503315	92.5741	67.6259	36.7069	491.074	1.065   	0.552665	-0.583081 	2.8593 	1105.48	1901.5 	-676.893	14860.1
10 	25    	0.0995069	0.0701987	0.0505411	0.503315	99.7231	70.3983	41.2208	491.074	1.096   	0.570421	-0.583081 	2.8593 	1117.62	1898.09	-676.893	14860.1
11 	25    	0.101259 	0.0697018	0.0523629	0.503315	100.57 	69.9692	41.3987	491.074	1.14106 	0.617505	-0.583081 	3.05033	1072.15	1591.82	-676.893	10371.1
12 	25    	0.107402 	0.0707221	0.0538702	0.503315	106.577	71.0867	41.3987	491.074	1.16547 	0.64134 	-0.583081 	3.05033	1082.95	1603.44	-676.893	10371.1
13 	25    	0.110246 	0.069575 	0.0575467	0.503315	110.011	69.647 	52.6856	491.074	1.16261 	0.621627	-0.583081 	3.05033	1139.12	1617.61	-676.893	10371.1
14 	25    	0.120852 	0.0868513	0.0616451	0.629893	120.843	86.1003	52.6856	614.854	1.20309 	0.634337	-0.583081 	3.05033	1202.15	1714.45	-676.893	10371.1
