gen	nevals	avg      	std      	min       	max     	p-avg  	p-std  	p-min   	p-max  	s-avg   	s-std   	s-min    	s-max  	t-avg  	t-std  	t-min   	t-max  
0  	100   	0.0465942	0.0685083	-0.0779641	0.38539 	50.518 	60.927 	-3.66489	376.797	0.814946	0.831676	-0.15888 	7.27262	1207.33	2441.55	-525.801	14546.1
1  	25    	0.0560133	0.0640283	0.0101024 	0.38539 	54.8938	60.2631	9.12159 	376.797	0.851315	0.831357	-0.15888 	7.27262	739.371	1201.39	-525.801	7877.04
2  	25    	0.0615097	0.0630291	0.0172845 	0.38539 	59.6414	59.3711	11.7106 	376.797	0.936111	0.81204 	-0.179082	7.27262	749.28 	1204.63	-525.801	7877.04
3  	25    	0.0682368	0.0636082	0.02376   	0.38539 	66.4803	59.8082	14.5047 	376.797	0.982309	0.809444	-0.244358	7.27262	806.656	1193.91	-413.888	7877.04
4  	25    	0.073727 	0.0636759	0.0271811 	0.38539 	71.4077	59.8666	17.8702 	376.797	0.972113	0.821845	-0.244358	7.27262	740.184	1154.52	-1023.53	7877.04
5  	25    	0.0861372	0.0787515	0.0308185 	0.439533	83.2555	76.1849	15.9461 	438.423	1.00902 	0.811367	-0.244358	7.27262	720.852	1142.47	-1023.53	7877.04
6  	25    	0.0912123	0.0781262	0.0351009 	0.439533	89.4807	75.5958	21.6022 	438.423	1.01043 	0.821008	-0.244358	7.27262	837.27 	1286.25	-1023.53	7877.04
7  	25    	0.102939 	0.0945738	0.0387492 	0.638787	100.766	91.8063	21.6022 	622.554	1.04664 	0.846898	-0.244358	7.27262	829.327	1300.82	-1023.53	7877.04
8  	25    	0.109402 	0.0947278	0.0407549 	0.638787	106.616	91.816 	21.6022 	622.554	1.09822 	0.845389	-0.244358	7.27262	819.56 	1295.32	-1023.53	7877.04
9  	25    	0.128286 	0.111088 	0.0482717 	0.638787	123.525	104.784	41.7547 	622.554	1.28906 	1.34775 	-0.244358	11.0019	812.92 	1259.86	-413.888	7877.04
10 	25    	0.13348  	0.112354 	0.0505682 	0.638787	128.427	106.405	46.0981 	622.554	1.32404 	1.34061 	-0.144254	11.0019	818.816	1264.85	-413.888	7877.04
11 	25    	0.141753 	0.120451 	0.0562409 	0.638787	135.452	113.064	46.0981 	622.554	1.44488 	1.43516 	0.0848479	11.0019	814.823	1254.22	-413.888	7877.04
