gen	nevals	avg      	std      	min       	max     	p-avg  	p-std  	p-min   	p-max  	s-avg   	s-std   	s-min     	s-max  	t-avg  	t-std  	t-min   	t-max  
0  	100   	0.0599522	0.0913098	-0.0295399	0.554784	61.4063	87.6295	-34.2909	524.293	0.847113	0.805514	-0.368937 	4.20593	992.52 	1301.47	-389.251	7140.65
1  	25    	0.0661091	0.0884785	0.00899175	0.554784	66.3461	85.973 	1.92412 	524.293	0.908152	0.796828	-0.19567  	4.20593	931.85 	1212.55	-389.251	6372.66
2  	25    	0.0789033	0.0904342	0.0198113 	0.554784	78.8562	88.1513	13.5395 	524.293	1.02685 	0.814018	-0.15053  	4.20593	1022.14	1239   	-389.251	6372.66
3  	25    	0.0851963	0.0905235	0.0250418 	0.554784	85.1557	87.9623	21.7617 	524.293	0.999972	0.832082	-0.167418 	4.20593	995.913	1163.57	-296.808	6372.66
4  	25    	0.0951428	0.0976118	0.0309727 	0.554784	94.5909	94.8037	23.2822 	524.293	1.07473 	0.887068	-0.15053  	4.79242	1019.54	1160.76	-296.808	6372.66
5  	25    	0.102294 	0.100002 	0.0369475 	0.554784	101.781	97.0854	31.4245 	524.293	1.1161  	0.870771	-0.15053  	4.79242	1064.84	1137.33	-178.563	6372.66
6  	25    	0.118038 	0.117891 	0.0398318 	0.689099	115.955	111.405	32.2499 	639.028	1.32463 	1.38593 	-0.15053  	8.56473	1116.33	1167.35	-178.563	6372.66
7  	25    	0.125438 	0.119178 	0.0430725 	0.689099	123.714	112.606	32.2499 	639.028	1.36305 	1.40535 	-0.266249 	8.56473	1190.67	1179.98	-178.563	6372.66
8  	25    	0.135576 	0.121983 	0.0466513 	0.689099	131.796	114.176	37.3941 	639.028	1.47702 	1.57456 	-0.266249 	8.56473	1099.07	927.372	24.336  	4118.97
9  	25    	0.145863 	0.127514 	0.0490501 	0.689099	140.166	117.053	43.7153 	639.028	1.67324 	1.96784 	-0.266249 	11.0715	1103.47	971.701	24.336  	4118.97
10 	25    	0.149391 	0.126453 	0.0523926 	0.689099	143.097	115.915	46.5256 	639.028	1.73256 	1.98738 	-0.120166 	11.0715	1103.22	974.488	24.336  	4118.97
