gen	nevals	avg      	std      	min       	max     	p-avg  	p-std  	p-min   	p-max  	s-avg   	s-std  	s-min     	s-max  	t-avg  	t-std  	t-min   	t-max  
0  	100   	0.0645279	0.0919491	-0.0161827	0.486247	63.029 	84.4256	-9.00259	426.143	0.984834	1.30762	-0.203322 	9.68102	834.946	996.036	-179.753	5740.18
1  	25    	0.0729238	0.0906405	0.0165207 	0.486247	70.2463	83.5875	13.0996 	426.143	1.10121 	1.27601	-0.203322 	9.68102	833.47 	866.242	-179.753	5582.59
2  	25    	0.0782585	0.0889943	0.023618  	0.486247	76.0887	82.123 	18.6886 	426.143	1.13204 	1.32249	-0.147713 	9.68102	915.057	1057.85	-179.753	6953.08
3  	25    	0.0809554	0.0878947	0.0267028 	0.486247	78.9014	80.8966	19.3749 	426.143	1.16499 	1.3141 	-0.127102 	9.68102	959.585	1062.6 	-179.753	6953.08
4  	25    	0.0899636	0.0948152	0.0304023 	0.486247	87.5089	87.5477	25.1488 	426.143	1.21482 	1.33071	-0.127102 	9.68102	969.342	1073   	-179.753	6953.08
5  	25    	0.094979 	0.0938357	0.0349587 	0.486247	92.7338	86.544 	25.1488 	426.143	1.23741 	1.32765	-0.0606648	9.68102	1012.88	1084.01	-179.753	6953.08
6  	25    	0.0984019	0.0924707	0.0393527 	0.486247	96.7782	84.6855	26.6372 	426.143	1.27942 	1.31906	-0.14268  	9.68102	1117.05	1105.78	-133.441	6953.08
7  	25    	0.1058   	0.0929745	0.0425142 	0.486247	104.467	84.9777	33.5465 	426.143	1.32745 	1.34765	-0.215531 	9.68102	1194.1 	1188.9 	-73.8128	6953.08
8  	25    	0.112504 	0.094611 	0.0453936 	0.486247	110.634	86.5589	42.0246 	426.143	1.40658 	1.37461	-0.215531 	9.68102	1219.52	1212.43	-73.8128	6953.08
9  	25    	0.11737  	0.0928487	0.0482638 	0.486247	114.087	85.6168	42.0246 	426.143	1.47239 	1.35352	-0.280814 	9.68102	1144.08	1184.54	-73.8128	6953.08
10 	25    	0.124308 	0.0950356	0.0526461 	0.486247	120.715	87.8476	42.0246 	426.143	1.55033 	1.37   	-0.280814 	9.68102	1191.01	1315.88	-73.8128	6953.08
11 	25    	0.127597 	0.0934859	0.0552208 	0.486247	123.136	86.6528	42.0246 	426.143	1.60111 	1.3517 	-0.280814 	9.68102	1155.04	1332.76	-73.8128	6953.08
12 	25    	0.138179 	0.099184 	0.0571694 	0.486247	133.186	90.7406	46.1728 	426.143	1.79933 	1.77827	-0.280814 	10.8246	1299.98	1531.44	-141.373	7363.39
13 	25    	0.144848 	0.0979292	0.0614799 	0.486247	140.088	89.3989	46.1728 	426.143	1.88177 	1.77554	-0.280814 	10.8246	1405.75	1650.57	-141.373	7557.66
14 	25    	0.152263 	0.0994362	0.0657337 	0.486247	147.388	90.6922	58.2348 	426.143	1.88599 	1.78356	-0.280814 	10.8246	1398.49	1643.5 	-141.373	7557.66
15 	25    	0.161206 	0.098623 	0.0693296 	0.486247	154.88 	90.5919	58.2348 	426.143	1.97901 	1.76995	-0.280814 	10.8246	1346.48	1532.56	-141.373	7363.39
16 	25    	0.165948 	0.0961009	0.0740493 	0.486247	159.371	88.1584	58.2348 	426.143	2.07373 	1.82398	-0.280814 	10.8246	1416.01	1602.6 	-141.373	7363.39
17 	25    	0.171673 	0.0938889	0.082685  	0.486247	164.541	86.237 	74.4127 	426.143	2.09206 	1.83298	-0.280814 	10.8246	1378.8 	1607.27	-73.8128	7363.39
