gen	nevals	avg      	std      	min       	max     	p-avg  	p-std  	p-min   	p-max  	s-avg   	s-std   	s-min     	s-max  	t-avg  	t-std  	t-min  	t-max  
0  	100   	0.0540944	0.0588386	-0.0216622	0.333595	52.7789	56.7638	-6.49789	338.863	0.833302	0.679842	-0.180213 	3.72779	701.751	440.837	80.5524	1862.99
1  	25    	0.0633765	0.0598444	0.01403   	0.333595	60.6783	58.6562	9.21455 	338.863	0.918384	0.666985	-0.075289 	3.72779	648.568	403.545	80.5524	1862.99
2  	25    	0.0736058	0.0628736	0.0186851 	0.333595	70.1103	61.4754	13.2944 	338.863	1.05125 	0.710602	-0.075289 	3.72779	701.697	410.239	102.447	1862.99
3  	25    	0.0820241	0.061927 	0.0247395 	0.333595	78.839 	60.8464	23.0733 	338.863	1.10602 	0.691827	-0.185545 	3.72779	787.515	403.418	102.447	1862.99
4  	25    	0.0873188	0.0602315	0.0312624 	0.333595	83.7036	59.41  	26.7168 	338.863	1.16604 	0.692157	-0.185545 	3.72779	804.516	411.034	90.0467	1862.99
5  	25    	0.0924125	0.0595216	0.0352345 	0.333595	88.8795	58.3386	27.0648 	338.863	1.21913 	0.747155	-0.0480877	3.72779	865.835	416.5  	148.238	2261.02
6  	25    	0.0985802	0.0586936	0.0394032 	0.333595	94.7417	57.4312	32.9252 	338.863	1.2955  	0.84505 	0.0404523 	5.0436 	911.646	419.728	148.238	2261.02
7  	25    	0.109291 	0.0645157	0.0450319 	0.407771	105.876	63.7871	35.3717 	408.039	1.33685 	0.849482	0.0404523 	5.0436 	995.421	452.805	148.238	2261.02
8  	25    	0.11542  	0.0669808	0.0491726 	0.407771	111.843	66.0423	36.6135 	408.039	1.37136 	0.848969	0.0717042 	5.0436 	1013.72	445.316	187.017	2261.02
9  	25    	0.118651 	0.067548 	0.0540957 	0.407771	114.587	67.3621	36.6135 	408.039	1.41025 	0.832037	0.0717042 	5.0436 	1003.84	427.462	187.017	2240.16
10 	25    	0.125862 	0.0678386	0.0609603 	0.407771	121.901	68.0017	54.2456 	408.039	1.42488 	0.81503 	0.112331  	5.0436 	1028.78	427.879	187.017	2240.16
11 	25    	0.127819 	0.066839 	0.0651958 	0.407771	124.194	66.9851	58.9443 	408.039	1.40715 	0.820581	0.112331  	5.0436 	1044.69	431.364	187.017	2240.16
12 	25    	0.134328 	0.0671767	0.0687224 	0.407771	130.485	67.7393	60.3874 	408.039	1.4647  	0.875029	0.112331  	5.0436 	1080.47	439.868	384.724	2439.69
13 	25    	0.141035 	0.0694826	0.0712946 	0.407771	136.547	69.7905	60.3874 	408.039	1.54526 	0.9493  	0.112331  	5.19033	1096.42	432.153	384.724	2439.69
14 	25    	0.147176 	0.0688363	0.0733834 	0.407771	143.026	69.0934	67.2934 	408.039	1.56199 	0.984174	0.112331  	5.19033	1146.99	440.818	384.724	2439.69
15 	25    	0.149016 	0.0680471	0.0763575 	0.407771	144.708	68.7512	67.2934 	408.039	1.59385 	0.978768	0.112331  	5.19033	1162.99	451.16 	384.724	2439.69
16 	25    	0.149149 	0.0679176	0.0776731 	0.407771	145.026	68.4517	67.2934 	408.039	1.5707  	0.997552	0.112331  	5.19033	1158.39	455.735	384.724	2439.69
17 	25    	0.154061 	0.0684787	0.0819366 	0.407771	149.633	69.2999	67.2934 	408.039	1.62791 	0.997879	0.112331  	5.19033	1185.15	458.238	281.773	2439.69
18 	25    	0.158886 	0.0676768	0.0858098 	0.407771	154.769	68.6036	74.9755 	408.039	1.63523 	0.982892	0.112331  	5.19033	1223.56	463.477	281.773	2455.05
19 	25    	0.161468 	0.0659072	0.0869724 	0.407771	157.387	66.9132	82.0603 	408.039	1.64242 	1.00495 	0.112331  	5.19033	1234.26	483.567	281.773	2455.05
20 	25    	0.168105 	0.0716509	0.0928072 	0.46289 	163.795	72.4152	82.0603 	446.976	1.70799 	0.992164	0.112331  	5.19033	1276.96	481.561	281.773	2455.05
21 	25    	0.16978  	0.0703292	0.10037   	0.46289 	165.75 	70.9209	88.0369 	446.976	1.70672 	0.98683 	0.112331  	5.19033	1303.71	474.456	281.773	2455.05
22 	25    	0.171177 	0.0694919	0.103431  	0.46289 	167.225	69.9805	88.0369 	446.976	1.71284 	0.99439 	0.112331  	5.19033	1317.59	462.532	281.773	2455.05
23 	25    	0.176567 	0.0687989	0.10992   	0.46289 	172.629	69.7117	88.0369 	446.976	1.7287  	0.987155	0.112331  	5.19033	1334.9 	478.887	281.773	2455.05
24 	25    	0.178242 	0.0679751	0.116066  	0.46289 	174.957	68.5755	88.0369 	446.976	1.69788 	0.998139	0.112331  	5.19033	1369.39	463.712	281.773	2455.05
25 	25    	0.181272 	0.067173 	0.117561  	0.46289 	177.348	67.9658	88.0369 	446.976	1.74827 	1.05203 	0.112331  	5.37013	1355.96	458.738	281.773	2455.05
26 	25    	0.184087 	0.0656404	0.12429   	0.46289 	179.866	66.6561	88.0369 	446.976	1.78238 	1.0366  	0.112331  	5.37013	1360.26	446.922	281.773	2455.05
27 	25    	0.189615 	0.0688194	0.12491   	0.46289 	185.476	69.2635	88.0369 	446.976	1.81411 	1.05321 	-0.0473153	5.37013	1400.15	456.658	281.773	2455.05
