gen	nevals	avg      	std      	min       	max     	p-avg  	p-std  	p-min   	p-max  	s-avg   	s-std   	s-min     	s-max  	t-avg  	t-std  	t-min  	t-max  
0  	100   	0.058763 	0.0673811	-0.0324922	0.33672 	58.8776	67.1302	-16.0942	332.259	0.741912	0.557894	-0.319248 	2.77609	753.376	492.003	105.195	2036.16
1  	25    	0.073369 	0.0740516	0.0172363 	0.395478	71.8193	74.697 	13.0165 	377.454	0.929398	0.583378	-0.108778 	3.33052	774.426	498.385	154.197	2036.16
2  	25    	0.0790856	0.072388 	0.0236577 	0.395478	77.6298	73.0576	15.1059 	377.454	0.956437	0.58078 	-0.108778 	3.33052	810.854	482.977	154.197	2036.16
3  	25    	0.0868783	0.0701293	0.0298322 	0.395478	86.0332	70.8669	23.7781 	377.454	0.954033	0.585179	-0.108778 	3.33052	869.525	508.32 	154.197	2036.16
4  	25    	0.0927776	0.0704545	0.0334517 	0.395478	91.4611	71.2726	25.1346 	377.454	1.00518 	0.576668	-0.0304372	3.33052	873.531	505.377	154.197	2036.16
5  	25    	0.097793 	0.0714714	0.0371958 	0.395478	96.4336	72.1314	29.6786 	377.454	1.02815 	0.583475	-0.0304372	3.33052	892.218	491.843	154.197	2036.16
6  	25    	0.104232 	0.0731368	0.0383288 	0.395478	102.957	74.1247	31.4645 	377.454	1.04097 	0.591097	-0.0304372	3.33052	913.488	504.425	192.216	2036.16
7  	25    	0.11909  	0.0869243	0.043393  	0.503672	118.251	86.7225	36.423  	494.332	1.07475 	0.688762	-0.0304372	3.33052	990.807	526.116	192.216	2036.16
8  	25    	0.121069 	0.0858728	0.0461844 	0.503672	120.432	85.4859	37.8716 	494.332	1.07701 	0.688943	-0.0304372	3.33052	1013.33	516.889	192.216	2036.16
9  	25    	0.124435 	0.0839855	0.0557031 	0.503672	124.114	83.2388	49.3833 	494.332	1.05075 	0.719716	-0.0304372	3.33052	1018.63	512.992	194.649	2036.16
10 	25    	0.130015 	0.0826696	0.0617635 	0.503672	129.492	82.5836	57.8609 	494.332	1.08478 	0.721151	-0.0304372	3.33052	1032.52	546.469	194.649	2174.81
11 	25    	0.136322 	0.0852319	0.065267  	0.503672	135.349	85.3505	57.8609 	494.332	1.13403 	0.732128	-0.0304372	3.33052	1036.72	557.668	194.649	2174.81
12 	25    	0.146344 	0.0891883	0.0681193 	0.503672	145.379	89.2174	64.9357 	494.332	1.17882 	0.733105	-0.0304372	3.33052	1082.31	549.415	194.649	2174.81
13 	25    	0.149039 	0.0887557	0.0741472 	0.503672	148.502	88.5408	70.2274 	494.332	1.15875 	0.753548	-0.0304372	3.33052	1105.05	534.427	194.649	2174.81
14 	25    	0.151806 	0.0884493	0.0771097 	0.503672	151.494	88.1986	70.5606 	494.332	1.16144 	0.748613	-0.0304372	3.33052	1130.22	524.183	246.202	2174.81
15 	25    	0.159216 	0.0888584	0.0820153 	0.503672	159.301	88.3429	70.5606 	494.332	1.17527 	0.760813	-0.0605604	3.33052	1183.76	497.516	275.687	2174.81
16 	25    	0.169584 	0.0880724	0.0868845 	0.503672	169.715	87.5874	81.681  	494.332	1.19477 	0.789387	-0.0605604	3.33052	1207.88	506.969	275.687	2330.76
17 	25    	0.174919 	0.0858336	0.0932771 	0.503672	175.51 	85.2748	87.9749 	494.332	1.17794 	0.786773	-0.0605604	3.33052	1236.98	504.538	323.517	2330.76
18 	25    	0.183504 	0.084485 	0.0999317 	0.503672	184.513	83.8718	96.9358 	494.332	1.16988 	0.785772	-0.0605604	3.33052	1270.85	498.487	344.066	2330.76
19 	25    	0.19712  	0.097189 	0.106262  	0.633352	197.956	97.1544	98.8785 	639.115	1.22417 	0.769836	-0.0605604	3.33052	1307.73	500.833	344.066	2330.76
20 	25    	0.203613 	0.0979358	0.110869  	0.633352	204.489	97.789 	98.8785 	639.115	1.2389  	0.768625	-0.0605604	3.33052	1326.6 	495.967	311.291	2330.76
21 	25    	0.218602 	0.104806 	0.117465  	0.633352	219.596	104.203	111.175 	639.115	1.27719 	0.748726	-0.0605604	3.33052	1376.6 	486.965	344.066	2330.76
22 	25    	0.23016  	0.113477 	0.121136  	0.633352	231.842	113.16 	118.586 	639.115	1.27757 	0.75488 	-0.0605604	3.33052	1445.79	479.08 	344.066	2330.76
23 	25    	0.234709 	0.111269 	0.124163  	0.633352	236.766	111.02 	118.586 	639.115	1.26644 	0.75554 	0.0637542 	3.33052	1472.19	471.926	344.066	2330.76
24 	25    	0.244202 	0.111952 	0.129858  	0.633352	246.658	111.66 	126.692 	639.115	1.27985 	0.756818	0.0637542 	3.33052	1525.48	453.27 	436.706	2455.39
25 	25    	0.247044 	0.110345 	0.134878  	0.633352	249.148	110.11 	130.711 	639.115	1.30644 	0.784166	0.0637542 	3.33052	1516.75	447.689	436.706	2455.39
26 	25    	0.255227 	0.112939 	0.13741   	0.633352	257.238	112.736	130.711 	639.115	1.35362 	0.786053	0.0637542 	3.33052	1554.76	433.759	436.706	2455.39
27 	25    	0.270542 	0.116833 	0.144925  	0.633352	272.521	116.294	137.003 	639.115	1.39156 	0.789327	0.0637542 	3.33052	1589.5 	407.324	532.287	2455.39
28 	25    	0.284288 	0.115639 	0.156434  	0.633352	286.397	115.07 	151.607 	639.115	1.40231 	0.828066	-0.0710689	3.92867	1613.16	414.064	532.287	2481.81
29 	25    	0.292169 	0.112874 	0.16098   	0.633352	294.226	112.401	151.607 	639.115	1.44051 	0.841082	-0.0710689	3.92867	1646.23	417.284	532.287	2481.81
30 	25    	0.295046 	0.110465 	0.166191  	0.633352	298.055	109.128	164.189 	639.115	1.37261 	0.864503	-0.211624 	3.92867	1673.5 	423.051	532.287	2481.81
31 	25    	0.303986 	0.10784  	0.172817  	0.633352	306.96 	106.253	165.548 	639.115	1.40109 	0.87148 	-0.211624 	3.92867	1698.4 	406.937	532.287	2481.81
32 	25    	0.309645 	0.104075 	0.197619  	0.633352	312.976	102.254	196.788 	639.115	1.38681 	0.871683	-0.211624 	3.92867	1719.93	393.667	635.815	2481.81
33 	25    	0.311471 	0.103309 	0.202033  	0.633352	314.771	101.491	203.992 	639.115	1.39157 	0.869234	-0.211624 	3.92867	1721.48	387.851	743.486	2481.81
34 	25    	0.32218  	0.10468  	0.214192  	0.633352	325.518	102.955	208.737 	639.115	1.39041 	0.862437	-0.211624 	3.92867	1724.22	401.698	743.486	2481.81
35 	25    	0.328192 	0.101861 	0.226709  	0.633352	331.096	100.4  	221.942 	639.115	1.43418 	0.860807	0.063023  	3.92867	1724.56	391.939	743.486	2481.81
36 	25    	0.331217 	0.0999959	0.229774  	0.633352	333.457	98.9996	231.342 	639.115	1.48311 	0.840927	0.063023  	3.92867	1707.12	392.557	743.486	2481.81
37 	25    	0.336343 	0.100288 	0.236072  	0.633352	337.733	100.032	231.342 	639.115	1.5395  	0.80233 	0.170976  	3.92867	1678.42	374.059	743.486	2481.81
38 	25    	0.340852 	0.101568 	0.240347  	0.633352	342.346	101.238	231.342 	639.115	1.5371  	0.808672	0.170976  	3.92867	1686.45	377.451	743.486	2481.81
39 	25    	0.347201 	0.0998289	0.247844  	0.633352	348.398	99.5893	231.342 	639.115	1.56331 	0.783395	0.170976  	3.92867	1682.97	359.608	928.032	2481.81
40 	25    	0.354901 	0.0974915	0.249862  	0.633352	356.428	96.8083	242.977 	639.115	1.55179 	0.785648	0.170976  	3.92867	1704.49	345.956	928.032	2481.81
41 	25    	0.355743 	0.0967904	0.251545  	0.633352	357.362	96.0649	247.744 	639.115	1.53644 	0.776203	0.18162   	3.92867	1698.36	341.852	928.032	2481.81
42 	25    	0.365038 	0.0967894	0.255374  	0.633352	365.73 	97.1067	248.62  	639.115	1.61553 	0.73501 	0.24442   	3.92867	1684.64	325.87 	928.032	2481.81
43 	25    	0.371034 	0.0932221	0.262317  	0.633352	370.576	95.0592	248.62  	639.115	1.71611 	0.697396	0.286876  	3.92867	1670.25	328.41 	928.032	2481.81
44 	25    	0.375955 	0.0901527	0.26692   	0.633352	375.653	91.7934	248.968 	639.115	1.70735 	0.694506	0.286876  	3.92867	1677.08	322.696	928.032	2481.81
45 	25    	0.384709 	0.0870205	0.2788    	0.633352	385.019	88.2537	272.725 	639.115	1.67199 	0.664029	0.286876  	3.92867	1702.95	313.787	933.646	2481.81
