gen	nevals	avg      	std      	min       	max     	p-avg  	p-std  	p-min   	p-max  	s-avg   	s-std   	s-min    	s-max  	t-avg  	t-std  	t-min   	t-max  
0  	100   	0.067765 	0.130906 	-0.091931 	0.918926	69.3161	135.214	-37.8488	870.546	0.907401	1.01628 	-0.423693	7.38167	1062.51	3450.49	-1093.94	32425.8
1  	25    	0.0770549	0.130453 	0.00809214	0.918926	76.1004	136.803	-7.35762	870.546	0.990836	0.978495	-0.423693	7.38167	895.382	3232.82	-1093.94	32425.8
2  	25    	0.0923419	0.138068 	0.0150089 	0.918926	93.5309	150.436	0.403161	870.546	1.08297 	1.07933 	-0.423693	7.38167	1201.87	3859.9 	-1093.94	32425.8
3  	25    	0.105653 	0.148966 	0.0189167 	0.918926	106.786	159.793	0.403161	870.546	1.14868 	1.08887 	-0.423693	7.38167	1261.98	3861.46	-1093.94	32425.8
4  	25    	0.122365 	0.156034 	0.0244351 	0.918926	125.177	169.612	16.7018 	870.546	1.28361 	1.15448 	-0.423693	7.38167	1564.75	4364.36	-441.842	32425.8
5  	25    	0.128135 	0.153827 	0.0316496 	0.918926	133.863	170.796	22.2773 	870.546	1.32866 	1.14793 	-0.423693	7.38167	1901.44	5258.28	-441.842	32425.8
6  	25    	0.131074 	0.152703 	0.0350597 	0.918926	136.979	169.494	25.5828 	870.546	1.31602 	1.1571  	-0.423693	7.38167	1906.58	5253.34	-441.842	32425.8
7  	25    	0.137264 	0.153718 	0.0390536 	0.918926	144.486	173.325	30.79   	870.546	1.33864 	1.16028 	-0.423693	7.38167	2060.85	5488.11	-441.842	32425.8
8  	25    	0.143946 	0.15283  	0.044304  	0.918926	150.714	172.215	36.6862 	870.546	1.37965 	1.14597 	-0.423693	7.38167	2056.4 	5488.55	-441.842	32425.8
9  	25    	0.154455 	0.152302 	0.0468102 	0.918926	162.427	173.842	36.6862 	870.546	1.49232 	1.16266 	0.0374029	7.38167	2289.53	5736.43	-441.842	32425.8
10 	25    	0.174042 	0.161904 	0.0514916 	0.918926	181.195	180.067	43.896  	870.546	1.62397 	1.21799 	0.0374029	7.38167	2339.26	5726.19	-441.842	32425.8
11 	25    	0.184386 	0.160078 	0.0615023 	0.918926	193.854	179.914	49.0055 	870.546	1.6642  	1.21773 	0.0374029	7.38167	2611.02	6002.7 	-441.842	32425.8
12 	25    	0.1906   	0.158674 	0.0645339 	0.918926	203.222	178.105	54.5706 	870.546	1.6951  	1.20869 	0.0374029	7.38167	2957.32	6329.9 	-441.842	32425.8
13 	25    	0.203242 	0.156571 	0.0729721 	0.918926	217.976	175.267	59.046  	870.546	1.72388 	1.20799 	0.0374029	7.38167	3197.31	6598.98	-441.842	32425.8
14 	25    	0.208351 	0.15529  	0.0765671 	0.918926	225.308	172.784	61.2153 	870.546	1.70661 	1.22297 	0.0374029	7.38167	3402.29	6653.42	-441.842	32425.8
15 	25    	0.215047 	0.152835 	0.0810622 	0.918926	232.622	169.121	66.9327 	870.546	1.7259  	1.24846 	0.0374029	7.38167	3483.38	6640.58	-582.969	32425.8
16 	25    	0.221922 	0.153255 	0.0841291 	0.918926	241.369	168.809	69.0879 	870.546	1.81031 	1.34826 	0.0374029	7.38167	3755.01	6852.95	-582.969	32425.8
17 	25    	0.234634 	0.152487 	0.0923004 	0.918926	255.863	167.094	83.0103 	870.546	1.84281 	1.34969 	0.0374029	7.38167	3965.68	6860.9 	-582.969	32425.8
18 	25    	0.244043 	0.149859 	0.0972396 	0.918926	270.229	166.316	83.2684 	870.546	1.85598 	1.34593 	0.0374029	7.38167	4474.58	7323.23	-582.969	32425.8
19 	25    	0.25372  	0.145057 	0.11169   	0.918926	279.04 	161.15 	97.3181 	870.546	1.92102 	1.3117  	0.0374029	7.38167	4453.01	7158.69	-582.969	32425.8
20 	25    	0.258817 	0.141738 	0.121898  	0.918926	285.309	159.286	107.444 	870.546	1.96772 	1.33061 	0.0374029	7.38167	4616.88	7283.49	-424.573	32425.8
