gen	nevals	avg      	std      	min       	max     	p-avg  	p-std  	p-min   	p-max  	s-avg   	s-std   	s-min     	s-max  	t-avg  	t-std  	t-min   	t-max  
0  	100   	0.0551703	0.102267 	-0.0778406	0.817467	59.224 	102.47 	-8.07242	819.732	0.892715	0.761938	-0.118129 	5.22098	1298.09	2923.47	-1105.97	17072.1
1  	25    	0.0660664	0.104603 	0.00862327	0.817467	66.1396	105.84 	2.24575 	819.732	0.930718	0.798403	-0.0503158	5.22098	938.041	1962.48	-1105.97	17072.1
2  	25    	0.0706758	0.103238 	0.0154121 	0.817467	70.6772	104.804	8.98283 	819.732	0.943388	0.779643	-0.0503158	5.22098	943.523	1961.7 	-1105.97	17072.1
3  	25    	0.0724978	0.102464 	0.0238238 	0.817467	72.2548	104.107	17.9634 	819.732	0.976007	0.769184	-0.0503158	5.22098	951.704	1959.67	-1105.97	17072.1
4  	25    	0.0811348	0.103513 	0.0275951 	0.817467	81.722 	106.296	17.9634 	819.732	1.03255 	0.761292	-0.0379988	5.22098	1091.26	2094.62	-1105.97	17072.1
5  	25    	0.0839173	0.102776 	0.0306768 	0.817467	84.281 	105.401	22.3033 	819.732	1.09557 	0.769013	-0.0379988	5.22098	1131.94	2086.32	-270.414	17072.1
6  	25    	0.0947394	0.125927 	0.0330835 	0.818314	95.2444	124.97 	23.3199 	819.732	1.17185 	0.933956	-0.0379988	6.60726	1222.35	2111.43	-270.414	17072.1
7  	25    	0.0988326	0.124815 	0.0352966 	0.818314	99.7393	123.529	26.7783 	819.732	1.19114 	0.930644	-0.0144914	6.60726	1281.82	2106.33	-270.414	17072.1
8  	25    	0.106903 	0.130199 	0.0384612 	0.818314	108.086	129.324	30.7631 	819.732	1.23968 	0.985018	0.0475593 	6.60726	1358   	2169.57	-270.414	17072.1
9  	25    	0.114783 	0.128324 	0.0416442 	0.818314	115.799	127.531	34.5573 	819.732	1.30477 	0.975537	0.0476298 	6.60726	1406.36	2192.86	-270.414	17072.1
10 	25    	0.117694 	0.12742  	0.0453721 	0.818314	118.691	126.68 	34.5573 	819.732	1.29522 	0.977878	0.0476298 	6.60726	1394.9 	2201.81	-270.414	17072.1
11 	25    	0.123489 	0.125902 	0.0465532 	0.818314	124.867	125.069	40.0255 	819.732	1.3752  	0.992552	0.0476298 	6.60726	1512.98	2281.24	-270.414	17072.1
12 	25    	0.133688 	0.13063  	0.0514849 	0.818314	134.672	129.735	45.3297 	819.732	1.45687 	0.989266	0.0476298 	6.60726	1555.33	2292.05	-270.414	17072.1
13 	25    	0.14167  	0.1356   	0.0582194 	0.818314	142.626	134.483	51.8888 	819.732	1.54034 	1.08752 	0.0697354 	6.60726	1635.86	2330.12	-270.414	17072.1
14 	25    	0.143289 	0.134798 	0.0610062 	0.818314	144.651	133.482	52.1644 	819.732	1.54518 	1.08221 	0.0697354 	6.60726	1681.45	2329.63	-270.414	17072.1
15 	25    	0.149323 	0.134732 	0.066075  	0.818314	151.025	132.821	54.3767 	819.732	1.56826 	1.07737 	0.0697354 	6.60726	1738.4 	2328.68	-270.414	17072.1
16 	25    	0.155654 	0.137094 	0.0707838 	0.818314	158.42 	134.307	63.8335 	819.732	1.60613 	1.06306 	0.0909803 	6.60726	1882.76	2359.92	-270.414	17072.1
17 	25    	0.162313 	0.136617 	0.0753197 	0.818314	165.796	133.508	63.8335 	819.732	1.61422 	1.06614 	0.0909803 	6.60726	1962.59	2399.45	-270.414	17072.1
18 	25    	0.166703 	0.135096 	0.0804859 	0.818314	170.783	131.639	65.138  	819.732	1.64405 	1.05898 	0.0909803 	6.60726	2052.06	2424.89	-1086.66	17072.1
19 	25    	0.174385 	0.137418 	0.085032  	0.818314	178.893	134.088	72.1896 	819.732	1.64482 	1.05862 	0.0909803 	6.60726	2095.6 	2427.28	-1086.66	17072.1
20 	25    	0.184747 	0.144028 	0.0902757 	0.818314	189.095	139.221	72.8559 	819.732	1.74194 	1.19353 	0.164927  	6.98977	2176.77	2436.33	-1086.66	17072.1
21 	25    	0.18605  	0.143314 	0.0935969 	0.818314	189.885	138.799	72.8559 	819.732	1.74888 	1.1888  	0.164927  	6.98977	2132.31	2409.97	-1086.66	17072.1
22 	25    	0.187684 	0.142598 	0.0949103 	0.818314	192.108	137.78 	87.1464 	819.732	1.75162 	1.18577 	0.164927  	6.98977	2193.95	2404.43	-1086.66	17072.1
23 	25    	0.194838 	0.140941 	0.0986381 	0.818314	199.936	136.551	91.2698 	819.732	1.77454 	1.18212 	0.164927  	6.98977	2284.34	2539.84	-1447.11	17072.1
24 	25    	0.204388 	0.143775 	0.103313  	0.818314	208.013	139.374	91.4784 	819.732	1.85814 	1.23752 	0.613357  	6.98977	2220.62	2532.14	-1447.11	17072.1
25 	25    	0.214771 	0.144108 	0.107184  	0.818314	217.146	139.829	91.4784 	819.732	1.96722 	1.29911 	0.613357  	6.98977	2204.72	2535.1 	-1447.11	17072.1
26 	25    	0.21933  	0.141757 	0.111083  	0.818314	221.562	137.353	95.9425 	819.732	1.95051 	1.30903 	0.613357  	6.98977	2173.64	2534.62	-1447.11	17072.1
27 	25    	0.22122  	0.141009 	0.114153  	0.818314	222.887	136.861	95.9425 	819.732	1.95906 	1.30619 	0.613357  	6.98977	2125.79	2481.34	-1447.11	17072.1
28 	25    	0.227294 	0.140933 	0.117867  	0.818314	228.572	136.399	95.9425 	819.732	1.99402 	1.33312 	0.660698  	6.98977	2121.88	2456.33	-1447.11	17072.1
29 	25    	0.231214 	0.138763 	0.123377  	0.818314	233.103	134.068	110.82  	819.732	2.00476 	1.33688 	0.428948  	6.98977	2193.74	2507.35	-1447.11	17072.1
30 	25    	0.235748 	0.137091 	0.128211  	0.818314	235.918	132.702	110.82  	819.732	2.01209 	1.34524 	0.428948  	6.98977	2029.03	2030.48	-1447.11	8297.07
31 	25    	0.245743 	0.138836 	0.13564   	0.818314	245.116	135.311	110.82  	819.732	2.08608 	1.36118 	0.428948  	6.98977	2023.39	2027.59	-1447.11	8297.07
32 	25    	0.250153 	0.136698 	0.143958  	0.818314	249.755	133.264	124.21  	819.732	2.1434  	1.36973 	0.428948  	6.98977	2103.58	1988.2 	-1086.66	8297.07
33 	25    	0.26053  	0.138218 	0.148186  	0.818314	260.092	133.792	124.21  	819.732	2.20811 	1.39162 	0.428948  	6.98977	2164.37	2181.95	-1086.66	10967.5
34 	25    	0.266271 	0.137476 	0.15021   	0.818314	265.87 	133.081	124.21  	819.732	2.24925 	1.41724 	0.428948  	6.98977	2209.16	2189.55	-1086.66	10967.5
35 	25    	0.27308  	0.136949 	0.158138  	0.818314	272.999	132.919	141.396 	819.732	2.28681 	1.4071  	0.428948  	6.98977	2278.69	2201.34	109.239 	10967.5
36 	25    	0.280551 	0.138167 	0.161923  	0.818314	280.491	133.632	143.461 	819.732	2.31919 	1.4476  	0.428948  	6.98977	2313.16	2261.4 	109.239 	10967.5
37 	25    	0.288106 	0.142203 	0.163367  	0.818314	287.99 	137.014	143.461 	819.732	2.33223 	1.44308 	0.428948  	6.98977	2320.68	2258.48	109.239 	10967.5
