gen	nevals	avg     	std       	min         	max    	p-avg	p-std   	p-min	p-max	s-avg   	s-std   	s-min     	s-max  	t-avg  	t-std  	t-min   	t-max  
0  	100   	0.139434	0.349643  	-0.0541658  	1.02265	0.14 	0.346987	0    	1    	0.848993	0.750988	-0.43796  	4.20383	905.606	1117.08	-149.492	6817.37
1  	25    	0.152403	0.358507  	-0.00624412 	1.02265	0.15 	0.357071	0    	1    	0.887774	0.744836	-0.210043 	4.20383	647.468	633.446	-149.492	5604.84
2  	25    	0.183787	0.385048  	-0.00423009 	1.02265	0.18 	0.384187	0    	1    	1.00145 	0.696657	-0.230503 	4.20383	622.797	620.704	-149.492	5604.84
3  	25    	0.195364	0.39278   	-0.0016754  	1.02265	0.19 	0.392301	0    	1    	1.13677 	0.674885	-0.121097 	4.20383	600.372	615.681	-149.492	5604.84
4  	25    	0.22618 	0.414686  	-0.000323073	1.02304	0.22 	0.414246	0    	1    	1.19268 	0.661708	-0.121097 	4.20383	574.658	602.396	-149.492	5604.84
5  	25    	0.236983	0.420914  	0.00146218  	1.02304	0.23 	0.420833	0    	1    	1.26893 	0.602396	0.282918  	4.20383	570.624	593.502	-125.724	5604.84
6  	25    	0.247613	0.426598  	0.00293401  	1.02304	0.24 	0.427083	0    	1    	1.28976 	0.661557	0.282918  	4.20383	528.444	597.481	-163.341	5604.84
7  	25    	0.298137	0.45326   	0.00414433  	1.02787	0.29 	0.453762	0    	1    	1.3462  	0.705688	0.282918  	4.20383	532.512	691.766	-315.007	5604.84
8  	25    	0.308295	0.457658  	0.00438794  	1.02787	0.3  	0.458258	0    	1    	1.34981 	0.710342	0.282918  	4.20383	520.286	694.133	-315.007	5604.84
9  	25    	0.338516	0.469173  	0.0048211   	1.02787	0.33 	0.470213	0    	1    	1.36552 	0.711802	0.281282  	4.20383	513.905	696.616	-315.007	5604.84
10 	25    	0.368586	0.478375  	0.00570097  	1.02787	0.36 	0.48    	0    	1    	1.3809  	0.708575	0.281282  	4.20383	522.311	719.682	-315.007	5604.84
11 	25    	0.398866	0.485909  	0.00662131  	1.02787	0.39 	0.48775 	0    	1    	1.39844 	0.701659	0.281282  	4.20383	511.87 	722.957	-341.103	5604.84
12 	25    	0.458145	0.494384  	0.00721154  	1.02787	0.45 	0.497494	0    	1    	1.40675 	0.701844	0.281282  	4.20383	592.289	1014.41	-341.103	7577.3 
13 	25    	0.527467	0.495701  	0.00786433  	1.04239	0.52 	0.4996  	0    	1    	1.47944 	0.775635	0.281282  	4.58907	732.741	1327.01	-244.355	9205.74
14 	25    	0.547721	0.494366  	0.00847473  	1.04239	0.54 	0.498397	0    	1    	1.50818 	0.817978	0.281282  	4.58907	736.05 	1327.45	-244.355	9205.74
15 	25    	0.627598	0.481284  	0.0092484   	1.04239	0.62 	0.485386	0    	1    	1.56196 	0.84269 	0.281282  	4.58907	802.198	1357.15	-244.355	9205.74
16 	25    	0.67739 	0.465989  	0.00985925  	1.04239	0.67 	0.470213	0    	1    	1.56327 	0.855558	0.281282  	4.58907	824.274	1352.08	-244.355	9205.74
17 	25    	0.726984	0.444408  	0.0101978   	1.04239	0.72 	0.448999	0    	1    	1.56065 	0.854856	0.281282  	4.58907	862.279	1392.83	-244.355	9205.74
18 	25    	0.775644	0.415413  	0.0117609   	1.04239	0.77 	0.420833	0    	1    	1.56543 	0.866901	0.281282  	4.58907	1001.05	1570.71	-244.355	9205.74
