gen	nevals	avg     	std       	min        	max    	p-avg	p-std   	p-min	p-max	s-avg   	s-std   	s-min     	s-max  	t-avg  	t-std  	t-min   	t-max  
0  	100   	0.118017	0.322092  	-0.0526401 	1.01544	0.12 	0.324962	0    	1    	0.843367	0.758717	-0.306595 	3.34304	1041.64	1683.33	-95.6497	10003.3
1  	25    	0.151033	0.354281  	-0.00581402	1.01851	0.15 	0.357071	0    	1    	0.945571	0.713597	-0.185635 	3.34304	842.277	1499.85	-95.6497	10003.3
2  	25    	0.162142	0.36424   	-0.00317168	1.03134	0.16 	0.366606	0    	1    	1.01739 	0.706659	-0.178965 	3.34304	803.176	1497.71	-95.6497	10003.3
3  	25    	0.163263	0.363754  	-0.00172858	1.03134	0.16 	0.366606	0    	1    	1.12043 	0.668824	-0.178965 	3.34304	794.173	1498.76	-95.6497	10003.3
4  	25    	0.174227	0.372252  	0.000106607	1.03134	0.17 	0.375633	0    	1    	1.17898 	0.64964 	-0.0734993	3.34304	756.308	1498.73	-95.6497	10003.3
5  	25    	0.194465	0.387316  	0.00164006 	1.03134	0.19 	0.392301	0    	1    	1.25575 	0.64709 	0.0480943 	3.34304	809.211	1729.74	-156.299	10003.3
6  	25    	0.224676	0.409298  	0.00242493 	1.03134	0.22 	0.414246	0    	1    	1.27378 	0.661844	0.0480943 	3.34304	806.155	1735   	-156.299	10003.3
7  	25    	0.264934	0.433901  	0.00356085 	1.03134	0.26 	0.438634	0    	1    	1.29703 	0.669606	0.0480943 	3.34304	803.654	1736.14	-156.299	10003.3
8  	25    	0.283896	0.442433  	0.00380269 	1.03134	0.28 	0.448999	0    	1    	1.30456 	0.671473	-0.13777  	3.34304	914.978	2042.54	-156.299	11633.9
9  	25    	0.314189	0.455838  	0.00437532 	1.03134	0.31 	0.462493	0    	1    	1.37985 	0.747299	-0.13777  	4.36696	960.987	2083.52	-156.299	11633.9
10 	25    	0.344486	0.466884  	0.0052316  	1.03134	0.34 	0.473709	0    	1    	1.3992  	0.744276	-0.13777  	4.36696	950.572	2086.41	-156.299	11633.9
11 	25    	0.363847	0.471777  	0.00608385 	1.03134	0.36 	0.48    	0    	1    	1.40925 	0.755133	-0.13777  	4.36696	1024.6 	2248.52	-156.299	11633.9
12 	25    	0.393762	0.479597  	0.00657525 	1.03134	0.39 	0.48775 	0    	1    	1.42568 	0.754107	-0.13777  	4.36696	1049.5 	2250.87	-156.299	11633.9
13 	25    	0.423796	0.485305  	0.00757475 	1.03134	0.42 	0.493559	0    	1    	1.42748 	0.763695	-0.13777  	4.36696	1047.84	2253.65	-156.299	11633.9
14 	25    	0.434021	0.486663  	0.00832135 	1.03134	0.43 	0.495076	0    	1    	1.44802 	0.757733	-0.13777  	4.36696	1045.96	2256   	-156.299	11633.9
15 	25    	0.454026	0.489166  	0.00887895 	1.03134	0.45 	0.497494	0    	1    	1.45981 	0.753135	-0.13777  	4.36696	1057.2 	2252.83	-156.299	11633.9
16 	25    	0.493124	0.490993  	0.00920328 	1.03134	0.49 	0.4999  	0    	1    	1.48708 	0.79745 	-0.177852 	4.36696	1174.69	2392.61	-156.299	11633.9
17 	25    	0.531995	0.489502  	0.0096577  	1.03134	0.53 	0.499099	0    	1    	1.48885 	0.81448 	-0.177852 	4.36696	1289.32	2506.45	-253.148	11633.9
18 	25    	0.581663	0.484016  	0.010236   	1.03134	0.58 	0.493559	0    	1    	1.50254 	0.822113	-0.177852 	4.36696	1336.2 	2506.41	-278.576	11633.9
19 	25    	0.640329	0.470291  	0.0108344  	1.03134	0.64 	0.48    	0    	1    	1.51134 	0.85885 	-0.177852 	4.36696	1478.46	2556.92	-278.576	11633.9
20 	25    	0.698425	0.448276  	0.0113005  	1.03134	0.7  	0.458258	0    	1    	1.4867  	0.885779	-0.392752 	4.36696	1644.23	2690.61	-278.576	11633.9
21 	25    	0.74777 	0.423597  	0.0122932  	1.04982	0.75 	0.433013	0    	1    	1.5208  	0.99822 	-0.392752 	5.67129	1743.77	2811.05	-253.148	11633.9
22 	25    	0.806414	0.383373  	0.0138403  	1.04982	0.81 	0.392301	0    	1    	1.48995 	1.01826 	-0.392752 	5.67129	1848.5 	2790.73	-253.148	11633.9
23 	25    	0.854398	0.338776  	0.0144526  	1.04982	0.86 	0.346987	0    	1    	1.4631  	1.0466  	-0.392752 	5.67129	2023.27	2947.61	-253.148	11684.8
24 	25    	0.933181	0.232324  	0.0168781  	1.04982	0.94 	0.237487	0    	1    	1.47652 	1.12093 	-0.392752 	5.67129	2158.38	3013.04	156.539 	11684.8
25 	25    	0.992374	0.0284971 	0.893864   	1.04982	1    	0       	1    	1    	1.39416 	1.12732 	-0.392752 	5.67129	2156.76	2932.91	149.741 	11633.9
26 	25    	0.998267	0.0198653 	0.927549   	1.04982	1    	0       	1    	1    	1.35504 	1.12354 	-0.392752 	5.67129	1528.33	2036.36	149.741 	9281.67
27 	25    	1.00285 	0.0114788 	0.972913   	1.04982	1    	0       	1    	1    	1.26075 	1.10073 	-0.392752 	5.67129	975.39 	925.47 	149.741 	5041.97
28 	25    	1.00483 	0.00986602	0.992068   	1.04982	1    	0       	1    	1    	1.2699  	1.1017  	-0.392752 	5.67129	786.403	697.628	149.741 	5041.97
29 	25    	1.00498 	0.00973391	0.993681   	1.04982	1    	0       	1    	1    	1.24189 	1.05149 	-0.602038 	5.67129	743.688	558.419	-242.994	3257.15
30 	25    	1.00569 	0.00976652	0.995061   	1.04982	1    	0       	1    	1    	1.29717 	1.04505 	-0.602038 	5.67129	728.5  	548.678	-242.994	3257.15
31 	25    	1.00628 	0.0094653 	0.996012   	1.04982	1    	0       	1    	1    	1.36788 	1.00471 	-0.602038 	5.67129	740.033	549.415	-242.994	3257.15
32 	25    	1.00659 	0.00928046	0.996693   	1.04982	1    	0       	1    	1    	1.39899 	0.984455	0.0480943 	5.67129	740.199	536.337	34.3863 	3257.15
33 	25    	1.00714 	0.00983431	0.996819   	1.04982	1    	0       	1    	1    	1.46441 	1.09208 	0.0480943 	6.3466 	750.268	553.946	34.3863 	3257.15
34 	25    	1.00808 	0.0101354 	0.997728   	1.04982	1    	0       	1    	1    	1.54886 	1.11616 	0.0526302 	6.3466 	740.916	532.86 	34.3863 	3257.15
35 	25    	1.00857 	0.00990408	0.998792   	1.04982	1    	0       	1    	1    	1.62021 	1.12729 	0.0526302 	6.3466 	762.722	578.962	34.3863 	3257.15
36 	25    	1.00918 	0.00990348	0.999234   	1.04982	1    	0       	1    	1    	1.71228 	1.18413 	0.0827004 	6.3466 	794.356	622.021	34.3863 	3257.15
37 	25    	1.00957 	0.00970701	0.999655   	1.04982	1    	0       	1    	1    	1.7564  	1.15327 	0.289776  	6.3466 	798.963	617.468	34.3863 	3257.15
38 	25    	1.01035 	0.0098399 	1.00063    	1.04982	1    	0       	1    	1    	1.83764 	1.18313 	0.50632   	6.3466 	802.751	622.114	34.3863 	3257.15
39 	25    	1.01074 	0.00975374	1.00143    	1.04982	1    	0       	1    	1    	1.87236 	1.17383 	0.548753  	6.3466 	798.506	624.456	34.3863 	3257.15
40 	25    	1.01182 	0.00949063	1.002      	1.04982	1    	0       	1    	1    	1.93242 	1.15721 	0.58759   	6.3466 	750.575	596.218	34.3863 	2999.59
41 	25    	1.01196 	0.00941317	1.002      	1.04982	1    	0       	1    	1    	1.93655 	1.15504 	0.58759   	6.3466 	740.466	598.108	34.3863 	2999.59
42 	25    	1.01222 	0.00926898	1.00269    	1.04982	1    	0       	1    	1    	1.96171 	1.15731 	0.58759   	6.3466 	739.766	611.554	34.3863 	2999.59
43 	25    	1.01289 	0.00932133	1.00318    	1.04982	1    	0       	1    	1    	2.02344 	1.18975 	0.626468  	6.3466 	734.266	620.008	34.3863 	2999.59
44 	25    	1.01378 	0.00957712	1.00349    	1.04982	1    	0       	1    	1    	2.14864 	1.29462 	0.576898  	6.3466 	770.41 	676.909	34.3863 	2999.59
45 	25    	1.01412 	0.00937039	1.00358    	1.04982	1    	0       	1    	1    	2.14693 	1.29869 	0.576898  	6.3466 	735.385	676.474	34.3863 	2999.59
46 	25    	1.01514 	0.00976439	1.00482    	1.05054	1    	0       	1    	1    	2.26316 	1.32031 	0.721154  	6.3466 	749.533	684.357	34.3863 	2999.59
47 	25    	1.01544 	0.00954478	1.00547    	1.05054	1    	0       	1    	1    	2.27602 	1.30145 	0.721154  	6.3466 	732.263	671.791	34.3863 	2999.59
48 	25    	1.01595 	0.00927675	1.00627    	1.05054	1    	0       	1    	1    	2.30906 	1.2954  	0.721154  	6.3466 	713.887	658.295	34.3863 	2999.59
49 	25    	1.01622 	0.00912215	1.00709    	1.05054	1    	0       	1    	1    	2.34278 	1.27878 	0.890939  	6.3466 	721.079	659.851	156.539 	2999.59
50 	25    	1.01678 	0.00941606	1.00766    	1.05054	1    	0       	1    	1    	2.404   	1.2825  	1.07198   	6.3466 	725.563	657.387	114.196 	2999.59
51 	25    	1.01697 	0.0093081 	1.00795    	1.05054	1    	0       	1    	1    	2.43378 	1.27541 	1.07198   	6.3466 	736.639	666.599	114.196 	2999.59
52 	25    	1.01757 	0.00952347	1.00902    	1.05054	1    	0       	1    	1    	2.49783 	1.28193 	1.07198   	6.3466 	740.687	658.387	114.196 	2999.59
53 	25    	1.01761 	0.00949439	1.00925    	1.05054	1    	0       	1    	1    	2.51126 	1.27495 	1.07198   	6.3466 	749.816	658.078	114.196 	2999.59
54 	25    	1.01797 	0.00939597	1.00981    	1.05054	1    	0       	1    	1    	2.53378 	1.26466 	1.19192   	6.3466 	736.579	656.345	60.4731 	2999.59
55 	25    	1.0182  	0.0094694 	1.00986    	1.05054	1    	0       	1    	1    	2.5761  	1.29019 	1.19192   	6.3466 	756.23 	670.123	60.4731 	2999.59
56 	25    	1.01859 	0.00946211	1.01027    	1.05054	1    	0       	1    	1    	2.63529 	1.30586 	1.19192   	6.3466 	775.793	683.86 	60.4731 	2999.59
57 	25    	1.0189  	0.00932823	1.01052    	1.05054	1    	0       	1    	1    	2.70204 	1.28167 	1.19192   	6.3466 	812.17 	691.566	60.4731 	2999.59
58 	25    	1.01956 	0.00985129	1.01059    	1.05411	1    	0       	1    	1    	2.7626  	1.31083 	1.19192   	6.3466 	806.795	692.413	60.4731 	2999.59
59 	25    	1.01994 	0.00973291	1.01138    	1.05411	1    	0       	1    	1    	2.80945 	1.2817  	1.42626   	6.3466 	815.524	685.079	156.539 	2999.59
60 	25    	1.01997 	0.00971336	1.01138    	1.05411	1    	0       	1    	1    	2.81236 	1.27894 	1.42626   	6.3466 	815.818	684.869	156.539 	2999.59
61 	25    	1.0203  	0.00977471	1.01148    	1.05411	1    	0       	1    	1    	2.84692 	1.27499 	1.41882   	6.3466 	817.178	684.398	156.539 	2999.59
