gen	nevals	avg     	std       	min        	max    	p-avg	p-std   	p-min	p-max	s-avg   	s-std   	s-min    	s-max  	t-avg  	t-std  	t-min   	t-max  
0  	100   	0.109096	0.308762  	-0.1044    	1.01654	0.11 	0.31289 	0    	1    	0.849645	0.881072	-0.587018	5.74213	940.061	2179.3 	-39.3634	14368.1
1  	25    	0.131692	0.330902  	-0.00490523	1.01654	0.13 	0.336303	0    	1    	0.952935	0.802686	-0.364741	5.74213	783.757	1910.61	-121.778	14368.1
2  	25    	0.143257	0.341439  	-0.00237368	1.01654	0.14 	0.346987	0    	1    	1.07994 	0.721578	-0.296099	5.74213	754.194	1905.99	-121.778	14368.1
3  	25    	0.152757	0.349113  	-0.00111239	1.01654	0.15 	0.357071	0    	1    	1.11096 	0.710568	-0.296099	5.74213	835.263	2186.62	-121.778	14368.1
4  	25    	0.193462	0.384533  	0.000766636	1.01654	0.19 	0.392301	0    	1    	1.16774 	0.704666	-0.296099	5.74213	821.566	2189.54	-121.778	14368.1
5  	25    	0.233677	0.412925  	0.00264052 	1.01654	0.23 	0.420833	0    	1    	1.22385 	0.696795	-0.296099	5.74213	856.175	2199.36	-121.778	14368.1
6  	25    	0.292836	0.4442    	0.00341239 	1.01696	0.29 	0.453762	0    	1    	1.29674 	0.707345	-0.296099	5.74213	1013.16	2505.17	-121.778	14368.1
7  	25    	0.322871	0.456727  	0.00393388 	1.01696	0.32 	0.466476	0    	1    	1.31673 	0.703077	-0.296099	5.74213	1029.64	2518.72	-121.778	14368.1
8  	25    	0.382496	0.475126  	0.00508677 	1.02394	0.38 	0.485386	0    	1    	1.38129 	0.711415	-0.296099	5.74213	1131.72	2614.39	-121.778	14368.1
9  	25    	0.481771	0.4896    	0.00600732 	1.04018	0.48 	0.4996  	0    	1    	1.49555 	0.931562	-0.296099	7.06891	1318.5 	2784.55	-121.778	14368.1
10 	25    	0.520512	0.488421  	0.00712419 	1.04018	0.52 	0.4996  	0    	1    	1.52131 	0.925269	-0.296099	7.06891	1470.1 	2975.48	-121.778	14368.1
11 	25    	0.560395	0.485239  	0.0081558  	1.04018	0.56 	0.496387	0    	1    	1.53771 	0.933418	-0.296099	7.06891	1498.19	2967.93	-121.778	14368.1
12 	25    	0.638823	0.468086  	0.0100688  	1.04018	0.64 	0.48    	0    	1    	1.53826 	0.986793	-0.296099	7.06891	1655.92	3007.05	-121.778	14368.1
13 	25    	0.706287	0.441357  	0.011193   	1.04018	0.71 	0.453762	0    	1    	1.51821 	0.99417 	-0.296099	7.06891	1889.54	3101.89	-82.1591	14368.1
14 	25    	0.791818	0.387239  	0.0125426  	1.04018	0.8  	0.4     	0    	1    	1.51114 	1.01221 	-0.296099	7.06891	2329.38	3408.7 	-82.1591	14368.1
15 	25    	0.88818 	0.289496  	0.0169602  	1.04018	0.9  	0.3     	0    	1    	1.46104 	1.0175  	-0.296099	7.06891	2643.04	3532.97	-82.1591	14368.1
16 	25    	0.985347	0.0334052 	0.885443   	1.04018	1    	0       	1    	1    	1.28411 	0.886326	-0.385897	7.06891	2749.38	3467.62	6.76863 	13093.2
17 	25    	0.992719	0.0231876 	0.918442   	1.04018	1    	0       	1    	1    	1.23718 	0.869416	-0.385897	7.06891	1965.3 	2371.45	6.76863 	10768.2
18 	25    	0.998767	0.0130916 	0.953649   	1.04018	1    	0       	1    	1    	1.18256 	0.873472	-0.385897	7.06891	1305.88	1270.32	6.76863 	5847.81
19 	25    	1.00074 	0.00990789	0.976181   	1.04018	1    	0       	1    	1    	1.16471 	0.872854	-0.385897	7.06891	1090.53	928.559	6.76863 	5620.83
20 	25    	1.00231 	0.00818545	0.987046   	1.04018	1    	0       	1    	1    	1.15784 	0.864069	-0.385897	7.06891	927.078	717.61 	6.76863 	5620.83
21 	25    	1.00263 	0.00787567	0.988384   	1.04018	1    	0       	1    	1    	1.16659 	0.862096	-0.385897	7.06891	903.764	691.847	6.76863 	5620.83
22 	25    	1.00315 	0.00735233	0.993485   	1.04018	1    	0       	1    	1    	1.19422 	0.837489	-0.296099	7.06891	878.724	645.703	6.76863 	5620.83
23 	25    	1.00379 	0.00688582	0.99541    	1.04018	1    	0       	1    	1    	1.22579 	0.807615	-0.266365	7.06891	846.885	623.095	6.76863 	5620.83
24 	25    	1.00422 	0.00670683	0.996089   	1.04018	1    	0       	1    	1    	1.24815 	0.800962	0.289148 	7.06891	825.667	606.086	6.76863 	5620.83
25 	25    	1.00486 	0.00662656	0.997315   	1.04018	1    	0       	1    	1    	1.34199 	0.972286	0.509344 	7.06891	855.843	750.515	6.76863 	5620.83
26 	25    	1.00528 	0.0063942 	0.998944   	1.04018	1    	0       	1    	1    	1.36422 	0.965769	0.565268 	7.06891	835.772	753.515	6.76863 	5620.83
27 	25    	1.00539 	0.00632285	0.999114   	1.04018	1    	0       	1    	1    	1.37134 	0.961774	0.623541 	7.06891	832.165	754.074	6.76863 	5620.83
28 	25    	1.0059  	0.00612506	0.999696   	1.04018	1    	0       	1    	1    	1.38262 	0.967046	0.510905 	7.06891	792.33 	756.312	6.76863 	5620.83
29 	25    	1.00621 	0.00599718	1.00013    	1.04018	1    	0       	1    	1    	1.39587 	0.963523	0.510905 	7.06891	775.234	750.289	6.76863 	5620.83
30 	25    	1.00647 	0.00588326	1.00032    	1.04018	1    	0       	1    	1    	1.42477 	0.95334 	0.510905 	7.06891	777.864	750.718	6.76863 	5620.83
