gen	nevals	avg     	std       	min         	max    	p-avg	p-std    	p-min	p-max	s-avg   	s-std   	s-min    	s-max  	t-avg  	t-std  	t-min    	t-max  
0  	100   	0.197306	0.399153  	-0.0475679  	1.02056	0.2  	0.4      	0    	1    	0.514167	0.649273	-0.475559	2.53025	783.557	1348.04	-67.443  	11066.1
1  	25    	0.259438	0.43599   	-0.00537685 	1.02056	0.26 	0.438634 	0    	1    	0.702109	0.69273 	-0.342569	3.85118	758.29 	1444.09	-67.443  	11066.1
2  	25    	0.300168	0.454678  	-0.00352419 	1.02056	0.3  	0.458258 	0    	1    	0.902459	1.05521 	-0.342569	9.00681	885.63 	1638.45	-67.443  	11066.1
3  	25    	0.360912	0.476646  	-0.00206983 	1.02056	0.36 	0.48     	0    	1    	1.0118  	1.01665 	-0.252106	9.00681	920.621	1630.83	33.8885  	11066.1
4  	25    	0.411579	0.488318  	-0.000346926	1.02056	0.41 	0.491833 	0    	1    	1.09295 	1.0006  	-0.257805	9.00681	935.051	1624.49	33.8885  	11066.1
5  	25    	0.461774	0.494329  	0.00282747  	1.02056	0.46 	0.498397 	0    	1    	1.13338 	1.00336 	-0.738731	9.00681	955.942	1634.96	29.4827  	11066.1
6  	25    	0.500906	0.495128  	0.0031601   	1.02838	0.5  	0.5      	0    	1    	1.14365 	1.03207 	-0.738731	9.00681	1053.03	1923.84	29.4827  	11103.5
7  	25    	0.521269	0.494908  	0.00407986  	1.02838	0.52 	0.4996   	0    	1    	1.17273 	1.04574 	-0.738731	9.00681	1045.81	1925.82	27.6431  	11103.5
8  	25    	0.559716	0.490454  	0.00434737  	1.02838	0.56 	0.496387 	0    	1    	1.20164 	1.06118 	-0.738731	9.00681	1230.08	2221.75	27.6431  	11103.5
9  	25    	0.629656	0.477309  	0.00465945  	1.02838	0.63 	0.482804 	0    	1    	1.23636 	1.07607 	-0.738731	9.00681	1270.76	2216.62	27.6431  	11103.5
10 	25    	0.709769	0.448863  	0.0059044   	1.032  	0.71 	0.453762 	0    	1    	1.28445 	1.10126 	-0.738731	9.00681	1307.55	2212.19	23.9334  	11103.5
11 	25    	0.749859	0.428392  	0.00616655  	1.032  	0.75 	0.433013 	0    	1    	1.29553 	1.12291 	-0.738731	9.00681	1309.58	2211.2 	23.9334  	11103.5
12 	25    	0.819971	0.380236  	0.00792067  	1.05251	0.82 	0.384187 	0    	1    	1.3343  	1.31931 	-0.738731	9.00681	1337.18	2210.96	-244.576 	11103.5
13 	25    	0.889205	0.309669  	0.00964448  	1.05251	0.89 	0.31289  	0    	1    	1.28435 	1.35509 	-0.738731	9.00681	1363.9 	2200.79	-244.576 	11103.5
14 	25    	0.938895	0.235442  	0.0110138   	1.05251	0.94 	0.237487 	0    	1    	1.27725 	1.35684 	-0.738731	9.00681	1387.77	2191.42	23.9334  	11103.5
15 	25    	0.988318	0.100752  	0.0118758   	1.05251	0.99 	0.0994987	0    	1    	1.28574 	1.38902 	-0.738731	9.00681	1453.97	2189.49	23.9334  	11103.5
16 	25    	1.00437 	0.0103445 	0.985801    	1.05251	1    	0        	1    	1    	1.28429 	1.35459 	-0.504664	9.00681	847.494	946.931	23.9334  	7509.63
17 	25    	1.00545 	0.00944519	0.992015    	1.05251	1    	0        	1    	1    	1.315   	1.33835 	-0.432646	9.00681	769.794	877.891	23.9334  	7509.63
18 	25    	1.00607 	0.00892164	0.995178    	1.05251	1    	0        	1    	1    	1.38409 	1.29087 	-0.147655	9.00681	777.12 	874.339	23.9334  	7509.63
19 	25    	1.00681 	0.00883482	0.996647    	1.05251	1    	0        	1    	1    	1.39668 	1.30913 	-0.147655	9.00681	715.245	858.829	23.9334  	7509.63
