gen	nevals	avg      	std       	min         	max    	p-avg	p-std   	p-min	p-max	s-avg   	s-std   	s-min      	s-max  	t-avg  	t-std  	t-min   	t-max  
0  	100   	0.0891914	0.286223  	-0.0655071  	1.02468	0.09 	0.286182	0    	1    	0.748542	0.658135	-0.264064  	3.63148	829.401	1360.18	-230.421	9255.79
1  	25    	0.102471 	0.299043  	-0.00463595 	1.02468	0.1  	0.3     	0    	1    	0.841588	0.662567	-0.0943074 	3.63148	594.506	953.886	-266.68 	9255.79
2  	25    	0.123253 	0.323368  	-0.00232315 	1.02468	0.12 	0.324962	0    	1    	0.936068	0.627967	-0.110538  	3.63148	610.811	975.085	-266.68 	9255.79
3  	25    	0.131965 	0.330292  	-0.000495244	1.02468	0.13 	0.336303	0    	1    	0.955956	0.610804	-0.110538  	3.63148	759.429	2077.83	-587.103	19033  
4  	25    	0.163494 	0.362839  	0.000397584 	1.08546	0.16 	0.366606	0    	1    	1.13144 	1.11882 	-0.00975441	10.7166	782.039	2088.45	-587.103	19033  
5  	25    	0.164186 	0.362537  	0.00170062  	1.08546	0.16 	0.366606	0    	1    	1.18559 	1.10128 	-0.00975441	10.7166	766.959	2086.87	-587.103	19033  
6  	25    	0.194837 	0.388578  	0.00234943  	1.08546	0.19 	0.392301	0    	1    	1.24976 	1.10038 	-0.00975441	10.7166	766.044	2087.83	-587.103	19033  
7  	25    	0.205369 	0.396371  	0.00303137  	1.08546	0.2  	0.4     	0    	1    	1.27189 	1.09153 	-0.00975441	10.7166	735.006	2094.45	-587.103	19033  
8  	25    	0.216211 	0.403305  	0.00388246  	1.08546	0.21 	0.407308	0    	1    	1.33502 	1.09875 	-0.00975441	10.7166	713.923	2097.83	-587.103	19033  
9  	25    	0.23514  	0.414557  	0.00471036  	1.08546	0.23 	0.420833	0    	1    	1.34995 	1.10388 	-0.00975441	10.7166	835.91 	2567.08	-587.103	19033  
10 	25    	0.255392 	0.426521  	0.00538235  	1.08546	0.25 	0.433013	0    	1    	1.37184 	1.1039  	-0.00975441	10.7166	832.683	2576.35	-608.329	19033  
11 	25    	0.293231 	0.444182  	0.00611596  	1.08546	0.29 	0.453762	0    	1    	1.40412 	1.09866 	-0.00975441	10.7166	1080.98	2875.86	-608.329	19033  
12 	25    	0.311728 	0.450691  	0.00666635  	1.08546	0.31 	0.462493	0    	1    	1.40714 	1.11141 	-0.341213  	10.7166	1234.37	3257.12	-608.329	19033  
13 	25    	0.342015 	0.462648  	0.00707352  	1.08546	0.34 	0.473709	0    	1    	1.46044 	1.10351 	-0.341213  	10.7166	1258.93	3250.48	-608.329	19033  
14 	25    	0.38187  	0.474547  	0.00757899  	1.08546	0.38 	0.485386	0    	1    	1.45146 	1.11888 	-0.341213  	10.7166	1264.43	3254.19	-608.329	19033  
15 	25    	0.431606 	0.484426  	0.00800668  	1.08546	0.43 	0.495076	0    	1    	1.44143 	1.15718 	-0.341213  	10.7166	1280.86	3253.61	-608.329	19033  
16 	25    	0.492362 	0.490666  	0.00842845  	1.08546	0.49 	0.4999  	0    	1    	1.51952 	1.29005 	-0.341213  	10.7166	1283.29	3253.52	-608.329	19033  
17 	25    	0.532402 	0.490025  	0.00910995  	1.08546	0.53 	0.499099	0    	1    	1.52991 	1.29418 	-0.341213  	10.7166	1289.67	3258.2 	-652.981	19033  
18 	25    	0.582313 	0.484739  	0.00994373  	1.08546	0.58 	0.493559	0    	1    	1.53872 	1.29389 	-0.341213  	10.7166	1307.42	3254.25	-652.981	19033  
