gen	nevals	avg      	std      	min         	max    	p-avg	p-std   	p-min	p-max	s-avg   	s-std   	s-min      	s-max  	t-avg  	t-std  	t-min   	t-max  
0  	100   	0.0902231	0.282627 	-0.0420435  	1.02351	0.09 	0.286182	0    	1    	0.699205	0.557477	-0.537558  	2.60088	676.896	1263.82	-380.904	11024.2
1  	25    	0.101393 	0.292859 	-0.00295636 	1.02351	0.1  	0.3     	0    	1    	0.775641	0.532234	-0.537558  	2.60088	636.345	1522.7 	-380.904	11024.2
2  	25    	0.112181 	0.305498 	-0.000975379	1.02351	0.11 	0.31289 	0    	1    	0.872514	0.499616	-0.0559224 	2.60088	654.458	1520.38	-380.904	11024.2
3  	25    	0.132983 	0.328286 	0.00049719  	1.02351	0.13 	0.336303	0    	1    	0.945209	0.474654	-0.0559224 	2.60088	646.879	1538.22	-449.628	11024.2
4  	25    	0.183441 	0.377129 	0.00180462  	1.02351	0.18 	0.384187	0    	1    	1.00925 	0.45994 	-0.0559224 	2.60088	665.157	1561.65	-449.628	11024.2
5  	25    	0.213816 	0.400423 	0.00261805  	1.02351	0.21 	0.407308	0    	1    	1.03654 	0.444728	-0.0559224 	2.60088	654.953	1562.56	-449.628	11024.2
6  	25    	0.234162 	0.413984 	0.00320356  	1.02351	0.23 	0.420833	0    	1    	1.05321 	0.459964	-0.689749  	2.60088	637.015	1564.85	-449.628	11024.2
7  	25    	0.293997 	0.446912 	0.00415517  	1.02351	0.29 	0.453762	0    	1    	1.06661 	0.507145	-0.740942  	2.60088	666.909	1572.5 	-449.628	11024.2
8  	25    	0.324723 	0.460176 	0.00501927  	1.03303	0.32 	0.466476	0    	1    	1.13866 	0.544573	-0.740942  	3.45061	666.38 	1570.08	-449.628	11024.2
9  	25    	0.363284 	0.471695 	0.00596163  	1.03303	0.36 	0.48    	0    	1    	1.10681 	0.57457 	-0.740942  	3.45061	778.419	1926.38	-736.877	11564.8
10 	25    	0.42157  	0.48391  	0.00716249  	1.03303	0.42 	0.493559	0    	1    	1.08327 	0.600714	-0.740942  	3.45061	926.294	2259.95	-736.877	12331.3
11 	25    	0.461832 	0.489461 	0.00758211  	1.05579	0.46 	0.498397	0    	1    	1.14809 	0.766665	-0.740942  	5.89008	964.898	2258.76	-736.877	12331.3
12 	25    	0.492138 	0.491302 	0.00843399  	1.05579	0.49 	0.4999  	0    	1    	1.17002 	0.76439 	-0.740942  	5.89008	956.248	2264.72	-742.184	12331.3
13 	25    	0.551843 	0.489316 	0.00941229  	1.05579	0.55 	0.497494	0    	1    	1.18353 	0.814304	-0.740942  	5.89008	999.206	2266.7 	-742.184	12331.3
14 	25    	0.601429 	0.481763 	0.0101332   	1.05579	0.6  	0.489898	0    	1    	1.20639 	0.821492	-0.740942  	5.89008	1063.49	2281.81	-742.184	12331.3
15 	25    	0.641631 	0.472444 	0.0104471   	1.05579	0.64 	0.48    	0    	1    	1.25565 	0.857902	-0.740942  	5.89008	1092.51	2280.68	-742.184	12331.3
16 	25    	0.691344 	0.455287 	0.011255    	1.05579	0.69 	0.462493	0    	1    	1.2348  	0.888916	-0.740942  	5.89008	1100.38	2290.48	-742.184	12331.3
17 	25    	0.709939 	0.445771 	0.0116638   	1.05579	0.71 	0.453762	0    	1    	1.23907 	0.897348	-0.740942  	5.89008	1245.14	2559.03	-742.184	12331.3
18 	25    	0.797619 	0.392592 	0.0121267   	1.05579	0.8  	0.4     	0    	1    	1.21566 	0.93233 	-0.740942  	5.89008	1453.75	2699.34	-742.184	12331.3
19 	25    	0.865029 	0.329992 	0.013602    	1.05579	0.87 	0.336303	0    	1    	1.23475 	1.10517 	-0.740942  	6.99083	1731.87	3026.25	-742.184	14182.3
20 	25    	0.953163 	0.193482 	0.0171098   	1.05579	0.96 	0.195959	0    	1    	1.27741 	1.15156 	-0.740942  	6.99083	1961.1 	3185.64	-742.184	14182.3
21 	25    	0.997298 	0.0262864	0.8873      	1.05579	1    	0       	1    	1    	1.26793 	1.13347 	-0.740942  	6.99083	1538.09	2237.45	-474.923	11564.8
22 	25    	1.00322  	0.0148795	0.972351    	1.06498	1    	0       	1    	1    	1.3993  	1.37783 	-0.740942  	9.3399 	1077.39	937.005	-474.923	4195.04
23 	25    	1.00426  	0.014175 	0.986307    	1.06498	1    	0       	1    	1    	1.37501 	1.38684 	-0.740942  	9.3399 	948.697	802.419	-474.923	2841.65
24 	25    	1.00503  	0.0137516	0.987955    	1.06498	1    	0       	1    	1    	1.37689 	1.38423 	-0.689749  	9.3399 	873.555	751.132	-474.923	2841.65
25 	25    	1.00631  	0.0130622	0.990403    	1.06498	1    	0       	1    	1    	1.39621 	1.37957 	-0.689749  	9.3399 	765.507	694.018	-474.923	2841.65
26 	25    	1.00726  	0.0126461	0.991478    	1.06498	1    	0       	1    	1    	1.45114 	1.36698 	-0.689749  	9.3399 	724.819	678.807	-474.923	2841.65
27 	25    	1.00817  	0.012391 	0.99356     	1.06498	1    	0       	1    	1    	1.49594 	1.35957 	-0.527884  	9.3399 	679.143	662.788	-474.923	2841.65
28 	25    	1.00907  	0.0122175	0.995496    	1.06498	1    	0       	1    	1    	1.57488 	1.34585 	-0.390014  	9.3399 	667.905	702.848	-669.249	3147.38
29 	25    	1.00981  	0.0117414	0.996605    	1.06498	1    	0       	1    	1    	1.64552 	1.29426 	-0.213614  	9.3399 	664.797	664.946	-669.249	2841.65
30 	25    	1.01062  	0.0112867	0.998743    	1.06498	1    	0       	1    	1    	1.70467 	1.27696 	-0.0223239 	9.3399 	642.55 	661.346	-669.249	2841.65
31 	25    	1.01135  	0.0109415	1.00011     	1.06498	1    	0       	1    	1    	1.71507 	1.27743 	-0.0223239 	9.3399 	579.599	643.134	-669.249	2841.65
32 	25    	1.0117   	0.0107638	1.00084     	1.06498	1    	0       	1    	1    	1.69126 	1.2629  	-0.0223239 	9.3399 	521.022	567.783	-669.249	2841.65
33 	25    	1.01211  	0.0108265	1.00183     	1.06498	1    	0       	1    	1    	1.73007 	1.26081 	-0.0223239 	9.3399 	519.092	554.998	-669.249	2841.65
34 	25    	1.01265  	0.0106707	1.00278     	1.06498	1    	0       	1    	1    	1.78887 	1.2828  	-0.0223239 	9.3399 	524.319	569.088	-669.249	2841.65
35 	25    	1.01383  	0.0113738	1.00373     	1.06498	1    	0       	1    	1    	1.88625 	1.34821 	-0.0223239 	9.3399 	503.684	558.518	-669.249	2841.65
36 	25    	1.01387  	0.0113361	1.00403     	1.06498	1    	0       	1    	1    	1.89887 	1.33629 	-0.00224248	9.3399 	511.795	551.94 	-669.249	2841.65
37 	25    	1.01474  	0.0119412	1.00451     	1.06498	1    	0       	1    	1    	1.97241 	1.40227 	-0.00224248	9.3399 	498.552	561.363	-669.249	2841.65
38 	25    	1.01512  	0.0117195	1.00481     	1.06498	1    	0       	1    	1    	2.03308 	1.37168 	0.371388   	9.3399 	521.042	562.152	-669.249	2841.65
39 	25    	1.01527  	0.0116623	1.00507     	1.06498	1    	0       	1    	1    	2.03442 	1.37145 	0.371388   	9.3399 	507.27 	562.783	-669.249	2841.65
40 	25    	1.01563  	0.0115397	1.00516     	1.06498	1    	0       	1    	1    	2.08185 	1.38689 	0.371388   	9.3399 	518.362	583.968	-669.249	2841.65
41 	25    	1.01569  	0.0115036	1.00516     	1.06498	1    	0       	1    	1    	2.08437 	1.38502 	0.371388   	9.3399 	515.591	585.116	-669.249	2841.65
42 	25    	1.01593  	0.0113364	1.00569     	1.06498	1    	0       	1    	1    	2.11787 	1.36644 	0.371388   	9.3399 	524.586	585.735	-669.249	2841.65
43 	25    	1.01616  	0.0112042	1.00622     	1.06498	1    	0       	1    	1    	2.16634 	1.34699 	0.371388   	9.3399 	550.04 	595.824	-669.249	2841.65
44 	25    	1.01644  	0.0110586	1.00662     	1.06498	1    	0       	1    	1    	2.18959 	1.33168 	0.526073   	9.3399 	545.1  	602.176	-669.249	2841.65
45 	25    	1.01732  	0.0120006	1.00722     	1.06783	1    	0       	1    	1    	2.26186 	1.40875 	0.631726   	9.3399 	530.245	603.115	-669.249	2841.65
46 	25    	1.01784  	0.012404 	1.00771     	1.06783	1    	0       	1    	1    	2.33324 	1.51501 	0.631726   	9.3399 	548.953	641.743	-669.249	2841.65
47 	25    	1.0185   	0.0128489	1.00773     	1.06783	1    	0       	1    	1    	2.41083 	1.57267 	0.631726   	9.3399 	561.043	650.662	-669.249	2841.65
48 	25    	1.01904  	0.0126438	1.00949     	1.06783	1    	0       	1    	1    	2.45414 	1.55567 	0.631726   	9.3399 	549.967	671.92 	-669.249	2841.65
49 	25    	1.0192   	0.0125727	1.00968     	1.06783	1    	0       	1    	1    	2.48453 	1.55584 	0.631726   	9.3399 	564.626	689.053	-669.249	2841.65
50 	25    	1.02054  	0.0129996	1.0102      	1.06783	1    	0       	1    	1    	2.63431 	1.5984  	0.631726   	9.3399 	580.067	691.608	-669.249	2841.65
51 	25    	1.02161  	0.0139037	1.01036     	1.06783	1    	0       	1    	1    	2.72912 	1.67102 	0.631726   	9.3399 	568.061	692.767	-669.249	2841.65
52 	25    	1.02225  	0.0138916	1.01046     	1.06783	1    	0       	1    	1    	2.82126 	1.68425 	0.631726   	9.3399 	596.274	765.198	-669.249	3420.72
53 	25    	1.02269  	0.0137124	1.01082     	1.06783	1    	0       	1    	1    	2.87473 	1.65718 	0.908025   	9.3399 	606.006	759.391	-669.249	3420.72
