gen	nevals	avg     	std       	min        	max    	p-avg	p-std   	p-min	p-max	s-avg  	s-std   	s-min    	s-max  	t-avg  	t-std  	t-min   	t-max  
0  	100   	0.192037	0.392651  	-0.0234725 	1.03528	0.19 	0.392301	0    	1    	1.08998	1.14068 	-0.473467	5.94844	886.285	1490.3 	-193.678	9909.41
1  	25    	0.213674	0.405817  	-0.00299775	1.03528	0.21 	0.407308	0    	1    	1.20862	1.08828 	-0.408247	5.94844	841.173	1558.66	-193.678	9909.41
2  	25    	0.224305	0.412753  	-0.00111458	1.03528	0.22 	0.414246	0    	1    	1.26942	1.06009 	-0.408247	5.94844	838.893	1557.3 	-193.678	9909.41
3  	25    	0.265067	0.43753   	0.000378317	1.03528	0.26 	0.438634	0    	1    	1.32497	1.04579 	-0.408247	5.94844	818.272	1554.8 	-80.3209	9909.41
4  	25    	0.304716	0.455577  	0.00123346 	1.03528	0.3  	0.458258	0    	1    	1.34544	1.06909 	-0.43298 	5.94844	873.853	1689.9 	-80.3209	9909.41
5  	25    	0.345947	0.470467  	0.00236316 	1.03528	0.34 	0.473709	0    	1    	1.49722	1.20476 	-0.43298 	7.19102	902.491	1718.92	-80.3209	9909.41
6  	25    	0.376489	0.479464  	0.00347205 	1.03528	0.37 	0.482804	0    	1    	1.56702	1.19499 	-0.43298 	7.19102	918.079	1716.45	-30.9534	9909.41
7  	25    	0.396948	0.483975  	0.0043672  	1.03528	0.39 	0.48775 	0    	1    	1.60632	1.18153 	-0.43298 	7.19102	911.512	1718.54	-30.9534	9909.41
8  	25    	0.437319	0.491399  	0.00509343 	1.03528	0.43 	0.495076	0    	1    	1.65455	1.17682 	-0.43298 	7.19102	922.697	1717.12	-30.9534	9909.41
9  	25    	0.477559	0.494993  	0.00568369 	1.03528	0.47 	0.499099	0    	1    	1.67175	1.17805 	-0.43298 	7.19102	915.85 	1722.74	-198.356	9909.41
10 	25    	0.507493	0.495352  	0.00629687 	1.03528	0.5  	0.5     	0    	1    	1.76617	1.29832 	-0.43298 	7.4514 	1016.91	1923.5 	-198.356	9909.41
11 	25    	0.537756	0.494182  	0.00731166 	1.03528	0.53 	0.499099	0    	1    	1.76676	1.30021 	-0.43298 	7.4514 	991.19 	1929.93	-279.614	9909.41
12 	25    	0.56783 	0.491374  	0.00786694 	1.03528	0.56 	0.496387	0    	1    	1.81192	1.28937 	-0.43298 	7.4514 	1028.91	1923.68	-279.614	9909.41
13 	25    	0.646902	0.47425   	0.00905061 	1.03528	0.64 	0.48    	0    	1    	1.88389	1.31462 	-0.43298 	7.4514 	1193.65	2180.91	-279.614	9909.41
14 	25    	0.716699	0.447929  	0.00999245 	1.03528	0.71 	0.453762	0    	1    	1.94411	1.31693 	-0.43298 	7.4514 	1274.24	2209.35	-279.614	9909.41
15 	25    	0.756589	0.427059  	0.0107558  	1.03528	0.75 	0.433013	0    	1    	1.94819	1.31899 	-0.43298 	7.4514 	1289.25	2206.16	-279.614	9909.41
16 	25    	0.835428	0.368996  	0.0125051  	1.03528	0.83 	0.375633	0    	1    	1.93101	1.33211 	-0.43298 	7.4514 	1388.21	2359.86	-287.824	9909.41
17 	25    	0.894142	0.305998  	0.0150596  	1.03528	0.89 	0.31289 	0    	1    	1.9938 	1.33743 	-0.43298 	7.4514 	1579.65	2422.27	-198.356	9909.41
18 	25    	0.973905	0.164074  	0.0222796  	1.10086	0.97 	0.170587	0    	1    	2.10514	1.66537 	-0.43298 	11.833 	1714.6 	2467.6 	-54.5148	9909.41
19 	25    	1.0069  	0.0175198 	0.958488   	1.10086	1    	0       	1    	1    	1.98821	1.68383 	-0.43298 	11.833 	1298.24	1652.97	-54.5148	9587.85
20 	25    	1.00933 	0.0146762 	0.9817     	1.10086	1    	0       	1    	1    	1.89122	1.58984 	-0.43298 	11.833 	957.891	950.695	-54.5148	5392.08
21 	25    	1.01038 	0.0139053 	0.989763   	1.10086	1    	0       	1    	1    	1.93549	1.54586 	-0.314011	11.833 	897.777	835.365	-54.5148	4147.11
22 	25    	1.01148 	0.0132972 	0.996321   	1.10086	1    	0       	1    	1    	1.96885	1.51682 	0.0228755	11.833 	821.303	670.4  	-54.5148	3759.48
23 	25    	1.01213 	0.013004  	0.999648   	1.10086	1    	0       	1    	1    	1.97554	1.49247 	0.538677 	11.833 	762.982	574.71 	-54.5148	3759.48
24 	25    	1.01249 	0.0127752 	1.00112    	1.10086	1    	0       	1    	1    	2.00344	1.48381 	0.581575 	11.833 	754.733	570.388	-54.5148	3759.48
25 	25    	1.01256 	0.0127188 	1.00201    	1.10086	1    	0       	1    	1    	2.00467	1.48266 	0.581575 	11.833 	748.523	570.103	-54.5148	3759.48
26 	25    	1.01339 	0.0126743 	1.00291    	1.10086	1    	0       	1    	1    	2.09038	1.48577 	0.581575 	11.833 	751.108	581.483	-54.5148	3759.48
27 	25    	1.01362 	0.0126132 	1.0035     	1.10086	1    	0       	1    	1    	2.11344	1.47529 	0.838274 	11.833 	751.602	577.477	-54.5148	3759.48
28 	25    	1.01395 	0.0125448 	1.00364    	1.10086	1    	0       	1    	1    	2.13488	1.47326 	0.838274 	11.833 	740.174	582.001	-54.5148	3759.48
29 	25    	1.01483 	0.0124752 	1.00416    	1.10086	1    	0       	1    	1    	2.23096	1.50656 	0.838274 	11.833 	748.15 	609.913	-54.5148	3759.48
