gen	nevals	avg     	std       	min         	max    	p-avg	p-std   	p-min	p-max	s-avg   	s-std   	s-min    	s-max  	t-avg  	t-std  	t-min   	t-max  
0  	100   	0.177854	0.382555  	-0.0386099  	1.03319	0.18 	0.384187	0    	1    	0.811733	0.957586	-0.602892	5.90765	1026.32	1400.94	-417.082	9535.65
1  	25    	0.229585	0.417627  	-0.00545558 	1.03319	0.23 	0.420833	0    	1    	0.921421	0.90019 	-0.602892	5.90765	962.902	1429.26	-417.082	9535.65
2  	25    	0.269056	0.437942  	-0.00362396 	1.03319	0.27 	0.443959	0    	1    	1.01103 	0.878022	-0.602892	5.90765	1105.46	2146.85	-417.082	16716.2
3  	25    	0.318442	0.458741  	-0.00154049 	1.03319	0.32 	0.466476	0    	1    	1.10228 	0.860902	-0.602892	5.90765	1258.07	2424.26	-417.082	16716.2
4  	25    	0.368203	0.474594  	-8.30778e-05	1.03319	0.37 	0.482804	0    	1    	1.12757 	0.834343	-0.602892	5.90765	1307.24	2464.44	-417.082	16716.2
5  	25    	0.398379	0.481201  	0.000887792 	1.03319	0.4  	0.489898	0    	1    	1.17921 	0.821384	-0.602892	5.90765	1341.33	2511.63	-417.082	16716.2
6  	25    	0.487032	0.49      	0.00235265  	1.03319	0.49 	0.4999  	0    	1    	1.24349 	0.806478	-0.602892	5.90765	1540.32	2679   	-417.082	16716.2
7  	25    	0.526727	0.48882   	0.00415606  	1.03319	0.53 	0.499099	0    	1    	1.27984 	0.806594	-0.602892	5.90765	1607.14	2733.88	-417.082	16716.2
8  	25    	0.605165	0.477216  	0.00525324  	1.03319	0.61 	0.48775 	0    	1    	1.28731 	0.80684 	-0.602892	5.90765	1770.85	2826.09	-417.082	16716.2
9  	25    	0.684216	0.452675  	0.00672809  	1.05133	0.69 	0.462493	0    	1    	1.36955 	0.912301	-0.602892	5.90765	1947.94	2893.95	-385.494	16716.2
10 	25    	0.732498	0.428784  	0.00722052  	1.05133	0.74 	0.438634	0    	1    	1.38414 	0.919219	-0.602892	5.90765	2134.32	3022.36	-322.958	16716.2
11 	25    	0.771762	0.404835  	0.00850268  	1.05133	0.78 	0.414246	0    	1    	1.41112 	0.921789	-0.602892	5.90765	2234.88	3019.69	-322.958	16716.2
12 	25    	0.829536	0.358036  	0.0093132   	1.05133	0.84 	0.366606	0    	1    	1.40022 	0.931275	-0.602892	5.90765	2446.65	3296.36	-322.958	16716.2
13 	25    	0.937059	0.213646  	0.0143145   	1.05133	0.95 	0.217945	0    	1    	1.46215 	1.04661 	-0.602892	6.12687	2756.27	3277.68	-322.958	16716.2
14 	25    	0.989265	0.0278071 	0.89219     	1.05133	1    	0       	1    	1    	1.45015 	1.10695 	-0.602892	6.12687	2523.64	2628.88	172.422 	12140.6
15 	25    	0.99615 	0.0195469 	0.949735    	1.05133	1    	0       	1    	1    	1.54009 	1.14632 	-0.602892	6.12687	1925.07	1815.25	150.919 	7014.85
16 	25    	0.997957	0.0173916 	0.955595    	1.05133	1    	0       	1    	1    	1.51069 	1.15895 	-0.602892	6.12687	1714.96	1574.19	150.919 	6079.1 
17 	25    	1.00139 	0.0142638 	0.970244    	1.05133	1    	0       	1    	1    	1.49756 	1.1781  	-0.602892	6.12687	1358.77	1207.7 	150.919 	5073.6 
18 	25    	1.00359 	0.0122063 	0.981249    	1.05133	1    	0       	1    	1    	1.50429 	1.19161 	-0.602892	6.12687	1145.54	989.883	69.7367 	5073.6 
19 	25    	1.00499 	0.0112702 	0.986693    	1.05133	1    	0       	1    	1    	1.49287 	1.21755 	-0.602892	6.12687	994.338	798.197	69.7367 	5073.6 
20 	25    	1.00651 	0.0106115 	0.991232    	1.05133	1    	0       	1    	1    	1.58081 	1.21527 	-0.38627 	6.12687	929.769	756.857	69.7367 	5073.6 
21 	25    	1.00773 	0.0104427 	0.994459    	1.05133	1    	0       	1    	1    	1.64321 	1.22899 	-0.179366	6.12687	870.031	721.313	69.7367 	5073.6 
22 	25    	1.00858 	0.0117584 	0.994686    	1.06624	1    	0       	1    	1    	1.72493 	1.33591 	-0.179366	7.33363	866.713	717.492	69.7367 	5073.6 
23 	25    	1.00943 	0.011463  	0.996909    	1.06624	1    	0       	1    	1    	1.78094 	1.33875 	0.155337 	7.33363	838.273	715.518	69.7367 	5073.6 
24 	25    	1.01027 	0.0112436 	0.999331    	1.06624	1    	0       	1    	1    	1.83947 	1.33036 	0.380936 	7.33363	812.735	708.099	69.7367 	5073.6 
25 	25    	1.01043 	0.01115   	1.00008     	1.06624	1    	0       	1    	1    	1.84287 	1.32943 	0.380936 	7.33363	800.262	704.962	69.7367 	5073.6 
26 	25    	1.01161 	0.0120594 	1.00098     	1.06624	1    	0       	1    	1    	1.95277 	1.43482 	0.380936 	7.46039	792.074	713.63 	69.7367 	5073.6 
27 	25    	1.01244 	0.0119321 	1.00195     	1.06624	1    	0       	1    	1    	2.04915 	1.40835 	0.545645 	7.46039	804.73 	712.081	41.0407 	5073.6 
28 	25    	1.01397 	0.0125902 	1.00289     	1.06624	1    	0       	1    	1    	2.18052 	1.46476 	0.545645 	7.46039	783.443	722.222	41.0407 	5073.6 
29 	25    	1.01443 	0.0124514 	1.00378     	1.06624	1    	0       	1    	1    	2.22459 	1.44546 	0.732287 	7.46039	781.261	721.525	41.0407 	5073.6 
30 	25    	1.01549 	0.0125016 	1.00501     	1.06624	1    	0       	1    	1    	2.3597  	1.42406 	0.732287 	7.46039	810.987	728.239	41.0407 	5073.6 
31 	25    	1.01649 	0.0129132 	1.0054      	1.06624	1    	0       	1    	1    	2.44711 	1.46263 	0.732287 	7.46039	798.131	703.9  	41.0407 	5073.6 
32 	25    	1.01755 	0.0130125 	1.00548     	1.06624	1    	0       	1    	1    	2.55441 	1.46967 	0.732287 	7.46039	799.719	703.553	41.0407 	5073.6 
33 	25    	1.01801 	0.012837  	1.00549     	1.06624	1    	0       	1    	1    	2.58869 	1.45472 	0.732287 	7.46039	787.239	709.549	41.0407 	5073.6 
34 	25    	1.0184  	0.0127197 	1.00565     	1.06624	1    	0       	1    	1    	2.63431 	1.43686 	0.770506 	7.46039	793.895	707.28 	41.0407 	5073.6 
35 	25    	1.01967 	0.0121346 	1.00683     	1.06624	1    	0       	1    	1    	2.74924 	1.3751  	0.968655 	7.46039	781.811	713.817	41.0407 	5073.6 
36 	25    	1.02047 	0.0118979 	1.00796     	1.06624	1    	0       	1    	1    	2.84981 	1.35797 	0.968655 	7.46039	803.086	720.931	41.0407 	5073.6 
37 	25    	1.02142 	0.0117954 	1.00892     	1.06624	1    	0       	1    	1    	2.94213 	1.37106 	1.07708  	7.46039	800.54 	732.835	35.5607 	5073.6 
38 	25    	1.02175 	0.0115705 	1.00943     	1.06624	1    	0       	1    	1    	2.96274 	1.35763 	1.07708  	7.46039	787.83 	723.402	35.5607 	5073.6 
39 	25    	1.02261 	0.0111874 	1.01007     	1.06624	1    	0       	1    	1    	3.03462 	1.3278  	1.07708  	7.46039	774.11 	696.684	35.5607 	5073.6 
40 	25    	1.02286 	0.0111015 	1.01045     	1.06624	1    	0       	1    	1    	3.06653 	1.31381 	1.1403   	7.46039	780.583	694.332	35.5607 	5073.6 
41 	25    	1.02348 	0.0109291 	1.01061     	1.06624	1    	0       	1    	1    	3.12368 	1.31245 	1.15257  	7.46039	775.494	633.903	35.5607 	4626.04
42 	25    	1.02377 	0.0107179 	1.01225     	1.06624	1    	0       	1    	1    	3.16099 	1.28009 	1.562    	7.46039	783.7  	629.339	41.0407 	4626.04
43 	25    	1.02485 	0.011239  	1.01318     	1.06624	1    	0       	1    	1    	3.27058 	1.33633 	1.562    	7.46039	785.677	530.666	41.0407 	3650.32
44 	25    	1.02589 	0.0112734 	1.01369     	1.06624	1    	0       	1    	1    	3.36982 	1.34634 	1.64648  	7.46039	781.235	523.441	41.0407 	3650.32
45 	25    	1.02654 	0.0110084 	1.01509     	1.06624	1    	0       	1    	1    	3.43813 	1.32004 	1.81769  	7.46039	784.536	534.006	41.0407 	3650.32
46 	25    	1.02719 	0.0108808 	1.0177      	1.06624	1    	0       	1    	1    	3.54485 	1.3381  	1.95018  	7.46039	825.495	584.024	41.0407 	3650.32
47 	25    	1.02767 	0.0107578 	1.01808     	1.06624	1    	0       	1    	1    	3.60941 	1.30816 	2.0286   	7.46039	842.154	574.87 	41.0407 	3650.32
48 	25    	1.02785 	0.0106514 	1.01815     	1.06624	1    	0       	1    	1    	3.62248 	1.29843 	2.0286   	7.46039	837.877	571.693	41.0407 	3650.32
49 	25    	1.02792 	0.0105964 	1.01823     	1.06624	1    	0       	1    	1    	3.63249 	1.28846 	2.0728   	7.46039	840.458	570.451	41.0407 	3650.32
50 	25    	1.02826 	0.0104467 	1.01924     	1.06624	1    	0       	1    	1    	3.6745  	1.26557 	2.09151  	7.46039	848.03 	566.828	41.0407 	3650.32
51 	25    	1.02873 	0.0104034 	1.01938     	1.06624	1    	0       	1    	1    	3.72491 	1.27069 	2.09151  	7.46039	852.065	575.189	41.0407 	3650.32
52 	25    	1.02945 	0.0110377 	1.02026     	1.07034	1    	0       	1    	1    	3.77579 	1.28656 	2.09151  	7.46039	830.735	489.931	41.0407 	2460.17
53 	25    	1.02945 	0.0110377 	1.02026     	1.07034	1    	0       	1    	1    	3.77579 	1.28656 	2.09151  	7.46039	830.735	489.931	41.0407 	2460.17
54 	25    	1.02964 	0.0109325 	1.02048     	1.07034	1    	0       	1    	1    	3.79216 	1.2746  	2.09151  	7.46039	828.035	492.21 	41.0407 	2460.17
55 	25    	1.03008 	0.0110712 	1.02115     	1.07034	1    	0       	1    	1    	3.85873 	1.29685 	2.28318  	7.46039	850.471	495.225	70.8084 	2460.17
56 	25    	1.03035 	0.0110107 	1.02139     	1.07034	1    	0       	1    	1    	3.90394 	1.29299 	2.28318  	7.46039	868.544	498.554	70.8084 	2460.17
57 	25    	1.03054 	0.0109344 	1.0216      	1.07034	1    	0       	1    	1    	3.91398 	1.29058 	2.28318  	7.46039	860.234	504.107	70.8084 	2460.17
58 	25    	1.03141 	0.0115277 	1.02163     	1.07034	1    	0       	1    	1    	4.00254 	1.32122 	2.28318  	7.46039	861.852	507.037	70.8084 	2460.17
59 	25    	1.03269 	0.0123962 	1.02185     	1.07391	1    	0       	1    	1    	4.1217  	1.38167 	2.28318  	8.01464	852.496	508.988	70.8084 	2460.17
60 	25    	1.0328  	0.0123126 	1.02212     	1.07391	1    	0       	1    	1    	4.1709  	1.35884 	2.28318  	8.01464	891.105	536.914	70.8084 	2945.77
61 	25    	1.03308 	0.0121789 	1.02233     	1.07391	1    	0       	1    	1    	4.20996 	1.34856 	2.4799   	8.01464	901.861	548.369	-97.859 	2945.77
62 	25    	1.03349 	0.0123148 	1.02264     	1.07391	1    	0       	1    	1    	4.23566 	1.3522  	2.4799   	8.01464	886.931	547.375	-97.859 	2945.77
63 	25    	1.03349 	0.0123086 	1.02266     	1.07391	1    	0       	1    	1    	4.22746 	1.35531 	2.4799   	8.01464	878.004	538.571	-97.859 	2945.77
64 	25    	1.03446 	0.0124319 	1.02335     	1.07391	1    	0       	1    	1    	4.33708 	1.33221 	2.4799   	8.01464	890.638	560.013	-97.859 	2945.77
65 	25    	1.03545 	0.012278  	1.02362     	1.07391	1    	0       	1    	1    	4.44692 	1.30791 	2.4799   	8.01464	901.442	570.782	-97.859 	2945.77
66 	25    	1.0361  	0.0127605 	1.02411     	1.07549	1    	0       	1    	1    	4.51968 	1.35252 	2.4799   	8.42002	909.869	578.218	-97.859 	2945.77
67 	25    	1.03665 	0.0126446 	1.02428     	1.07549	1    	0       	1    	1    	4.59515 	1.32669 	2.4799   	8.42002	930.529	592.897	-97.859 	2945.77
68 	25    	1.03711 	0.0125497 	1.02434     	1.07549	1    	0       	1    	1    	4.65061 	1.31185 	2.4799   	8.42002	939.561	591.659	-97.859 	2945.77
69 	25    	1.03748 	0.0123793 	1.02443     	1.07549	1    	0       	1    	1    	4.69158 	1.28074 	2.4799   	8.42002	943.562	589.612	-97.859 	2945.77
