gen	nevals	avg      	std       	min        	max    	p-avg	p-std   	p-min	p-max	s-avg   	s-std   	s-min     	s-max  	t-avg  	t-std  	t-min  	t-max  
0  	100   	0.0805823	0.273718  	-0.0110003 	1.01787	0.08 	0.271293	0    	1    	0.668266	0.663973	-0.306465 	2.87868	610.033	416.649	68.3684	2058.19
1  	25    	0.0925229	0.288     	-0.00466715	1.01787	0.09 	0.286182	0    	1    	0.813132	0.628783	-0.306465 	2.87868	560.84 	403.469	68.3684	2058.19
2  	25    	0.103829 	0.301367  	-0.00202469	1.01787	0.1  	0.3     	0    	1    	0.958359	0.566479	0.0340994 	2.87868	575.506	411.794	68.3684	2058.19
3  	25    	0.154474 	0.357879  	0.000585662	1.01787	0.15 	0.357071	0    	1    	1.03875 	0.563756	0.207183  	2.87868	591.369	420.312	68.3684	2058.19
4  	25    	0.19472  	0.392045  	0.00171795 	1.01787	0.19 	0.392301	0    	1    	1.10385 	0.558694	0.27999   	2.87868	631.891	470.758	68.3684	2244.82
5  	25    	0.215026 	0.406095  	0.00270693 	1.01787	0.21 	0.407308	0    	1    	1.14022 	0.558968	-0.0742488	2.87868	637.601	501.219	68.3684	2244.82
6  	25    	0.235448 	0.419596  	0.00352034 	1.01787	0.23 	0.420833	0    	1    	1.19135 	0.58114 	-0.0742488	3.27302	646.594	521.754	103.519	2244.82
7  	25    	0.245846 	0.425647  	0.0044633  	1.01787	0.24 	0.427083	0    	1    	1.21561 	0.572958	-0.0742488	3.27302	630.962	525.75 	103.519	2244.82
8  	25    	0.266014 	0.436771  	0.00506437 	1.01787	0.26 	0.438634	0    	1    	1.24957 	0.593738	-0.0742488	3.27302	648.181	552.746	100.104	2244.82
9  	25    	0.296076 	0.451607  	0.00531286 	1.01787	0.29 	0.453762	0    	1    	1.26016 	0.60843 	-0.0742488	3.27302	652.557	564.999	100.104	2244.82
10 	25    	0.326151 	0.463797  	0.0058141  	1.01787	0.32 	0.466476	0    	1    	1.29485 	0.607013	-0.0742488	3.27302	679.7  	571.254	103.519	2244.82
11 	25    	0.336224 	0.467312  	0.00622686 	1.01787	0.33 	0.470213	0    	1    	1.32395 	0.596436	-0.0742488	3.27302	701.505	578.497	117.679	2244.82
12 	25    	0.356483 	0.474193  	0.0066036  	1.02236	0.35 	0.47697 	0    	1    	1.37597 	0.622004	-0.0742488	3.27302	727.711	585.339	117.679	2244.82
13 	25    	0.41621  	0.488678  	0.00710948 	1.02236	0.41 	0.491833	0    	1    	1.40641 	0.629974	-0.0742488	3.27302	785.396	602.632	119.845	2244.82
14 	25    	0.486152 	0.496419  	0.00746855 	1.02236	0.48 	0.4996  	0    	1    	1.45358 	0.656409	-0.0742488	3.27302	838.415	601.371	119.845	2244.82
15 	25    	0.565601 	0.492779  	0.00824303 	1.02236	0.56 	0.496387	0    	1    	1.47299 	0.688364	-0.0742488	3.27302	912.86 	602.459	119.845	2313.93
16 	25    	0.615439 	0.484033  	0.00856277 	1.02236	0.61 	0.48775 	0    	1    	1.51752 	0.727492	-0.0742488	3.27302	973.635	592.555	119.845	2313.93
17 	25    	0.665097 	0.469828  	0.00876859 	1.02236	0.66 	0.473709	0    	1    	1.52661 	0.748023	-0.160762 	3.27302	1016.89	582.124	119.845	2313.93
18 	25    	0.744481 	0.434806  	0.00945465 	1.02236	0.74 	0.438634	0    	1    	1.56505 	0.80258 	-0.160762 	3.46437	1116.97	563.078	119.845	2313.93
19 	25    	0.803643 	0.396027  	0.00987258 	1.02236	0.8  	0.4     	0    	1    	1.54328 	0.820317	-0.160762 	3.46437	1179.01	549.675	172.858	2313.93
20 	25    	0.843454 	0.36289   	0.0103659  	1.02236	0.84 	0.366606	0    	1    	1.55825 	0.843373	-0.160762 	3.46437	1212.84	528.986	223.745	2313.93
21 	25    	0.92287  	0.268041  	0.011342   	1.02236	0.92 	0.271293	0    	1    	1.56592 	0.878213	-0.160762 	3.46437	1278.92	476.942	223.745	2313.93
22 	25    	1.0018   	0.00888002	0.98411    	1.02236	1    	0       	1    	1    	1.50991 	0.867892	-0.160762 	3.46437	1330.25	460.913	405.396	2313.93
23 	25    	1.00274  	0.00913204	0.987107   	1.03492	1    	0       	1    	1    	1.56505 	0.942143	-0.160762 	4.51273	1290.98	433.136	405.396	2313.93
24 	25    	1.00402  	0.00842687	0.99129    	1.03492	1    	0       	1    	1    	1.69415 	0.898522	0.0752472 	4.51273	1292.56	423.242	405.396	2313.93
25 	25    	1.00474  	0.00802626	0.991459   	1.03492	1    	0       	1    	1    	1.79137 	0.854774	0.36651   	4.51273	1317.81	441.161	405.396	2313.93
26 	25    	1.00545  	0.00751841	0.99355    	1.03492	1    	0       	1    	1    	1.84985 	0.818096	0.36651   	4.51273	1304.52	447.277	405.396	2313.93
27 	25    	1.00654  	0.00705088	0.995319   	1.03492	1    	0       	1    	1    	1.96012 	0.782062	0.758456  	4.51273	1306.62	435.616	405.396	2255.46
28 	25    	1.00745  	0.0066751 	0.99691    	1.03492	1    	0       	1    	1    	2.03508 	0.76533 	0.84186   	4.51273	1290.5 	437.554	405.396	2255.46
29 	25    	1.00814  	0.00617086	0.999417   	1.03492	1    	0       	1    	1    	2.08464 	0.754488	0.84186   	4.51273	1270.21	426.14 	405.396	2058.19
30 	25    	1.00851  	0.00599898	1.00084    	1.03492	1    	0       	1    	1    	2.11418 	0.755166	0.84186   	4.51273	1262.81	415.03 	405.396	2014.25
31 	25    	1.00885  	0.0058116 	1.00158    	1.03492	1    	0       	1    	1    	2.14405 	0.751409	0.84186   	4.51273	1259.28	413.961	405.396	2014.25
32 	25    	1.00909  	0.00566974	1.00255    	1.03492	1    	0       	1    	1    	2.17318 	0.730769	0.944335  	4.51273	1264.2 	410.925	405.396	2014.25
33 	25    	1.00955  	0.00561506	1.00282    	1.03492	1    	0       	1    	1    	2.22858 	0.719949	0.944335  	4.51273	1273.2 	420.662	405.396	2014.25
