gen	nevals	avg     	std       	min        	max    	p-avg	p-std   	p-min	p-max	s-avg   	s-std   	s-min      	s-max  	t-avg  	t-std  	t-min   	t-max  
0  	100   	0.12961 	0.333435  	-0.0304203 	1.02126	0.13 	0.336303	0    	1    	0.868672	0.738598	-0.112431  	4.27168	907.689	1430.83	-1846.71	8801.97
1  	25    	0.151425	0.353221  	-0.00432674	1.02126	0.15 	0.357071	0    	1    	0.936516	0.677717	-0.00325794	4.27168	794.033	1379.87	-1846.71	8801.97
2  	25    	0.162436	0.362077  	-0.00140945	1.02126	0.16 	0.366606	0    	1    	0.99899 	0.634062	0.0144369  	4.27168	755.422	1397.29	-1846.71	8801.97
3  	25    	0.20382 	0.395745  	0.000480818	1.02126	0.2  	0.4     	0    	1    	1.0933  	0.600106	0.0144369  	4.27168	711.305	1404.31	-1846.71	8801.97
4  	25    	0.225148	0.410286  	0.00167158 	1.03325	0.22 	0.414246	0    	1    	1.13547 	0.64862 	-0.113738  	4.27168	620.687	1452.68	-2038.27	8801.97
5  	25    	0.2439  	0.42025   	0.00241476 	1.03325	0.24 	0.427083	0    	1    	1.14298 	0.640565	-0.113738  	4.27168	753.005	2371.13	-2038.27	19286.3
6  	25    	0.313587	0.455137  	0.00361805 	1.03325	0.31 	0.462493	0    	1    	1.15816 	0.65765 	-0.146738  	4.27168	799.456	2457.86	-2038.27	19286.3
7  	25    	0.313786	0.455003  	0.0041233  	1.03325	0.31 	0.462493	0    	1    	1.1785  	0.644133	-0.146738  	4.27168	799.922	2457.31	-2038.27	19286.3
8  	25    	0.324189	0.459041  	0.00503248 	1.03325	0.32 	0.466476	0    	1    	1.18611 	0.691477	-0.146738  	4.27168	767.247	2465.51	-2038.27	19286.3
9  	25    	0.344843	0.466141  	0.00573522 	1.03325	0.34 	0.473709	0    	1    	1.2029  	0.71568 	-0.146738  	4.27168	718.619	2491.1 	-2038.27	19286.3
10 	25    	0.374848	0.475032  	0.00685969 	1.03325	0.37 	0.482804	0    	1    	1.18849 	0.709638	-0.16675   	4.27168	703.71 	2490.34	-2038.27	19286.3
