gen	nevals	avg     	std       	min         	max    	p-avg	p-std    	p-min	p-max	s-avg   	s-std   	s-min     	s-max  	t-avg  	t-std  	t-min   	t-max  
0  	100   	0.102204	0.305716  	-0.0829675  	1.08062	0.1  	0.3      	0    	1    	0.953697	1.07381 	-0.142879 	8.68842	733.247	1129.66	-1723.83	8544.99
1  	25    	0.145501	0.350478  	-0.00507548 	1.08062	0.14 	0.346987 	0    	1    	1.03594 	1.03901 	-0.117635 	8.68842	485.817	532.225	-1723.83	2118.35
2  	25    	0.166753	0.369177  	-4.34513e-05	1.08062	0.16 	0.366606 	0    	1    	1.13777 	0.991539	-0.0275303	8.68842	462.506	586.408	-1723.83	2267.64
3  	25    	0.177532	0.377582  	0.00143014  	1.08062	0.17 	0.375633 	0    	1    	1.19003 	0.971997	0.0226325 	8.68842	436.835	595.707	-1723.83	2267.64
4  	25    	0.228011	0.415394  	0.0025748   	1.08062	0.22 	0.414246 	0    	1    	1.22376 	0.971534	0.0226325 	8.68842	422.632	606.08 	-1723.83	2267.64
5  	25    	0.25853 	0.43337   	0.00371821  	1.08062	0.25 	0.433013 	0    	1    	1.27802 	0.965473	0.041605  	8.68842	424.996	669.68 	-1723.83	2288.1 
6  	25    	0.278501	0.443555  	0.00427519  	1.08062	0.27 	0.443959 	0    	1    	1.28881 	0.970349	0.041605  	8.68842	438.701	735.372	-1723.83	3017.66
7  	25    	0.338852	0.469315  	0.00549882  	1.08062	0.33 	0.470213 	0    	1    	1.33178 	0.967768	0.041605  	8.68842	446.537	760.55 	-1723.83	3017.66
8  	25    	0.388518	0.483455  	0.00620493  	1.08062	0.38 	0.485386 	0    	1    	1.40254 	0.994828	0.041605  	8.68842	550.749	907.075	-1723.83	3567.13
9  	25    	0.40868 	0.487404  	0.00696537  	1.08062	0.4  	0.489898 	0    	1    	1.41836 	1.00336 	0.041605  	8.68842	550.395	982.624	-1723.83	3711.27
10 	25    	0.428546	0.490514  	0.00768927  	1.08062	0.42 	0.493559 	0    	1    	1.43593 	1.01497 	0.041605  	8.68842	581.325	1062.68	-1723.83	4449.35
11 	25    	0.458588	0.494026  	0.00846264  	1.08062	0.45 	0.497494 	0    	1    	1.47428 	1.01917 	0.041605  	8.68842	615.504	1095.01	-1723.83	4449.35
12 	25    	0.509263	0.49682   	0.00963605  	1.08062	0.5  	0.5      	0    	1    	1.57825 	1.10351 	0.041605  	8.68842	651.919	1115.24	-1723.83	4449.35
13 	25    	0.569796	0.493558  	0.0103268   	1.08434	0.56 	0.496387 	0    	1    	1.69309 	1.3284  	0.041605  	8.92441	713.443	1149.67	-1723.83	4449.35
14 	25    	0.638957	0.47931   	0.0109346   	1.08434	0.63 	0.482804 	0    	1    	1.68738 	1.33081 	0.041605  	8.92441	791.703	1169.74	-1723.83	4449.35
15 	25    	0.787532	0.410032  	0.012422    	1.08434	0.78 	0.414246 	0    	1    	1.75722 	1.44405 	0.041605  	8.92441	1004.06	1467.16	-1723.83	8483.13
16 	25    	0.857062	0.353075  	0.0136063   	1.08434	0.85 	0.357071 	0    	1    	1.76533 	1.46664 	0.041605  	8.92441	1059.1 	1440.29	-1723.83	8483.13
17 	25    	0.95669 	0.215125  	0.0189968   	1.08434	0.95 	0.217945 	0    	1    	1.85039 	1.58289 	0.041605  	8.92441	1181.37	1379.15	-1723.83	8483.13
18 	25    	0.996541	0.0993953 	0.0268826   	1.08434	0.99 	0.0994987	0    	1    	1.91227 	1.67066 	0.041605  	8.92441	1258.16	1305.14	-1723.83	8483.13
19 	25    	1.00928 	0.0176187 	0.988812    	1.08434	1    	0        	1    	1    	1.93382 	1.69669 	0.041605  	8.92441	1005.9 	833.312	-1723.83	3872.08
20 	25    	1.00976 	0.0172436 	0.991792    	1.08434	1    	0        	1    	1    	1.91637 	1.70609 	-0.0340301	8.92441	939.973	789.298	-1723.83	3872.08
21 	25    	1.01087 	0.0178416 	0.993133    	1.08434	1    	0        	1    	1    	1.98463 	1.77919 	-0.0340301	8.92441	897.623	735.262	-1723.83	3567.13
22 	25    	1.01286 	0.0179973 	0.99661     	1.08434	1    	0        	1    	1    	2.13527 	1.82592 	0.041605  	8.92441	849.398	692.806	-1723.83	3567.13
23 	25    	1.01345 	0.0176955 	0.997673    	1.08434	1    	0        	1    	1    	2.1605  	1.81586 	0.041605  	8.92441	815.293	682.462	-1723.83	3567.13
24 	25    	1.01446 	0.0173592 	0.99826     	1.08434	1    	0        	1    	1    	2.20843 	1.80095 	0.041605  	8.92441	762.486	666.495	-1723.83	3567.13
25 	25    	1.01656 	0.0171005 	1.00204     	1.08434	1    	0        	1    	1    	2.36214 	1.80169 	0.768248  	8.92441	706.058	640.392	-1723.83	3567.13
26 	25    	1.01775 	0.016715  	1.00394     	1.08434	1    	0        	1    	1    	2.41308 	1.77896 	0.865614  	8.92441	638.272	588.746	-1723.83	2938.98
27 	25    	1.01916 	0.0167921 	1.00566     	1.08434	1    	0        	1    	1    	2.53105 	1.81182 	0.947203  	8.92441	614.63 	612.1  	-1723.83	2938.98
28 	25    	1.02102 	0.0168937 	1.00674     	1.08434	1    	0        	1    	1    	2.72958 	1.84112 	0.947203  	8.92441	627.638	625.847	-1723.83	2938.98
