gen	nevals	avg      	std      	min      	max     	p-avg  	p-std  	p-min   	p-max  	s-avg   	s-std   	s-min     	s-max  	t-avg  	t-std  	t-min   	t-max  
0  	100   	0.0450387	0.0638422	-0.083085	0.319952	44.6681	59.4919	-17.0089	295.912	0.754147	0.792488	-0.243979 	5.14432	717.091	1379.51	-761.613	9846.4 
1  	25    	0.0541209	0.0596924	0.0105279	0.319952	51.5689	57.7058	0.145022	295.912	0.8635  	0.781703	-0.243979 	5.14432	608.301	921.661	-761.613	6530.3 
2  	25    	0.0651245	0.0682693	0.0166803	0.392156	62.0176	67.0393	11.8481 	397.981	0.96148 	0.767531	-0.243979 	5.14432	650.784	922.252	-761.613	6530.3 
3  	25    	0.0738779	0.0817146	0.0203053	0.541953	70.8984	80.5511	12.2002 	534.094	1.01515 	0.746724	0.0149086 	5.14432	717.194	962.473	-761.613	6530.3 
4  	25    	0.0856296	0.0996525	0.0252451	0.64295 	82.266 	98.444 	16.3162 	627.096	1.12509 	0.872357	-0.0574211	5.15059	788.733	1104.71	-761.613	6530.3 
5  	25    	0.0941358	0.0986755	0.030258 	0.64295 	90.607 	97.5437	21.6572 	627.096	1.16418 	0.858331	-0.0574211	5.15059	811.305	1107.9 	-761.613	6530.3 
6  	25    	0.105213 	0.104643 	0.0351278	0.64295 	101.645	103.533	27.718  	627.096	1.18635 	0.85546 	0.024578  	5.15059	829.514	1119.2 	-761.613	6530.3 
7  	25    	0.110962 	0.104176 	0.0414589	0.64295 	108.043	102.859	32.1697 	627.096	1.19077 	0.865995	0.024578  	5.15059	898.875	1136.05	-761.613	6530.3 
8  	25    	0.113624 	0.102897 	0.0452335	0.64295 	110.576	101.692	32.1697 	627.096	1.20288 	0.86063 	0.0594442 	5.15059	898.022	1115.45	-761.613	6530.3 
9  	25    	0.122248 	0.101436 	0.0519018	0.64295 	118.52 	100.26 	43.5439 	627.096	1.27949 	0.834678	0.0594442 	5.15059	906.655	1090.64	-380.187	6530.3 
10 	25    	0.124699 	0.100253 	0.0549853	0.64295 	121.034	99.0409	37.9957 	627.096	1.2721  	0.840715	0.0594442 	5.15059	905.637	1077.46	-380.187	6530.3 
11 	25    	0.128203 	0.101627 	0.0566821	0.64295 	124.775	100.333	48.7265 	627.096	1.27169 	0.841852	0.0594442 	5.15059	928.904	1076.33	-380.187	6530.3 
12 	25    	0.139641 	0.107801 	0.0614621	0.64295 	136.616	106.966	48.7265 	627.096	1.31989 	0.861247	0.0594442 	5.15059	1017.32	1335.83	-380.187	8868.15
13 	25    	0.150855 	0.108758 	0.0660866	0.64295 	147.498	107.789	51.0895 	627.096	1.34498 	0.867421	0.0594442 	5.15059	1009.24	1303.05	-380.187	8868.15
14 	25    	0.166313 	0.115829 	0.0718681	0.64295 	162.949	114.723	63.6543 	627.096	1.47396 	0.976716	0.0406309 	5.57151	1137.62	1486.12	-16.6497	8868.15
15 	25    	0.174658 	0.117318 	0.077043 	0.64295 	170.903	116.477	69.063  	627.096	1.49236 	0.963435	0.0406309 	5.57151	1116.85	1460.44	-16.6497	8868.15
16 	25    	0.17717  	0.117216 	0.0797855	0.64295 	173.481	116.18 	74.5713 	627.096	1.49797 	0.963851	0.0406309 	5.57151	1129.13	1459.89	-16.6497	8868.15
17 	25    	0.186858 	0.116065 	0.086314 	0.64295 	182.789	115.492	75.9429 	627.096	1.54193 	0.95061 	0.0406309 	5.57151	1134.97	1469.01	-16.6497	8868.15
18 	25    	0.189215 	0.114582 	0.0885607	0.64295 	184.747	114.256	78.617  	627.096	1.56819 	0.947889	0.0406309 	5.57151	1121.45	1475.89	-16.6497	8868.15
19 	25    	0.200544 	0.115358 	0.0930453	0.64295 	196.136	115.135	83.914  	627.096	1.60205 	0.948362	0.0594442 	5.57151	1161.27	1476.32	-16.6497	8868.15
20 	25    	0.205282 	0.113351 	0.0995453	0.64295 	200.356	113.567	83.914  	627.096	1.62861 	0.931328	0.0594442 	5.57151	1136.01	1472.59	-16.6497	8868.15
21 	25    	0.208117 	0.111499 	0.104269 	0.64295 	203.247	111.572	94.4534 	627.096	1.62464 	0.933475	0.0594442 	5.57151	1137.61	1470.73	-16.6497	8868.15
22 	25    	0.217946 	0.109847 	0.108817 	0.64295 	213.408	109.707	106.487 	627.096	1.62726 	0.930505	0.104939  	5.57151	1173.53	1463.41	-16.6497	8868.15
