gen	nevals	avg      	std      	min       	max     	p-avg 	p-std  	p-min	p-max	s-avg	s-std   	s-min	s-max	t-avg  	t-std  	t-min  	t-max  
0  	100   	0.0435393	0.0602018	-0.0387007	0.457285	43.5  	55.6873	9    	439  	0.67 	0.735595	0    	3    	666.074	1171.74	22.9   	8870.07
1  	25    	0.0581162	0.111942 	-0.0387007	0.999007	56.75 	109.857	11   	1000 	0.79 	0.752263	0    	3    	653.384	1120.26	22.9   	8870.07
2  	25    	0.0627001	0.1114   	-0.0387007	0.999007	61.06 	109.372	11   	1000 	0.86 	0.748599	0    	3    	695.989	1144.61	22.9   	8870.07
3  	25    	0.0741459	0.147502 	-0.0387007	1.04102 	72.27 	143.36 	11   	1000 	0.94 	0.892412	0    	6    	752.413	1166.1 	22.9   	8870.07
4  	25    	0.0839962	0.155643 	-0.0387007	1.04102 	82.05 	150.764	11   	1000 	1    	0.948683	0    	6    	805.379	1340.49	22.9   	9093.62
5  	25    	0.0926221	0.156924 	-0.0387007	1.04102 	91.49 	152.333	11   	1000 	1.06 	0.977957	0    	6    	946.79 	1768.45	22.9   	12378  
6  	25    	0.114564 	0.204836 	-0.0387007	1.08499 	112.3 	197.966	11   	1000 	1.2  	1.41421 	0    	10   	973.609	1775.87	22.9   	12378  
7  	25    	0.130257 	0.225871 	-0.0387007	1.09678 	127.01	215.656	11   	1000 	1.35 	1.79095 	0    	11   	1025.32	1801.47	21.371 	12378  
8  	25    	0.132664 	0.225028 	-0.0387007	1.09678 	129.5 	214.787	13   	1000 	1.36 	1.79176 	0    	11   	1043.63	1805.4 	21.371 	12378  
9  	25    	0.150064 	0.242076 	-0.0387007	1.09678 	146.06	229.954	13   	1000 	1.49 	1.86277 	0    	11   	1089.63	1796.09	22.9   	12378  
10 	25    	0.154561 	0.242282 	-0.0387007	1.09678 	150.65	230.042	13   	1000 	1.5  	1.86815 	0    	11   	1108.93	1788.99	22.9   	12378  
11 	25    	0.153404 	0.242731 	-0.0387007	1.09678 	149.61	230.476	10   	1000 	1.49 	1.87347 	0    	11   	1110.61	1797.69	22.9   	12378  
12 	25    	0.170999 	0.256252 	-0.0387007	1.09678 	166.9 	245.279	10   	1000 	1.56 	1.86719 	0    	11   	1150.13	1805.26	22.9   	12378  
13 	25    	0.183769 	0.267814 	-0.0387007	1.09678 	179.52	257.801	10   	1000 	1.54 	1.88902 	0    	11   	1115.09	1791.17	22.9   	12378  
14 	25    	0.202529 	0.285933 	-0.0387007	1.09678 	197.43	274.355	10   	1000 	1.66 	2.01604 	0    	11   	1150.11	1934.85	22.9   	12378  
15 	25    	0.205485 	0.286963 	-0.0387007	1.09678 	200.04	273.415	10   	1000 	1.69 	2.11516 	0    	11   	1145.53	1932.98	22.9   	12378  
16 	25    	0.205102 	0.287558 	-0.0387007	1.09678 	200.12	273.89 	10   	1000 	1.67 	2.11213 	0    	11   	1171.77	1932.42	22.9   	12378  
