gen	nevals	avg      	std      	min       	max     	p-avg  	p-std  	p-min  	p-max  	s-avg   	s-std   	s-min      	s-max  	t-avg  	t-std  	t-min   	t-max  
0  	100   	0.0671752	0.102683 	-0.0800736	0.541759	66.316 	100.465	-12.736	525.365	0.953769	0.757932	-0.0479    	3.81096	867.846	2171.13	-1284.76	20562.9
1  	25    	0.0753295	0.0992295	0.0131226 	0.541759	71.8449	98.4146	5.28561	525.365	1.08293 	0.683094	-0.0666869 	3.81096	734.471	916.337	-1284.76	6216   
2  	25    	0.0787464	0.0981747	0.0175604 	0.541759	75.3707	97.2942	5.28561	525.365	1.08761 	0.677434	-0.0666869 	3.81096	750.037	911.961	-1284.76	6216   
3  	25    	0.0860595	0.0991697	0.0231248 	0.541759	82.1932	98.2997	7.25176	525.365	1.14098 	0.664177	-0.0666869 	3.81096	754.357	959.53 	-1349.7 	6216   
4  	25    	0.0959558	0.0994515	0.0282161 	0.541759	92.2427	98.1072	12.8806	525.365	1.18601 	0.738213	-0.0811922 	3.81096	814.7  	1004.77	-1349.7 	6216   
5  	25    	0.0985094	0.0981634	0.0323125 	0.541759	94.505 	97.0974	12.8806	525.365	1.24673 	0.698164	-0.0666869 	3.81096	846.286	1035.68	-1349.7 	6216   
6  	25    	0.103421 	0.0974982	0.0357793 	0.541759	99.3229	96.6064	21.4191	525.365	1.30932 	0.680759	-0.0666869 	3.81096	899.493	1022   	-616.677	6216   
7  	25    	0.108561 	0.096317 	0.0379768 	0.541759	104.494	95.5568	26.7879	525.365	1.34115 	0.695212	-0.0666869 	3.81096	934.424	1034.81	-616.677	6216   
8  	25    	0.11266  	0.094835 	0.0421504 	0.541759	109.257	94.2707	32.9914	525.365	1.33724 	0.701394	-0.0666869 	3.81096	996.92 	1134.71	-616.677	6216   
9  	25    	0.126645 	0.103236 	0.0481437 	0.541759	122.686	102.352	34.3046	525.365	1.36783 	0.728828	-0.00100647	3.81096	971.853	1121.24	-616.677	6216   
10 	25    	0.136156 	0.105958 	0.05173   	0.541759	131.899	104.511	36.2245	525.365	1.41416 	0.742965	-0.00100647	3.81096	988.482	1202.31	-919.149	6216   
11 	25    	0.145624 	0.105006 	0.0575677 	0.541759	141.072	103.242	38.6775	525.365	1.48763 	0.781846	0.0824358  	3.81096	1032.42	1206.72	-919.149	6216   
12 	25    	0.148299 	0.103934 	0.0602865 	0.541759	144.076	101.833	50.6783	525.365	1.47401 	0.804303	-0.0137092 	3.81096	1051.67	1203.62	-616.677	6216   
13 	25    	0.153412 	0.102392 	0.0645664 	0.541759	148.688	100.559	56.8761	525.365	1.49802 	0.817436	-0.0137092 	3.81096	1025.63	1132.29	-616.677	6216   
14 	25    	0.158404 	0.100862 	0.0687846 	0.541759	153.743	98.9616	58.3273	525.365	1.53721 	0.797007	0.0824358  	3.81096	1071.15	1135.8 	-616.677	6216   
15 	25    	0.162264 	0.0993343	0.0746862 	0.541759	157.114	97.5774	62.0515	525.365	1.55968 	0.798443	0.286583   	3.81096	1044.74	1096.28	-616.677	6216   
16 	25    	0.166054 	0.0970995	0.0763759 	0.541759	160.287	95.7222	62.0515	525.365	1.59884 	0.790604	0.286583   	3.81096	1022.22	1095.19	-616.677	6216   
17 	25    	0.17389  	0.0966011	0.0798729 	0.541759	168.374	95.322 	73.3299	525.365	1.62039 	0.776221	0.289409   	3.81096	1068.76	1132.45	-616.677	6216   
18 	25    	0.180165 	0.0940626	0.0940716 	0.541759	175.244	92.5467	83.8307	525.365	1.61659 	0.77445 	0.289409   	3.81096	1124.49	1161.38	-616.677	6216   
19 	25    	0.182397 	0.0929837	0.099083  	0.541759	177.358	91.6566	83.8307	525.365	1.63009 	0.767694	0.289409   	3.81096	1126.23	1176.18	-616.677	6216   
20 	25    	0.185268 	0.0915998	0.101259  	0.541759	179.913	90.3704	83.8307	525.365	1.63838 	0.759674	0.289409   	3.81096	1102.87	1173.19	-616.677	6216   
21 	25    	0.18825  	0.0898033	0.108486  	0.541759	183.252	88.7683	100.692	525.365	1.64943 	0.749266	0.289409   	3.81096	1149.72	1259.77	-616.677	6216   
22 	25    	0.189834 	0.0890219	0.110155  	0.541759	184.795	88.1417	101    	525.365	1.67186 	0.748666	0.289409   	3.81096	1168.01	1269.41	-616.677	6216   
23 	25    	0.193548 	0.0903219	0.116092  	0.541759	187.483	89.3502	101.079	525.365	1.70669 	0.772303	0.332741   	3.81096	1100.11	1198.28	-616.677	6216   
24 	25    	0.200756 	0.0974291	0.119297  	0.541759	193.814	96.3787	100.26 	525.365	1.76679 	0.766381	0.528003   	3.81096	1072.59	1200.35	-616.677	6216   
25 	25    	0.201881 	0.0968115	0.120431  	0.541759	194.946	95.7081	112.742	525.365	1.7788  	0.769178	0.528003   	3.81096	1085.31	1202.06	-616.677	6216   
26 	25    	0.20971  	0.101471 	0.126021  	0.559737	201.878	100.405	113.646	538.078	1.81089 	0.764732	0.651425   	3.81096	1027.62	1165.49	-616.677	6216   
27 	25    	0.212074 	0.1006   	0.126737  	0.559737	203.966	99.4878	113.646	538.078	1.83904 	0.773779	0.651425   	3.81096	1028.21	1166.75	-616.677	6216   
28 	25    	0.219004 	0.100686 	0.130907  	0.559737	210.63 	99.8045	113.646	538.078	1.87076 	0.776558	0.651425   	3.81096	1033.39	1200.96	-616.677	6216   
29 	25    	0.225369 	0.102541 	0.135287  	0.559737	217.865	103.752	119.666	562.572	1.87427 	0.769491	0.651425   	3.81096	1123.9 	1381.7 	-616.677	7606.58
30 	25    	0.227076 	0.101376 	0.140294  	0.559737	220.871	102.27 	122.929	562.572	1.86197 	0.780333	0.651425   	3.81096	1241.51	1530.04	-616.677	7606.58
31 	25    	0.233756 	0.104164 	0.144744  	0.559737	228.191	106.876	122.929	592.741	1.91374 	0.78148 	0.651425   	3.81096	1357.15	1694.07	-616.677	8676.6 
32 	25    	0.236797 	0.103888 	0.14627   	0.559737	231.235	106.175	133.043	592.741	1.93963 	0.781088	0.651425   	3.81096	1383.43	1694.08	-616.677	8676.6 
33 	25    	0.238101 	0.102917 	0.151382  	0.559737	233.166	104.981	139.499	592.741	1.92927 	0.780742	0.776004   	3.81096	1435.8 	1769.99	-616.677	8676.6 
34 	25    	0.252682 	0.134646 	0.155127  	1.09437 	247.251	132.844	141.467	1042.53	1.99733 	0.941078	0.776004   	7.18906	1454.16	1766.7 	-616.677	8676.6 
35 	25    	0.261368 	0.138783 	0.158959  	1.09437 	255.458	136.814	142.232	1042.53	2.02501 	0.933874	0.776004   	7.18906	1434.03	1717.81	-616.677	8676.6 
36 	25    	0.262112 	0.138356 	0.16286   	1.09437 	256.664	136.341	142.232	1042.53	2.02785 	0.928187	0.776004   	7.18906	1483.02	1782.78	-616.677	8676.6 
37 	25    	0.272639 	0.142146 	0.167611  	1.09437 	267.617	139.784	156.215	1042.53	2.01252 	0.933251	0.639953   	7.18906	1510.35	1804.77	-616.677	8676.6 
38 	25    	0.27309  	0.141855 	0.167982  	1.09437 	267.997	139.529	156.215	1042.53	2.01548 	0.941631	0.639953   	7.18906	1506.17	1807.05	-616.677	8676.6 
39 	25    	0.282723 	0.152053 	0.168756  	1.09437 	276.884	149.206	156.215	1042.53	2.06992 	0.991034	0.639953   	7.18906	1486.06	1811.59	-616.677	8676.6 
40 	25    	0.291226 	0.154211 	0.175145  	1.09437 	285.71 	151.738	156.215	1042.53	2.07088 	0.983748	0.639953   	7.18906	1519.28	1877.53	-616.677	8676.6 
41 	25    	0.296394 	0.154507 	0.177806  	1.09437 	292.431	151.803	156.215	1042.53	2.04123 	1.00048 	0.389364   	7.18906	1644.89	1932.06	-616.677	8676.6 
42 	25    	0.301414 	0.154525 	0.179629  	1.09437 	297.358	151.592	161.231	1042.53	2.05236 	0.986736	0.639953   	7.18906	1646.74	1930.36	-616.677	8676.6 
43 	25    	0.314906 	0.16844  	0.181322  	1.09437 	308.703	166.536	164.941	1042.53	2.10404 	1.01641 	0.639953   	7.18906	1483.73	1747.58	2.92771 	8676.6 
44 	25    	0.324732 	0.174611 	0.183042  	1.09437 	318.258	171.773	164.941	1042.53	2.15093 	1.07526 	0.639953   	7.18906	1503.49	1744.25	2.92771 	8676.6 
45 	25    	0.333749 	0.182599 	0.18408   	1.09437 	327.759	179.006	165.522	1042.53	2.15505 	1.09686 	0.639953   	7.18906	1556.12	1741.53	2.92771 	8676.6 
46 	25    	0.341406 	0.179708 	0.186088  	1.09437 	335.239	176.105	179.079	1042.53	2.15934 	1.1121  	0.625213   	7.18906	1542.72	1720.28	2.92771 	8676.6 
47 	25    	0.350613 	0.179808 	0.200821  	1.09437 	344.542	177.588	179.079	1042.53	2.15149 	1.11708 	0.625213   	7.18906	1544.34	1693.06	2.92771 	8676.6 
48 	25    	0.369171 	0.185061 	0.20519   	1.09437 	364.246	182.995	179.079	1042.53	2.18781 	1.16726 	0.625213   	7.18906	1695.26	2039.93	2.92771 	10913.9
49 	25    	0.373425 	0.184346 	0.209845  	1.09437 	368.827	181.786	179.079	1042.53	2.17913 	1.17788 	0.625213   	7.18906	1719.31	2067.45	2.92771 	10913.9
50 	25    	0.383059 	0.187598 	0.213958  	1.09437 	377.268	184.837	179.079	1042.53	2.21543 	1.24713 	0.406571   	7.18906	1636.27	1968.85	2.92771 	10913.9
51 	25    	0.390218 	0.184561 	0.217077  	1.09437 	383.795	181.911	189.169	1042.53	2.25048 	1.23927 	0.406571   	7.18906	1608.24	1938.71	2.92771 	10913.9
52 	25    	0.394644 	0.183721 	0.222757  	1.09437 	388.01 	180.839	189.169	1042.53	2.25416 	1.25914 	0.406571   	7.18906	1590.77	1944.79	2.92771 	10913.9
53 	25    	0.405812 	0.191184 	0.227126  	1.09437 	399.164	187.791	212.589	1042.53	2.30769 	1.26523 	0.406571   	7.18906	1642.87	1939.47	2.92771 	10913.9
54 	25    	0.409558 	0.189205 	0.227707  	1.09437 	402.963	185.765	214.622	1042.53	2.32254 	1.26565 	0.406571   	7.18906	1663.1 	1931.99	2.92771 	10913.9
55 	25    	0.429506 	0.194805 	0.241303  	1.09437 	423.37 	190.987	222.64 	1042.53	2.34372 	1.29768 	0.406571   	7.18906	1730.12	2136.98	2.92771 	11891.9
