gen	nevals	avg     	std       	min        	max    	p-avg	p-std   	p-min	p-max	s-avg   	s-std   	s-min     	s-max  	t-avg  	t-std  	t-min   	t-max  
0  	100   	0.158983	0.361557  	-0.0182421 	1.02402	0.16 	0.366606	0    	1    	0.931739	0.753547	-0.104153 	5.51105	1033.48	2159.12	-1310.19	17393.7
1  	25    	0.181002	0.378586  	-0.00310342	1.02402	0.18 	0.384187	0    	1    	0.961584	0.752203	-0.0310352	5.51105	861.431	2135.44	-1310.19	17393.7
2  	25    	0.191792	0.386773  	-0.00108868	1.02402	0.19 	0.392301	0    	1    	1.02402 	0.719912	-0.0310352	5.51105	844.852	2137.31	-1310.19	17393.7
3  	25    	0.212538	0.401803  	0.0013846  	1.02402	0.21 	0.407308	0    	1    	1.07084 	0.715887	-0.034553 	5.51105	817.024	2143.54	-1310.19	17393.7
4  	25    	0.289469	0.443698  	0.00223131 	1.02402	0.29 	0.453762	0    	1    	1.07582 	0.719261	-0.034553 	5.51105	1128.91	3068.64	-1310.19	17812.1
5  	25    	0.309938	0.452358  	0.00320645 	1.02402	0.31 	0.462493	0    	1    	1.07892 	0.719425	-0.034553 	5.51105	1085.07	3079.04	-1310.19	17812.1
6  	25    	0.34997 	0.466825  	0.00453333 	1.02402	0.35 	0.47697 	0    	1    	1.10658 	0.722736	-0.034553 	5.51105	1109.55	3092.87	-1310.19	17812.1
7  	25    	0.370935	0.47265   	0.00539988 	1.02719	0.37 	0.482804	0    	1    	1.17352 	0.77426 	-0.034553 	5.51105	1080.01	3109.33	-1886.13	17812.1
8  	25    	0.430953	0.485207  	0.00652377 	1.02719	0.43 	0.495076	0    	1    	1.18309 	0.785688	-0.034553 	5.51105	1087.8 	3109.51	-1886.13	17812.1
9  	25    	0.470293	0.488673  	0.00732073 	1.02719	0.47 	0.499099	0    	1    	1.18982 	0.784037	-0.034553 	5.51105	1160.56	3183.05	-1886.13	17812.1
10 	25    	0.490486	0.48955   	0.00806795 	1.02719	0.49 	0.4999  	0    	1    	1.18649 	0.799222	-0.034553 	5.51105	1137.91	3193.43	-1886.13	17812.1
11 	25    	0.51052 	0.489625  	0.00865467 	1.02719	0.51 	0.4999  	0    	1    	1.21493 	0.797558	-0.034553 	5.51105	1162.89	3187.91	-1886.13	17812.1
12 	25    	0.560618	0.486477  	0.00913426 	1.02719	0.56 	0.496387	0    	1    	1.22415 	0.848777	-0.034553 	5.51105	1162.34	3195.8 	-1886.13	17812.1
13 	25    	0.607837	0.476104  	0.0096497  	1.02719	0.61 	0.48775 	0    	1    	1.204   	0.868935	-0.034553 	5.51105	1420.25	3672.21	-1886.13	17812.1
14 	25    	0.667298	0.459174  	0.0105727  	1.02719	0.67 	0.470213	0    	1    	1.19615 	0.860756	-0.034553 	5.51105	1466.32	3658.14	-1886.13	17812.1
15 	25    	0.735935	0.428191  	0.0117012  	1.06416	0.74 	0.438634	0    	1    	1.25474 	1.03684 	-0.034553 	7.0991 	1661.26	3943.8 	-1886.13	17812.1
16 	25    	0.785161	0.397464  	0.0139253  	1.06416	0.79 	0.407308	0    	1    	1.21708 	1.03872 	-0.0422387	7.0991 	1700.95	3947.26	-2443.89	17812.1
17 	25    	0.833907	0.357697  	0.0145884  	1.06416	0.84 	0.366606	0    	1    	1.25094 	1.05161 	-0.0422387	7.0991 	1860.28	3940.36	-2443.89	17812.1
