gen	nevals	avg       	std      	min        	max      	p-avg	p-std    	p-min	p-max	s-avg	s-std   	s-min	s-max	t-avg  	t-std  	t-min  	t-max  
0  	100   	0.00123872	0.0105169	-0.0657212 	0.0249601	0    	0        	0    	0    	0.84 	0.674092	0    	3    	716.128	976.962	18.752 	7572.12
1  	25    	0.0131647 	0.110526 	-0.0657212 	1.10846  	0.01 	0.0994987	0    	1    	0.98 	1.29599 	0    	12   	663.533	935.539	18.752 	7572.12
2  	25    	0.0139546 	0.110443 	-0.0657212 	1.10846  	0.01 	0.0994987	0    	1    	1.05 	1.27574 	0    	12   	654.542	920.767	18.752 	7572.12
3  	25    	0.0149153 	0.110436 	-0.0657212 	1.10846  	0.01 	0.0994987	0    	1    	1.15 	1.33697 	0    	12   	658.467	923.386	18.752 	7572.12
4  	25    	0.014826  	0.110463 	-0.0657212 	1.10846  	0.01 	0.0994987	0    	1    	1.15 	1.34443 	0    	12   	667.402	938.842	18.752 	7572.12
5  	25    	0.014817  	0.11047  	-0.0657212 	1.10846  	0.01 	0.0994987	0    	1    	1.15 	1.33697 	0    	12   	668.301	944.855	18.752 	7572.12
6  	25    	0.015301  	0.110219 	-0.0256759 	1.10846  	0.01 	0.0994987	0    	1    	1.15 	1.34443 	0    	12   	619.901	700.639	18.752 	4567.59
7  	25    	0.026659  	0.155352 	-0.0256759 	1.11585  	0.02 	0.14     	0    	1    	1.3  	1.81934 	0    	13   	634.101	697.916	18.752 	4567.59
8  	25    	0.0264918 	0.155421 	-0.0319529 	1.11585  	0.02 	0.14     	0    	1    	1.32 	1.81593 	0    	13   	670.823	781.427	18.752 	4567.59
9  	25    	0.0260886 	0.155482 	-0.0319529 	1.11585  	0.02 	0.14     	0    	1    	1.33 	1.81138 	0    	13   	721.135	802.456	18.752 	4567.59
10 	25    	0.0265178 	0.155464 	-0.0319529 	1.11585  	0.02 	0.14     	0    	1    	1.35 	1.84052 	0    	13   	698.221	804.839	18.752 	4567.59
11 	25    	0.0268925 	0.155422 	-0.0319529 	1.11585  	0.02 	0.14     	0    	1    	1.38 	1.84272 	0    	13   	690.747	810.076	18.752 	4567.59
12 	25    	0.0368135 	0.183386 	-0.0319529 	1.11585  	0.03 	0.170587 	0    	1    	1.37 	1.86898 	0    	13   	688.649	809.42 	18.752 	4567.59
13 	25    	0.0353544 	0.18422  	-0.140743  	1.11585  	0.03 	0.170587 	0    	1    	1.41 	1.87667 	0    	13   	874.565	1636.09	18.752 	15074.3
14 	25    	0.0236788 	0.14887  	-0.140743  	1.10846  	0.02 	0.14     	0    	1    	1.23 	1.44121 	0    	12   	862.122	1637.62	18.752 	15074.3
15 	25    	0.0347181 	0.186062 	-0.140743  	1.14537  	0.03 	0.170587 	0    	1    	1.35 	2.18346 	0    	18   	878.187	1655.28	18.752 	15074.3
16 	25    	0.0345033 	0.186094 	-0.140743  	1.14537  	0.03 	0.170587 	0    	1    	1.33 	2.18657 	0    	18   	879.67 	1655.52	18.752 	15074.3
17 	25    	0.0338995 	0.186181 	-0.140743  	1.14537  	0.03 	0.170587 	0    	1    	1.32 	2.18577 	0    	18   	930.049	1675.74	18.752 	15074.3
18 	25    	0.0338603 	0.186187 	-0.140743  	1.14537  	0.03 	0.170587 	0    	1    	1.3  	2.19317 	0    	18   	913.97 	1677.14	18.752 	15074.3
19 	25    	0.0223224 	0.1517   	-0.140743  	1.14537  	0.02 	0.14     	0    	1    	1.13 	1.89555 	0    	18   	897.761	1689.15	18.752 	15074.3
20 	25    	0.03282   	0.181774 	-0.140743  	1.14537  	0.03 	0.170587 	0    	1    	1.29 	1.93026 	0    	18   	1008   	1755.05	18.752 	15074.3
21 	25    	0.0348234 	0.180819 	-0.0319529 	1.14537  	0.03 	0.170587 	0    	1    	1.19 	1.91152 	0    	18   	707.659	828.287	18.752 	4567.59
22 	25    	0.0452381 	0.204819 	-0.0256759 	1.14537  	0.04 	0.195959 	0    	1    	1.2  	1.89737 	0    	18   	676.193	746.103	18.752 	4567.59
23 	25    	0.0353601 	0.179336 	-0.0256759 	1.14537  	0.03 	0.170587 	0    	1    	1.17 	1.86577 	0    	18   	633.992	722.03 	18.752 	4567.59
24 	25    	0.0355031 	0.179311 	-0.0256759 	1.14537  	0.03 	0.170587 	0    	1    	1.17 	1.86577 	0    	18   	619.691	711.327	18.752 	4567.59
25 	25    	0.0455344 	0.203467 	-0.0256759 	1.14537  	0.04 	0.195959 	0    	1    	1.15 	1.86748 	0    	18   	596.556	706.791	18.752 	4567.59
26 	25    	0.0458503 	0.203413 	-0.0256759 	1.14537  	0.04 	0.195959 	0    	1    	1.18 	1.8941  	0    	18   	594.967	713.598	18.752 	4567.59
27 	25    	0.0574282 	0.231305 	-0.0256759 	1.15417  	0.05 	0.217945 	0    	1    	1.32 	2.40366 	0    	18   	577.176	709.458	18.752 	4567.59
28 	25    	0.0578652 	0.231206 	-0.0256759 	1.15417  	0.05 	0.217945 	0    	1    	1.39 	2.38703 	0    	18   	603.483	712.644	18.752 	4567.59
29 	25    	0.05801   	0.231176 	-0.0256759 	1.15417  	0.05 	0.217945 	0    	1    	1.42 	2.38403 	0    	18   	618.997	718.708	18.752 	4567.59
30 	25    	0.0582926 	0.231119 	-0.0256759 	1.15417  	0.05 	0.217945 	0    	1    	1.46 	2.39758 	0    	18   	630.74 	714.837	18.752 	4567.59
31 	25    	0.0599196 	0.231038 	-0.0256759 	1.15417  	0.05 	0.217945 	0    	1    	1.61 	2.64913 	0    	18   	618.039	690.94 	18.752 	4567.59
32 	25    	0.0730662 	0.25452  	-0.0256759 	1.15417  	0.06 	0.237487 	0    	1    	1.94 	2.9994  	0    	18   	633.379	664.44 	18.752 	4567.59
33 	25    	0.0834428 	0.273017 	-0.0256759 	1.15417  	0.07 	0.255147 	0    	1    	1.99 	3.03478 	0    	18   	645.719	690.208	18.752 	4567.59
34 	25    	0.0830516 	0.273129 	-0.0256759 	1.15417  	0.07 	0.255147 	0    	1    	1.98 	3.03308 	0    	18   	674.836	711.455	18.752 	4567.59
35 	25    	0.0829449 	0.273173 	-0.0256759 	1.15417  	0.07 	0.255147 	0    	1    	1.99 	3.03808 	0    	18   	695.507	745.491	18.752 	4567.59
36 	25    	0.0945387 	0.292721 	-0.0356934 	1.15417  	0.08 	0.271293 	0    	1    	2.22 	3.29721 	0    	18   	766.131	1005.62	70.181 	7569.34
37 	25    	0.095586  	0.292421 	-0.0356934 	1.15417  	0.08 	0.271293 	0    	1    	2.33 	3.2865  	0    	18   	771.396	989.773	70.181 	7569.34
38 	25    	0.0952142 	0.292544 	-0.0356934 	1.15417  	0.08 	0.271293 	0    	1    	2.33 	3.2865  	0    	18   	808.583	1004.09	70.181 	7569.34
