gen	nevals	avg     	std       	min        	max    	p-avg	p-std   	p-min	p-max	s-avg   	s-std   	s-min      	s-max  	t-avg  	t-std  	t-min   	t-max  
0  	100   	0.157955	0.36828   	-0.135305  	1.03566	0.16 	0.366606	0    	1    	0.813932	0.776637	-0.211841  	4.99325	1018.48	2134.6 	-227.748	14075.9
1  	25    	0.191629	0.389529  	-0.00426737	1.03566	0.19 	0.392301	0    	1    	0.884248	0.760126	-0.122733  	4.99325	721.343	1490.58	-227.748	12288.4
2  	25    	0.202958	0.396521  	-0.00183452	1.03566	0.2  	0.4     	0    	1    	1.02779 	0.697208	-0.122733  	4.99325	731.945	1489.63	-227.748	12288.4
3  	25    	0.243659	0.423288  	0.000123261	1.03566	0.24 	0.427083	0    	1    	1.11227 	0.675597	-0.122733  	4.99325	746.407	1510.52	-646.129	12288.4
4  	25    	0.264136	0.434804  	0.00152966 	1.03566	0.26 	0.438634	0    	1    	1.18661 	0.652756	-0.122733  	4.99325	773.024	1505.31	-646.129	12288.4
5  	25    	0.284444	0.444513  	0.00279554 	1.03566	0.28 	0.448999	0    	1    	1.24513 	0.693917	-0.122733  	4.99325	800.744	1525.01	-646.129	12288.4
6  	25    	0.31486 	0.457844  	0.00400353 	1.03566	0.31 	0.462493	0    	1    	1.24479 	0.708303	-0.122733  	4.99325	758.811	1536.32	-646.129	12288.4
7  	25    	0.355895	0.473373  	0.00492447 	1.05333	0.35 	0.47697 	0    	1    	1.32909 	0.90425 	-0.122733  	6.7142 	739.578	1547.96	-646.129	12288.4
8  	25    	0.395162	0.48309   	0.00575877 	1.0679 	0.39 	0.48775 	0    	1    	1.4232  	1.14091 	-0.122733  	8.14139	907.017	2214.96	-646.129	16639.7
9  	25    	0.445347	0.491047  	0.00642801 	1.0679 	0.44 	0.496387	0    	1    	1.38712 	1.1762  	-0.122733  	8.14139	852.424	2249.44	-2319.91	16639.7
10 	25    	0.495224	0.494472  	0.0077007  	1.0679 	0.49 	0.4999  	0    	1    	1.41105 	1.21912 	-0.235338  	8.14139	888.612	2261.36	-2319.91	16639.7
11 	25    	0.524921	0.493892  	0.00817252 	1.0679 	0.52 	0.4996  	0    	1    	1.43163 	1.22783 	-0.235338  	8.14139	939.502	2273.48	-2319.91	16639.7
12 	25    	0.584908	0.487693  	0.00885363 	1.0679 	0.58 	0.493559	0    	1    	1.41289 	1.25612 	-0.235338  	8.14139	922.075	2292.62	-2319.91	16639.7
13 	25    	0.64431 	0.474037  	0.00928885 	1.0679 	0.64 	0.48    	0    	1    	1.40676 	1.26164 	-0.235338  	8.14139	975.748	2286.98	-2319.91	16639.7
14 	25    	0.693976	0.456329  	0.0104012  	1.0679 	0.69 	0.462493	0    	1    	1.42458 	1.31319 	-0.235338  	8.14139	1026.99	2350.53	-2319.91	16639.7
15 	25    	0.753367	0.42662   	0.0110333  	1.0679 	0.75 	0.433013	0    	1    	1.47312 	1.31922 	-0.235338  	8.14139	1136.38	2385.36	-2319.91	16639.7
16 	25    	0.822923	0.378067  	0.0129981  	1.0679 	0.82 	0.384187	0    	1    	1.48209 	1.3501  	-0.235338  	8.14139	1189.83	2389.64	-2319.91	16639.7
17 	25    	0.941258	0.233321  	0.0188334  	1.0679 	0.94 	0.237487	0    	1    	1.42457 	1.34743 	-0.235338  	8.14139	1298.75	2367.4 	-2319.91	16639.7
18 	25    	0.980623	0.138213  	0.0214569  	1.0679 	0.98 	0.14    	0    	1    	1.4319  	1.35471 	-0.235338  	8.14139	1369.62	2337.11	-2319.91	16639.7
19 	25    	1.00475 	0.0139831 	0.980189   	1.0679 	1    	0       	1    	1    	1.42623 	1.45605 	-0.235338  	8.14139	950.877	776.779	-487.806	3243.61
20 	25    	1.00574 	0.0132757 	0.986232   	1.0679 	1    	0       	1    	1    	1.42013 	1.46435 	-0.235338  	8.14139	846.027	652.206	-487.806	2894.08
21 	25    	1.00672 	0.0127288 	0.993321   	1.0679 	1    	0       	1    	1    	1.4394  	1.4698  	-0.235338  	8.14139	767.53 	601.572	-487.806	2894.08
22 	25    	1.00811 	0.0129929 	0.995075   	1.0679 	1    	0       	1    	1    	1.57814 	1.53939 	-0.235338  	8.14139	767.207	597.282	-487.806	2894.08
23 	25    	1.00835 	0.012818  	0.996204   	1.0679 	1    	0       	1    	1    	1.5999  	1.52331 	-0.235338  	8.14139	764.507	584.844	-487.806	2894.08
24 	25    	1.00861 	0.0126328 	0.997251   	1.0679 	1    	0       	1    	1    	1.64225 	1.50759 	-0.235338  	8.14139	781.682	598.151	-487.806	2894.08
25 	25    	1.00897 	0.0124139 	0.998086   	1.0679 	1    	0       	1    	1    	1.70214 	1.4662  	0.0910054  	8.14139	804.969	595.328	-487.806	2894.08
26 	25    	1.00929 	0.0122986 	0.998201   	1.0679 	1    	0       	1    	1    	1.74    	1.44981 	0.0910054  	8.14139	810.521	590.781	-487.806	2894.08
27 	25    	1.00975 	0.0120868 	0.999043   	1.0679 	1    	0       	1    	1    	1.77887 	1.43734 	0.0910054  	8.14139	804.272	607.998	-487.806	2894.08
28 	25    	1.01032 	0.0123157 	0.999597   	1.0679 	1    	0       	1    	1    	1.82401 	1.46662 	0.0910054  	8.14139	792.33 	602.235	-487.806	2894.08
29 	25    	1.01069 	0.0121475 	1.00038    	1.0679 	1    	0       	1    	1    	1.85053 	1.46449 	0.0910054  	8.14139	781.461	598.749	-487.806	2894.08
30 	25    	1.0114  	0.0119405 	1.00149    	1.0679 	1    	0       	1    	1    	1.93294 	1.45663 	0.0910054  	8.14139	793.38 	596.026	-487.806	2590.72
31 	25    	1.01255 	0.0125777 	1.00211    	1.0679 	1    	0       	1    	1    	2.04959 	1.53584 	0.0910054  	8.14139	794.573	599.551	-487.806	2590.72
32 	25    	1.01276 	0.012476  	1.00227    	1.0679 	1    	0       	1    	1    	2.07168 	1.53308 	0.0910054  	8.14139	795.549	606.921	-487.806	2590.72
33 	25    	1.01316 	0.0122988 	1.00243    	1.0679 	1    	0       	1    	1    	2.0763  	1.53871 	0.0519697  	8.14139	759.903	653.694	-772.839	2590.72
34 	25    	1.01434 	0.0128615 	1.00267    	1.0679 	1    	0       	1    	1    	2.19439 	1.60117 	-0.00351814	8.14139	759.92 	663.857	-772.839	2590.72
35 	25    	1.01464 	0.0126662 	1.00315    	1.0679 	1    	0       	1    	1    	2.17209 	1.60801 	-0.00351814	8.14139	708.471	641.983	-772.839	2270.56
36 	25    	1.01535 	0.0125379 	1.00371    	1.0679 	1    	0       	1    	1    	2.25045 	1.62194 	-0.00351814	8.14139	715.568	656.145	-772.839	2270.56
37 	25    	1.01656 	0.0128871 	1.00488    	1.0679 	1    	0       	1    	1    	2.42734 	1.66899 	-0.00351814	8.14139	771.239	677.806	-772.839	2270.56
38 	25    	1.01761 	0.0137289 	1.00573    	1.0679 	1    	0       	1    	1    	2.58047 	1.74395 	-0.00351814	8.14139	819.949	678.129	-772.839	2270.56
39 	25    	1.01875 	0.0155177 	1.0062     	1.09463	1    	0       	1    	1    	2.68702 	1.88017 	-0.00351814	10.0473	811.678	691.055	-772.839	2270.56
40 	25    	1.01992 	0.0159373 	1.00666    	1.09463	1    	0       	1    	1    	2.82027 	1.91882 	-0.00351814	10.0473	828.524	677.434	-772.839	2270.56
